0,20,40,60,80,100
47380.14,32524.92,20191.61,11998.15,7066.07,3633.0699999999997
47498.65,32569.12,20161.48,11951.53,7105.25,3633.0699999999997
47606.38,32602.54,20120.57,11898.2,7134.49,3633.0699999999997
47723.42,32645.26,20088.96,11847.72,7172.31,3633.0699999999997
47846.62,32694.15,20063.52,11802.96,7217.51,3633.0699999999997
47998.55,32771.77,20066.81,11805.42,7308.86,3633.06
48051.33,32750.22,19970.95,11759.97,7307.31,3632.65
47964.25,32588.81,19759.27,11624.15,7306.34,3631.67
47863.49,32413.73,19534.62,11488.32,7305.35,3630.68
47816.88,32292.81,19387.36,11470.84,7304.82,3630.15
47823.57,32225.18,19322.15,11470.53,7304.51,3629.8399999999997
47823.82,32151.11,19249.17,11470.19,7304.17,3629.5
47915.6,32168.57,19295.03,11470.29,7304.2699999999995,3629.6
48021.75,32228.18,19302.01,11470.5,7304.48,3629.81
48135.97,32301.8,19302.3,11470.79,7304.7699999999995,3630.1
48246.64,32369.65,19302.59,11471.08,7305.06,3630.39
48359.34,32439.4,19302.97,11471.38,7305.36,3630.69
48479.02,32515.99,19312.21,11471.71,7305.69,3631.02
48623.59,32616.39,19354.01,11472.14,7306.12,3631.45
48885.41,32760.41,19380.23,11414.0,7213.96,3539.29
49150.36,32907.56,19409.59,11360.31,7117.2699999999995,3442.6
49522.41,33241.19,19644.39,11477.31,7161.58,3443.89
49909.1,33577.96,19913.03,11631.77,7263.79,3445.27
50183.18,33777.72,20100.44,11777.4,7345.36,3446.11
50300.32,33820.55,20068.94,11732.88,7383.38,3446.19
50377.32,33823.22,19997.29,11668.4,7372.88,3446.14
50490.75,33862.33,19962.07,11635.61,7411.51,3446.14
50623.13,33920.39,19945.8,11610.49,7472.83,3446.14
50768.72,33991.67,19942.75,11600.36,7552.67,3446.15
51062.4,34211.04,20153.11,11754.38,7654.14,3446.9
51414.35,34488.66,20441.579999999998,11925.05,7750.6,3447.83
51727.6,34734.37,20668.31,12033.98,7782.55,3448.72
52041.86,34979.92,20898.329999999998,12146.21,7818.75,3449.62
52387.11,35276.24,21125.5,12255.58,7851.1,3450.71
52745.36,35592.69,21356.0,12368.28,7887.73,3451.85
53099.21,35901.61,21586.25,12480.73,7924.15,3452.98
53345.72,36098.37,21716.07,12528.18,7924.89,3453.72
53552.02,36256.69,21802.65,12528.78,7925.49,3454.32
53779.72,36448.64,21889.68,12529.48,7926.19,3455.02
53956.02,36587.1,21942.4,12530.0,7926.71,3455.54
54140.97,36735.31,21997.15,12530.55,7927.26,3456.09
54287.49,36843.76,22026.98,12530.97,7927.68,3456.5099999999998
54443.12,36961.75,22063.47,12531.41,7928.12,3456.95
54675.29,37155.85,22159.15,12532.11,7928.82,3457.65
54900.07,37330.74,22267.68,12548.63,7929.48,3458.31
55114.71,37427.59,22246.73,12437.62,7775.02,3303.85
55344.07,37539.16,22240.5,12313.59,7561.77,3026.97
55468.82,37663.91,22365.25,12438.34,7686.52,3151.72
55588.73,37666.02,22249.57,12204.86,7354.89,2722.2
55711.56,37832.32,22459.35,12488.52,7776.03,3270.9
55833.36,37997.6,22668.1,12773.03,8198.01,3820.36
55955.76,38163.48,22877.45,13057.880000000001,8620.34,4369.99
56063.3,38314.49,23071.94,13325.960000000001,9025.9,4902.9400000000005
56175.29,38352.17,23035.29,13299.68,9029.68,4902.96
56392.67,38497.5,23171.99,13337.94,9030.22,4903.5
56567.95,38619.0,23235.74,13338.36,9030.64,4903.92
56754.1,38748.65,23315.25,13338.81,9031.09,4904.37
56946.92,38896.61,23381.75,13339.31,9031.59,4904.87
57118.37,39011.56,23446.56,13339.710000000001,9031.99,4905.27
57290.32,39127.4,23511.2,13340.1,9032.380000000001,4905.66
57515.89,39319.74,23585.74,13340.74,9033.02,4906.3
57749.87,39520.56,23668.76,13341.42,9033.7,4906.9800000000005
57990.87,39716.65,23747.05,13342.14,9034.42,4907.7
58231.46,39912.32,23824.92,13342.85,9035.130000000001,4908.41
58473.93,40109.77,23904.58,13343.57,9035.85,4909.13
58715.66,40306.48,23983.49,13344.29,9036.57,4909.85
58971.9,40517.7,24076.91,13345.06,9037.34,4910.62
59257.32,40761.98,24203.39,13369.25,9038.19,4911.47
59538.21,41002.83,24350.0,13405.65,9039.0,4912.28
59842.71,41233.01,24563.47,13577.95,9094.41,4912.97
60023.02,41339.01,24595.14,13592.45,9128.59,4913.03
60183.08,41542.55,24842.15,13938.37,9611.99,5456.6
60368.03,41770.97,25114.05,14314.26,10125.36,6016.450000000001
60555.92,42002.34,25388.89,14694.74,10643.32,6576.46
60745.83,42235.73,25665.76,15080.73,11166.79,7136.88
60904.97,42383.340000000004,25739.05,15106.41,11212.15,7136.88
61239.38,42701.19,26018.05,15313.2,11301.14,7137.76
61577.79,43139.14,26543.04,15838.19,11826.130000000001,7662.75
61801.18,43465.59,26926.08,16221.23,12209.17,8045.79
62039.41,43804.7,27308.46,16603.61,12591.55,8428.17
62224.18,44107.27,27681.36,16976.51,12964.45,8801.07
62422.44,44423.32,28050.74,17345.89,13333.83,9170.45
62653.95,44763.88,28432.57,17727.72,13715.66,9552.28
62882.03,45105.81,28821.19,18116.34,14104.28,9940.9
63102.6,45443.33,29205.5,18500.65,14488.59,10325.210000000001
63334.55,45792.56,29601.74,18896.89,14884.83,10721.45
63561.590000000004,46019.6,29828.78,19123.93,15111.87,10948.49
63792.64,46244.36,29976.61,19159.61,15112.61,10949.23
63997.13,46448.84,30117.83,19192.38,15113.25,10949.87
64222.37,46670.68,30267.1,19228.65,15113.97,10950.59
64434.17,46882.49,30439.96,19283.71,15114.62,10951.24
64630.29,47078.6,30609.99,19350.43,15115.210000000001,10951.83
64891.29,47339.6,30846.12,19478.420000000002,15147.35,10952.65
65169.55,47617.86,31098.9,19684.4,15235.54,10953.53
65401.29,47849.6,31322.99,19881.03,15317.42,10954.27
65619.77,48068.08,31538.98,20060.96,15400.29,10954.97
65625.53,48073.85,31544.75,20066.72,15364.65,10954.9
65647.4,48095.71,31566.61,20088.59,15332.3,10954.87
65679.59,48127.9,31598.8,20120.79,15305.03,10954.85
65708.04,48156.35,31627.26,20149.24,15273.99,10954.85
65730.12,48178.43,31649.35,20171.32,15240.48,10954.85
65698.56,48146.87,31617.8,20139.76,15183.18,10954.67
65740.09,48188.4,31659.33,20159.1,15183.25,10954.74
65798.51,48246.82,31704.92,20180.75,15183.39,10954.880000000001
65897.3,48345.61,31790.21,20212.79,15183.67,10955.16
65997.62,48445.94,31879.44,20246.59,15183.960000000001,10955.45
66087.97,48536.3,31969.79,20287.46,15184.210000000001,10955.7
66186.42,48634.76,32061.32,20324.39,15184.49,10955.98
66298.44,48746.78,32164.79,20368.95,15184.81,10956.3
66445.0,48893.35,32299.65,20443.56,15185.24,10956.73
66557.6,49005.95,32412.25,20520.09,15185.550000000001,10957.04
66641.46,49089.81,32496.11,20574.82,15185.77,10957.26
66711.87,49160.22,32563.97,20600.39,15185.98,10957.47
66749.08,49197.42,32601.17,20604.44,15186.08,10957.57
66796.39,49244.72,32648.48,20620.49,15186.24,10957.73
66874.79,49323.12,32726.88,20669.9,15186.51,10958.0
66916.59,49364.91,32768.67,20704.22,15186.66,10958.15
66981.86,49430.17,32833.94,20760.35,15236.34,10958.41
66979.94,49428.25,32832.01,20752.08,15192.04,10958.42
66909.58,49357.89,32761.64,20684.31,15089.78,10958.210000000001
66879.03,49327.34,32731.09,20662.56,15052.73,10958.210000000001
66848.09,49296.4,32700.15,20639.23,15010.77,10958.210000000001
66815.18,49263.49,32667.25,20631.19,14972.9,10958.210000000001
66783.55,49231.85,32635.62,20627.44,14941.92,10958.210000000001
66760.31,49208.61,32612.39,20621.1,14915.11,10958.210000000001
66741.13,49189.43,32593.22,20624.08,14894.93,10958.210000000001
66696.64,49144.93,32554.87,20606.77,14894.73,10958.01
66636.02,49084.3,32510.71,20606.53,14894.49,10957.77
66552.29,49000.58,32448.1,20606.21,14894.17,10957.45
66505.03,48953.31,32418.67,20606.02,14893.98,10957.26
66517.82,48966.11,32421.27,20606.08,14894.04,10957.32
66574.06,49022.34,32459.69,20606.31,14894.27,10957.55
66623.86,49072.15,32500.29,20606.52,14894.48,10957.76
66640.07,49088.35,32518.6,20606.63,14894.59,10957.87
66608.06,49056.33,32502.32,20606.57,14894.53,10957.81
