0,20,40,60,80,100
138249.82,101724.1,65198.32,28981.48,4756.0,2730.71
138423.62,101897.9,65372.12,29153.35,4783.58,2730.7
138589.75,102064.03,65538.25,29319.84,4810.75,2730.7
138754.24,102228.52,65702.73,29484.56,4838.11,2730.7
138938.29,102412.57,65886.78,29667.2,4869.33,2730.7
139123.32,102597.61,66071.82,29850.97,4903.71,2730.7
139295.33,102769.63,66243.84,30023.26,4937.42,2730.7
139462.01,102938.53,66414.96,30196.8,4978.78,2740.3
139625.52,103102.04,66578.47,30360.64,5007.37,2742.13
139784.27,103260.79,66737.22,30519.68,5033.16,2744.03
139924.27,103400.79,66877.22,30659.74,5053.7,2745.87
140037.21,103513.73,66990.16,30772.68,5071.84,2747.48
140120.23,103596.76,67073.19,30855.71,5094.48,2748.79
140164.39,103640.91,67117.34,30899.86,5115.97,2749.82
140189.73,103666.25,67142.68,30925.2,5138.37,2750.53
140194.48,103670.99,67147.42,30929.94,5150.55,2750.85
140166.03,103642.54,67118.97,30901.49,5142.64,2750.76
140120.99,103597.51,67073.94,30856.46,5115.53,2750.76
140057.96,103534.48,67010.91,30793.43,5071.1,2750.76
139984.04,103460.56,66936.99,30719.51,5015.07,2750.76
139922.05,103398.57,66875.0,30657.51,4965.81,2750.77
139876.79,103353.31,66829.74,30612.25,4925.79,2750.77
139836.82,103313.35,66789.78,30572.29,4889.7300000000005,2750.77
139803.41,103279.94,66756.37,30538.88,4865.16,2750.77
139795.08,103271.61,66748.04,30530.55,4863.08,2750.77
139833.74,103310.28,66786.71,30569.21,4885.45,2750.77
139894.73,103371.28,66847.71,30630.21,4914.43,2750.77
139972.95,103449.5,66925.93,30708.43,4936.83,2750.77
140073.25,103549.8,67026.23,30808.73,4955.35,2750.77
140156.07,103632.62,67109.05,30891.55,4961.08,2750.77
140242.77,103719.31,67195.75,30978.25,4964.04,2750.77
140322.89,103801.65,67280.31,31065.03,4974.02,2759.72
140409.72,103888.48,67367.13,31151.85,4975.17,2760.65
140502.12,103980.88,67459.53,31244.24,4976.5,2761.98
140616.78,104095.54,67574.19,31359.0,4980.27,2763.76
140750.82,104229.58,67708.23,31493.31,4988.25,2765.9
