0,20,40,60,80,100
72646.61,31471.36,2839.88,2357.0,2368.93,2368.93
72661.06,31488.21,2839.93,2357.05,2368.98,2368.98
72661.57,31491.06,2840.09,2357.19,2369.06,2369.06
72683.66,31515.1,2840.1,2357.21,2369.1,2369.1
72731.83,31564.03,2841.66,2357.11,2369.13,2369.13
72789.38,31621.49,2851.3,2357.0,2369.17,2369.17
72821.81,31654.57,2851.39,2357.05,2369.17,2369.17
72875.06999999999,31708.21,2851.37,2357.02,2369.14,2369.14
72940.37,31773.27,2851.2,2356.88,2369.0,2369.0
72987.19,31820.28,2850.94,2356.38,2368.5,2368.5
73032.86,31865.96,2850.54,2355.76,2367.88,2367.88
73078.79,31911.98,2850.06,2355.1,2367.22,2367.22
73108.41,31942.45,2849.9,2354.54,2366.66,2366.66
73120.1,31955.93,2849.89,2353.88,2365.97,2365.97
73127.76,31965.63,2850.04,2353.43,2365.41,2365.41
73131.92,31972.01,2850.38,2353.1,2364.97,2364.97
73126.27,31968.59,2850.77,2353.1,2364.97,2364.97
73137.84,31982.03,2851.02,2353.1,2364.97,2364.97
73165.49,32011.21,2851.13,2353.08,2364.95,2364.95
73185.48,32032.85,2851.3,2353.06,2364.93,2364.93
73200.01,32049.18,2851.54,2353.07,2364.93,2364.93
73227.26,32078.1,2851.68,2353.09,2364.93,2364.93
73271.34,32123.43,2854.33,2353.07,2364.96,2364.96
73340.44,32193.75,2865.82,2352.97,2365.0,2365.0
73444.11,32297.77,2879.15,2352.72,2365.03,2365.03
73571.49,32424.68,2895.35,2352.37,2365.02,2365.02
73736.49,32589.54,2929.09,2357.05,2370.69,2370.69
73912.01,32764.47,2967.35,2361.66,2376.44,2376.44
74088.47,32938.59,2998.6,2361.06,2376.38,2376.38
74282.37,33129.02,3028.68,2360.37,2376.23,2376.23
74481.32,33324.8,3068.46,2359.69,2376.08,2376.08
74672.29,33513.35,3103.92,2360.08,2377.36,2377.36
74863.16,33701.63,3147.4,2359.98,2378.2400000000002,2378.2400000000002
75047.28,33883.24,3192.06,2359.22,2378.46,2378.46
75211.58,34045.86,3239.97,2357.81,2378.12,2378.12
75358.31,34191.36,3292.43,2356.2,2377.6,2377.6
75507.32,34339.26,3355.58,2354.58,2377.13,2377.13
75644.22,34475.28,3420.94,2353.32,2376.75,2376.75
75775.64,34606.03,3488.61,2352.53,2376.72,2376.72
75902.41,34732.59,3559.98,2352.19,2377.1,2377.1
76012.27,34843.52,3627.09,2351.91,2377.16,2377.16
76116.76,35197.36,4169.6,2892.92,2917.98,2917.98
76225.22,35307.0,4224.07,2892.5099999999998,2918.0,2918.0
76350.47,35432.8,4282.23,2891.93,2917.97,2917.97
76494.57,35576.95,4338.21,2891.31,2917.88,2917.88
76673.57,35754.88,4401.75,2890.57,2917.7799999999997,2917.7799999999997
76869.14,35948.35,4457.25,2889.87,2917.67,2917.67
77064.96,36142.49,4524.19,2889.12,2917.59,2917.59
77272.73,36348.8,4615.22,2888.21,2917.57,2917.57
77460.26,36535.01,4691.69,2887.33,2917.48,2917.48
77608.36,36682.09,4740.5199999999995,2886.58,2917.35,2917.35
77754.88,36826.909999999996,4769.23,2885.93,2917.16,2917.16
77934.96,37004.38,4799.13,2885.41,2917.0099999999998,2917.0099999999998
78142.34,37208.75,4827.89,2885.08,2916.97,2916.97
78299.04,37363.98,4826.9,2884.94,2916.83,2916.83
78413.69,37478.95,4826.11,2885.48,2917.37,2917.37
78504.06,37569.94,4825.2699999999995,2885.72,2917.61,2917.61
78582.66,37648.99,4824.48,2885.74,2917.63,2917.63
78646.03,37713.04,4823.69,2885.49,2917.38,2917.38
78672.53,37740.29,4823.17,2885.0299999999997,2916.92,2916.92
78681.51,37750.27,4822.89,2884.52,2916.41,2916.41
