0,20,40,60,80,100
41282.66,28434.53,22800.3,22861.45,23096.91,23255.83
41437.98,28589.85,22955.62,23016.77,23252.23,23411.15
41600.12,28751.99,23117.76,23178.91,23414.37,23573.29
41765.97,28917.84,23283.61,23344.76,23580.22,23739.14
41943.63,29095.5,23461.27,23522.420000000002,23757.88,23916.8
42141.94,29293.81,23659.58,23720.73,23956.19,24115.11
42346.01,29497.88,23863.65,23924.8,24160.26,24319.18
42556.52,29708.39,24074.16,24135.31,24370.77,24529.69
42771.63,29923.5,24289.27,24350.42,24585.88,24744.8
42981.58,30133.45,24499.22,24560.37,24795.83,24954.75
43183.65,30335.52,24701.29,24762.44,24997.9,25156.82
43373.26,30525.13,24890.9,24952.05,25187.51,25346.43
43558.89,30710.76,25076.53,25137.68,25373.14,25532.06
43723.96,30827.98,25096.91,25139.12,25374.58,25531.75
43893.11,30949.09,25118.73,25140.44,25375.91,25531.48
44037.26,31044.8,25125.01,25141.68,25377.15,25531.25
44155.05,31114.36,25125.86,25142.53,25378.0,25531.12
44242.52,31166.3,25126.62,25143.28,25378.76,25531.01
44318.38,31211.28,25127.08,25143.74,25379.22,25530.97
44373.42,31238.58,25127.5,25144.16,25379.63,25530.95
44419.36,31258.71,25127.96,25144.63,25380.1,25530.94
44463.26,31280.86,25128.33,25145.01,25380.47,25530.93
44530.47,31321.9,25127.98,25144.66,25380.11,25531.03
44635.59,31387.29,25132.43,25143.89,25379.33,25531.19
44747.63,31645.49,25430.1,25438.65,25671.19,25822.07
44860.66,31758.52,25543.13,25551.68,25784.22,25935.1
44982.77,31880.63,25665.24,25673.79,25906.33,26057.21
45096.87,31994.73,25779.34,25787.89,26020.43,26171.31
45212.7,32110.56,25895.170000000002,25903.72,26136.26,26287.14
45341.52,32239.38,26023.99,26032.54,26265.08,26415.96
45445.7,32343.56,26128.17,26136.72,26369.26,26520.14
45540.61,32438.47,26223.08,26231.63,26464.17,26615.05
45635.82,32533.68,26318.29,26326.84,26559.38,26710.26
45727.21,32625.07,26409.68,26418.23,26650.77,26801.65
45819.95,32717.81,26502.42,26510.97,26743.51,26894.39
45904.17,32802.03,26586.64,26595.19,26827.73,26978.61
45975.97,32873.83,26658.44,26666.99,26899.53,27050.41
46039.5,32937.36,26721.97,26730.52,26963.06,27113.94
46096.18,32981.58,26722.83,26731.38,26963.92,27113.76
46147.16,33021.62,26723.5,26732.05,26964.58,27113.63
46195.92,33058.36,26723.84,26732.38,26964.91,27113.58
46241.9,33093.97,26723.79,26732.33,26964.86,27113.62
46275.74,33117.81,26724.3,26732.83,26965.37,27113.52
46296.0,33125.59,26724.79,26733.33,26965.87,27113.43
46310.61,33127.15,26725.28,26733.83,26966.37,27113.34
46327.92,33129.96,26725.69,26734.24,26966.77,27113.26
46361.98,33146.33,26725.57,26734.12,26966.66,27113.29
46421.34,33180.14,26724.86,26733.4,26965.94,27113.44
46483.2,33242.0,26786.72,26795.26,27027.8,27175.3
46541.83,33300.63,26845.35,26853.89,27086.43,27233.93
46596.59,33355.39,26900.11,26908.65,27141.19,27288.69
46638.55,33397.35,26942.07,26950.61,27183.15,27330.65
46667.39,33426.19,26970.91,26979.45,27211.99,27359.49
46695.39,33454.19,26998.91,27007.45,27239.99,27387.49
46732.89,33644.35,27237.39,27243.02,27472.65,27617.6
46777.25,33688.71,27281.75,27287.38,27517.01,27661.96
46817.04,33728.5,27321.54,27327.17,27556.8,27701.75
46882.06,33793.52,27386.56,27392.19,27621.82,27766.77
46959.88,33871.34,27464.38,27470.01,27699.64,27844.59
47034.04,34079.74,27727.41,27730.13,27956.86,28099.25
47107.85,34153.55,27801.22,27803.94,28030.67,28173.06
47178.37,34224.07,27871.74,27874.46,28101.19,28243.58
47243.11,34248.62,27879.95,27874.87,28101.6,28243.52
47285.57,34254.96,27881.1,27875.23,28101.97,28243.52
47324.21,34262.75,27880.88,27875.01,28101.74,28243.66
47395.31,34298.55,27879.75,27873.87,28100.6,28243.99
47451.64,34324.41,27878.82,27872.94,28099.670000000002,28244.24
47503.99,34348.05,27877.95,27872.07,28098.8,28244.47
47559.44,34376.43,27877.05,27871.18,28097.91,28244.69
47617.36,34407.6,27876.14,27870.27,28097.0,28244.9
47683.64,34442.14,27874.96,27869.09,28095.82,28245.16
47756.08,34478.3,27873.77,27867.9,28094.62,28245.41
47821.46,34691.31,28157.260000000002,28148.48,28372.29,28522.59
47891.04,34760.89,28226.84,28218.06,28441.87,28592.170000000002
47956.09,34825.94,28291.89,28283.11,28506.920000000002,28657.22
48032.74,34902.59,28368.54,28359.76,28583.57,28733.87
48120.3,34990.15,28456.1,28447.32,28671.13,28821.43
48186.12,35055.97,28521.920000000002,28513.14,28736.95,28887.25
48241.3,35111.15,28577.1,28568.32,28792.13,28942.43
48306.39,35176.24,28642.19,28633.41,28857.22,29007.52
48386.95,35256.8,28722.75,28713.97,28937.78,29088.08
48471.84,35341.69,28807.64,28798.86,29022.67,29172.97
