0,20,40,60,80,100
108828.81,72118.17,35974.03,12920.58,4323.5,2383.89
108697.49,71986.86,35842.71,12850.4,4305.29,2382.8
108533.68000000001,71823.05,35678.9,12763.33,4272.4800000000005,2382.82
108362.33,71651.7,35507.55,12672.0,4222.54,2382.83
108178.36,71467.73,35323.58,12573.18,4162.9,2382.84
107976.14,71265.51,35121.36,12464.2,4097.92,2382.84
107751.99,71041.36,34897.21,12343.85,4026.37,2382.85
107500.93000000001,70790.3,34646.15,12183.7,3948.31,2382.86
107239.93000000001,70529.31,34385.159999999996,12005.83,3865.35,2382.86
106962.95,70252.33,34108.18,11820.960000000001,3784.48,2382.88
106670.4,69959.78,33815.63,11633.06,3703.47,2382.89
106409.54,69698.92,33554.77,11467.83,3632.01,2382.9
106165.38,69454.76,33310.61,11317.81,3570.08,2382.91
105935.49,69224.87,33080.72,11181.92,3510.53,2382.92
105742.83,69032.20999999999,32888.06,11072.36,3454.71,2382.93
105573.61,68862.99,32718.85,10973.18,3408.04,2381.36
105414.18000000001,68703.56999999999,32559.42,10877.99,3384.74,2379.73
105268.69,68558.06999999999,32436.35,10814.16,3383.92,2378.91
105128.98,68418.36,32326.82,10772.61,3382.51,2377.5
105022.87,68312.25,32245.69,10735.56,3381.54,2376.53
105051.89,68341.27,32257.02,10735.99,3380.9,2375.89
105153.91,68443.29,32307.04,10752.79,3380.49,2375.48
105233.21,68522.59,32339.27,10752.49,3380.19,2375.18
105278.95,68568.34,32358.1,10752.52,3380.22,2375.21
105341.06,68630.45,32391.96,10779.09,3380.69,2375.68
105399.47,68688.87,32430.29,10813.710000000001,3381.28,2376.27
105464.21,68753.61,32495.03,10857.24,3381.31,2376.3
105492.66,68782.06,32523.48,10883.63,3381.34,2376.33
105532.38,68821.78,32563.2,10915.960000000001,3381.37,2376.36
105569.22,68858.62,32600.04,10947.14,3381.4,2376.39
105634.34,68923.74,32665.15,11000.65,3381.43,2376.42
105721.83,69011.23,32752.64,11066.37,3382.13,2376.46
105806.76,69096.16,32837.57,11123.19,3382.17,2376.5
105894.21,69183.61,32925.03,11177.91,3382.21,2376.54
