0,20,40,60,80,100
70455.37,58896.18,51232.37,43568.42,40705.13,40782.81
70511.92,58952.73,51288.92,43624.97,40761.68,40839.36
70565.32,59006.13,51342.32,43678.37,40815.08,40892.76
70610.26,59051.07,51387.26,43723.31,40860.02,40937.7
70661.39,59102.2,51438.39,43774.44,40911.15,40988.83
70715.12,59155.93,51492.12,43828.17,40964.88,41042.56
70773.53,59214.340000000004,51550.53,43886.58,41023.29,41100.97
70847.07,59287.88,51624.07,43960.12,41096.83,41174.51
70929.65,59370.46,51706.65,44042.7,41179.41,41257.09
71021.54,59462.35,51798.54,44134.59,41271.3,41348.98
71120.8,59561.61,51897.8,44233.85,41370.56,41448.24
71220.55,59661.36,51997.55,44333.6,41470.31,41547.99
71313.54,59754.35,52090.54,44426.59,41563.3,41640.98
71403.41,59802.19,52138.38,44474.43,41563.04,41641.02
71492.06,59850.01,52186.2,44522.25,41562.82,41641.06
71562.1,59884.11,52220.3,44556.49,41562.74,41641.1
71622.41,59909.340000000004,52245.53,44581.72,41562.61,41641.15
71666.83,59920.3,52256.49,44592.68,41562.55,41641.19
71696.8,59919.37,52255.56,44591.75,41562.56,41641.23
71702.43,59901.0,52237.19,44573.24,41562.85,41641.25
71704.5,59880.52,52216.71,44551.99,41563.11,41641.27
71706.58,59859.13,52195.32,44530.6,41563.36,41641.29
71723.53,59847.48,52183.67,44518.95,41563.35,41641.3
71745.0,59846.04,52182.23,44517.51,41563.09,41641.34
71769.62,59870.66,52206.85,44542.13,41587.71,41665.96
71794.44,59895.48,52231.67,44566.95,41612.53,41690.78
71813.73,59914.77,52250.96,44586.24,41631.82,41710.07
71831.45,59932.49,52268.68,44603.96,41649.54,41727.79
71845.14,59946.18,52282.37,44617.65,41663.23,41741.48
71854.97,59956.01,52292.2,44627.48,41673.06,41751.31
71866.64,59967.68,52303.87,44639.15,41684.73,41762.98
71899.05,60000.09,52336.28,44671.56,41717.14,41795.39
71934.4,60035.44,52371.63,44706.91,41752.49,41830.74
71974.06,60075.1,52411.29,44746.57,41792.15,41870.4
72016.03,60117.07,52453.26,44788.54,41834.12,41912.37
72063.31,60164.35,52500.54,44835.82,41881.4,41959.65
72114.15,60215.19,52551.38,44886.66,41932.24,42010.49
72153.05,60221.08,52557.27,44892.55,41932.18,42010.5
72196.81,60226.99,52563.18,44898.46,41932.11,42010.5
72235.47,60224.88,52561.07,44896.35,41932.2,42010.5
72258.55,60211.11,52547.3,44882.58,41932.43,42010.5
72278.77,60199.97,52536.16,44871.44,41932.52,42010.51
72289.29,60179.93,52516.12,44851.4,41932.77,42010.52
72297.02,60156.22,52492.41,44827.69,41933.09,42010.53
72307.13,60131.51,52467.7,44802.98,41933.41,42010.55
72319.11,60108.47,52444.66,44779.94,41933.67,42010.57
72326.84,60087.73,52423.92,44759.2,41933.82,42010.58
72341.89,60074.66,52410.85,44746.13,41933.79,42010.58
72352.94,60085.71,52421.9,44757.18,41944.84,42021.63
72355.74,60088.51,52424.7,44759.98,41947.64,42024.43
72366.81,60099.58,52435.77,44771.05,41958.71,42035.5
72394.1,60126.87,52463.06,44798.34,41986.0,42062.79
72426.54,60159.31,52495.5,44830.78,42018.44,42095.23
72447.98,60180.75,52516.94,44852.22,42039.88,42116.67
72451.89,60184.66,52520.85,44856.13,42043.79,42120.58
72455.28,60188.05,52524.24,44859.52,42047.18,42123.97
72454.49,60187.26,52523.45,44858.73,42046.39,42123.18
72459.7,60192.47,52528.66,44863.94,42051.6,42128.39
72480.27,60213.04,52549.23,44884.51,42072.17,42148.96
72516.16,60248.93,52585.12,44920.4,42108.06,42184.85
72555.76,60288.53,52624.72,44960.0,42147.66,42224.45
72598.72,60291.23,52627.42,44962.7,42147.38,42224.49
72621.3,60282.88,52619.07,44954.35,42147.36,42224.51
72627.79,60265.47,52601.66,44936.94,42147.53,42224.52
72627.78,60242.36,52578.55,44913.83,42147.76,42224.54
72618.91,60215.87,52552.06,44887.34,42148.0,42224.56
72602.63,60187.76,52523.95,44859.23,42148.25,42224.56
72584.46,60159.33,52495.52,44830.8,42148.49,42224.56
72567.9,60132.94,52469.13,44804.41,42148.67,42224.57
72552.99,60108.39,52444.58,44779.86,42148.81,42224.57
72541.92,60087.14,52423.33,44758.61,42148.89,42224.57
72537.79,60073.08,52409.27,44744.55,42148.84,42224.57
72542.53,59901.93,52138.59,44374.34,41715.54,41792.82
72548.86,59732.07,51869.2,44005.42,41283.48,41362.29
72545.59,59728.8,51865.93,44002.15,41280.21,41359.02
72531.21,59546.18,51583.78,43620.47,40843.39,40923.61
72525.95,59540.92,51578.52,43615.21,40838.13,40918.35
72519.95,59368.76,51306.83,43243.99,40404.62,40486.54
72523.87,59372.68,51310.75,43247.91,40408.54,40490.46
72533.21,59214.84,51053.38,42891.01,39982.9,40066.72
72539.66,59050.7,50789.71,42527.81,39548.01,39633.76
72551.9,59062.94,50801.95,42540.05,39560.25,39646.0
72568.54,58910.17,50549.65,42188.22,39141.34,39228.84
72581.58,58923.21,50562.69,42201.26,39154.38,39241.88
72595.81,58774.63,50314.58,41853.62,38737.26,38826.31
72615.69,58777.75,50317.7,41856.74,38737.21,38826.31
72637.34,58778.8,50318.75,41857.79,38737.23,38826.31
72654.48,58776.33,50316.28,41855.32,38737.39,38826.3
72672.98,58774.94,50314.89,41853.93,38737.53,38826.31
72685.35,58773.68,50313.63,41852.67,38737.65,38826.33
72693.59,58773.31,50313.26,41852.3,38737.76,38826.36
72698.33,58769.62,50309.57,41848.61,38737.97,38826.38
72695.83,58757.16,50297.11,41836.15,38738.38,38826.4
72700.55,58749.51,50289.46,41828.5,38738.65,38826.42
72711.44,58747.09,50287.04,41826.08,38738.81,38826.44
72738.5,58755.81,50295.76,41834.8,38738.66,38826.46
72768.06,58601.93,50042.35,41481.86,38308.22,38397.93
72797.38,58631.25,50071.67,41511.18,38337.54,38427.25
72825.63,58659.5,50099.92,41539.43,38365.79,38455.5
72857.42,58691.29,50131.71,41571.22,38397.58,38487.29
72894.58,58544.95,49883.27,41223.25,37971.14,38062.77
72948.3,58415.17,49649.43,40889.88,37558.67,37652.32
73006.7,58290.08,49421.57,40562.49,37153.340000000004,37249.02
73071.0,58354.38,49485.87,40626.79,37217.64,37313.32
73137.23,58420.61,49552.1,40693.02,37283.87,37379.55
73205.19,58488.57,49620.06,40760.98,37351.83,37447.51
73271.8,58555.18,49686.67,40827.59,37418.44,37514.12
73333.47,58616.85,49748.34,40889.26,37480.11,37575.79
73380.07,58663.45,49794.94,40935.86,37526.71,37622.39
73431.72,58685.32,49816.81,40957.73,37526.62,37622.41
73477.84,58702.92,49834.41,40975.33,37526.65,37622.42
73518.99,58721.02,49852.51,40993.43,37526.61,37622.43
73565.25,58747.55,49879.04,41019.96,37526.28,37622.47
73615.75,58778.58,49910.07,41050.99,37525.76,37622.52
73659.1,58802.96,49934.45,41075.37,37525.3,37622.57
73704.74,58825.02,49956.51,41097.43,37524.9,37622.61
73754.21,58849.18,49980.67,41121.59,37524.39,37622.65
73817.44,58881.79,50013.28,41154.2,37523.68,37622.69
73874.94,58911.82,50043.31,41184.23,37523.06,37622.74
73916.36,58931.69,50063.18,41204.1,37522.72,37622.78
73955.01,58970.34,50101.83,41242.75,37561.37,37661.43
73996.0,59011.33,50142.82,41283.74,37602.36,37702.42
74036.01,59051.34,50182.83,41323.75,37642.37,37742.43
74078.54,59093.87,50225.36,41366.28,37684.9,37784.96
74125.76,59141.09,50272.58,41413.5,37732.12,37832.18
74171.94,59187.27,50318.76,41459.68,37778.3,37878.36
74217.92,59233.25,50364.74,41505.66,37824.28,37924.34
74272.79,59110.45,50142.41,41183.8,37426.29,37528.55
74326.48,58985.52,49917.95,40859.81,37026.07,37130.52
74374.25,58856.06,49688.96,40531.29,36622.38,36728.97
74420.18000000001,58724.86,49458.23,40201.03,36215.26,36323.97
74458.06,58762.74,49496.11,40238.91,36253.14,36361.85
74487.2,58791.88,49525.25,40268.05,36282.28,36390.99
74517.67,58808.29,49539.78,40282.58,36282.090000000004,36391.01
74554.23,58824.4,49554.42,40297.22,36281.9,36391.03
74591.38,58840.91,49570.93,40313.73,36281.65,36391.05
74636.22,58862.61,49592.63,40335.43,36281.24,36391.1
74672.86,58878.83,49608.85,40351.65,36280.95,36391.14
74704.03,58889.98,49620.0,40362.8,36280.72,36391.18
74733.34,58896.96,49626.98,40369.78,36280.56,36391.22
74750.96,58895.6,49625.62,40368.42,36280.58,36391.27
74764.18000000001,58895.15,49625.17,40367.97,36280.55,36391.34
74783.14,58899.82,49629.84,40372.64,36280.35,36391.41
74803.72,58906.17,49636.19,40378.99,36280.01,36391.46
74823.5,58925.95,49655.97,40398.77,36299.79,36411.24
74841.53,58760.48,49389.32,40032.59,35872.02,35985.15
74866.22,58601.68,49128.6,39672.34,35445.73,35560.64
74897.32,58632.78,49159.7,39703.44,35476.83,35591.74
74934.03,58669.49,49196.41,39740.15,35513.54,35628.45
74970.33,58522.29,48942.8,39387.01,35092.86,35209.97
75012.83,58381.3,48692.99,39037.67,34674.64,34794.01
75059.66,58244.63,48445.2,38690.35,34255.49,34377.21
75108.65,58293.62,48494.19,38739.34,34304.48,34426.2
75157.45,58158.92,48248.38,38394.0,33885.56,34009.68
75201.61,58203.08,48292.54,38438.16,33929.72,34053.84
75249.78,58067.75,48052.41,38098.5,33511.63,33638.05
75283.2,57917.68,47800.76,37747.32,33087.9,33216.24
75322.41,57930.22,47803.43,37749.99,33087.74,33216.26
75365.97,57945.21,47807.63,37754.19,33087.54,33216.29
75393.54,57945.33,47807.75,37754.31,33087.31,33216.31
75404.65,57937.75,47800.17,37746.73,33087.2,33216.32
75414.54,57925.46,47787.88,37734.44,33087.13,33216.34
75429.98,57916.07,47774.91,37721.47,33087.08,33216.37
75457.69,57915.57,47766.81,37713.37,33086.91,33216.41
75497.16,57927.37,47765.05,37711.61,33086.6,33216.46
75536.79,57943.48,47764.61,37711.17,33086.32,33216.52
75571.73,57962.22,47767.77,37714.33,33085.95,33216.57
75607.6,57981.07,47772.49,37719.05,33085.590000000004,33216.62
75641.19,57831.17,47508.94,37355.97,32651.36,32784.41
75674.25,57864.23,47542.0,37389.03,32684.420000000002,32817.47
75711.44,57901.42,47579.19,37426.22,32721.61,32854.66
75758.36,57764.85,47324.92,37072.42,32289.05,32424.31
75791.13,57614.13,47060.67,36708.64,31848.19,31985.69
75819.74,57642.74,47089.28,36737.25,31876.8,32014.3
75850.32,57489.82,46824.09,36372.53,31441.79,31581.55
75874.73,57330.73,46552.66,36001.57,31004.670000000002,31146.64
75894.66,57350.66,46572.59,36021.5,31024.6,31166.57
75908.53,57181.03,46295.65,35645.03,30579.28,30723.56
75916.88,57189.38,46304.0,35653.38,30587.63,30731.91
75919.41,57008.41,46017.78,35267.63,30137.46,30283.84
75923.03,57012.03,46021.4,35271.25,30141.08,30287.46
75921.49,57002.61,46010.9,35260.75,30140.96,30287.47
75926.77,56997.01,46005.3,35255.15,30140.73,30287.48
75942.83,56996.76,46005.05,35254.9,30140.38,30287.49
75968.71,57001.87,46010.16,35260.01,30139.94,30287.51
76001.01,57014.79,46023.08,35272.93,30139.39,30287.54
76038.22,57034.83,46043.12,35292.97,30138.74,30287.58
76088.45,57067.69,46075.26,35325.25,30137.86,30287.63
76151.26,57112.48,46116.71,35367.47,30136.8,30287.670000000002
76220.56,57166.2,46164.71,35415.47,30135.63,30287.72
76267.71,57201.94,46194.6,35445.36,30135.010000000002,30287.76
76316.03,57233.32,46215.36,35466.12,30134.68,30287.8
76351.26,57268.55,46250.59,35501.35,30169.91,30323.03
76386.44,57120.23,45988.61,35139.84,29744.77,29899.66
76417.15,56967.45,45726.51,34778.21,29321.16,29477.81
76449.44,56999.74,45758.8,34810.5,29353.45,29510.1
