0,20,40,60,80,100
10756.7,7035.3,3321.88,891.76,891.76,891.76
10771.51,6888.31,3013.09,421.17,399.76,399.76
10815.31,6932.11,3056.89,448.14,398.72,398.72
10860.32,6977.12,3101.9,479.48,397.75,397.75
10907.75,7024.55,3149.33,515.5600000000001,396.8,396.8
10959.98,7076.78,3201.56,556.6800000000001,395.81,395.81
11061.71,7178.51,3303.29,643.87,394.3,394.3
11178.59,7295.39,3420.17,727.17,392.76,392.76
11316.87,7433.67,3558.45,799.4,391.01,391.01
11492.91,7771.51,4058.09,1374.21,965.82,965.82
11639.82,8080.22,4528.6,1925.02,1516.63,1516.63
11767.84,8370.04,4980.22,2455.55,2047.16,2047.16
11837.24,8601.24,5373.22,2976.3,2567.91,2567.91
11946.93,8872.73,5806.51,3515.1800000000003,3106.79,3106.79
12030.67,9118.27,6213.85,4042.96,3634.57,3634.57
12182.880000000001,9270.48,6366.06,4106.54,3632.55,3632.55
12203.22,9452.62,6710.0,4537.07,4063.08,4063.08
12272.83,9522.23,6779.61,4536.17,4062.1800000000003,4062.1800000000003
12328.67,9578.07,6835.45,4535.57,4061.58,4061.58
12452.45,9701.85,6951.25,4534.1,4060.11,4060.11
12475.62,9725.02,6974.42,4534.14,4060.15,4060.15
12569.65,9819.05,7068.45,4557.29,4059.08,4059.08
12655.84,9905.24,7154.64,4602.06,4058.1800000000003,4058.1800000000003
12812.51,10061.91,7311.31,4683.54,4056.11,4056.11
12971.24,10220.64,7470.04,4830.2300000000005,4053.85,4053.85
13109.56,10358.960000000001,7608.360000000001,4968.55,4051.83,4051.76
13257.27,10506.67,7756.070000000001,5116.26,4065.75,4049.51
13399.34,10648.74,7898.14,5258.33,4078.33,4047.31
13529.95,10779.35,8028.75,5388.94,4084.17,4045.21
13619.04,10868.44,8117.84,5478.03,4082.87,4043.9100000000003
13558.23,10807.63,8057.030000000001,5417.22,4083.96,4045.0
13460.960000000001,10710.36,7959.76,5333.9800000000005,4085.56,4046.6
13348.97,10598.37,7847.77,5261.76,4087.32,4048.36
13219.18,10306.78,7394.38,4686.69,3512.25,3473.29
13102.49,10028.29,6954.09,4135.92,2961.48,2922.52
12999.17,9763.17,6527.17,3605.56,2431.12,2392.16
12948.76,9550.960000000001,6153.16,3085.02,1910.58,1871.62
12834.06,9274.460000000001,5714.860000000001,2546.73,1372.29,1333.33
12698.06,8976.66,5255.26,2020.32,845.88,806.92
12598.460000000001,9038.86,5479.26,2406.12,1297.28,1258.3200000000002
12584.59,9024.99,5465.39,2392.25,1283.41,1244.45
12403.06,9005.26,5607.46,2675.63,1566.79,1527.83
12349.9,8952.1,5554.3,2676.5099999999998,1567.67,1528.71
12368.48,8970.68,5572.88,2676.21,1567.3700000000001,1528.41
12343.16,8945.36,5547.56,2676.64,1567.8,1528.84
12353.25,8955.45,5557.65,2686.73,1567.64,1528.68
12348.9,9112.9,5876.9,3167.7799999999997,2094.36,2055.4
12310.61,9236.41,6162.21,3614.89,2625.02,2586.06
12284.81,9210.61,6136.41,3589.09,2625.41,2586.45
