0,20,40,60,80,100
5767.2300000000005,2154.1,797.91,511.09,426.01,426.01
5777.15,2152.73,797.84,511.02,425.94,425.94
5773.68,2143.31,797.29,510.46999999999997,425.39,425.39
5769.83,2135.14,796.8199999999999,510.0,424.92,424.92
5761.86,2124.6,796.21,509.39,424.31,424.31
5739.4,2106.26,795.15,508.33,423.25,423.25
5709.3,2087.58,794.0699999999999,507.25,422.17,422.17
5662.3,2059.19,792.4399999999999,505.62,420.54,420.54
5550.39,1989.98,763.09,502.66,417.58,417.58
5322.42,1800.46,683.15,467.36,412.17,412.17
5106.75,1608.87,597.95,431.34000000000003,407.13,407.13
4931.41,1445.03,534.87,408.25,403.47,403.47
4808.48,1322.54,507.45,401.9,401.9,401.9
4741.67,1255.73,508.88,401.92,401.92,401.92
4730.2,1244.25,510.51,402.03000000000003,402.03000000000003,402.03000000000003
4760.91,1274.95,521.93,402.69,402.69,402.69
4775.78,1289.3600000000001,532.95,403.32,403.32,403.32
4795.76,1309.85,543.17,404.02,404.02,404.02
4746.64,1288.21,542.74,403.59000000000003,403.59000000000003,403.59000000000003
4661.34,1257.75,541.56,402.41,402.41,402.41
4586.55,1232.83,540.34,401.19,401.19,401.19
4545.57,1224.64,539.86,400.71,400.71,400.71
4526.03,1225.64,539.91,400.76,400.76,400.76
4546.63,1239.14,540.75,401.6,401.6,401.6
4563.3,1247.76,541.25,402.1,402.1,402.1
4580.63,1254.07,541.61,402.46,402.46,402.46
4600.63,1260.61,541.99,402.84000000000003,402.84000000000003,402.84000000000003
4592.32,1255.62,541.7,402.55,402.55,402.55
4571.97,1244.94,541.02,401.87,401.87,401.87
4560.25,1240.3,540.66,401.51,401.51,401.51
4541.66,1231.93,540.19,401.04,401.04,401.04
4521.38,1224.71,539.77,400.62,400.62,400.62
4488.55,1208.78,538.85,399.7,399.7,399.7
4446.05,1187.51,537.63,398.48,398.48,398.48
4352.05,1145.75,535.33,396.18,396.18,396.18
4209.65,1078.49,518.9,392.73,392.73,392.73
4033.39,990.45,488.86,388.41,388.41,388.41
3835.14,878.57,451.12,383.62,383.62,383.62
3628.24,754.75,421.52,379.36,379.36,379.36
3450.85,637.92,396.93,375.8,375.8,375.8
3327.41,567.39,382.47,372.95,372.95,372.95
3220.74,496.52,370.49,370.49,370.49,370.49
3189.9,475.66,369.29,369.29,369.29,369.29
3199.9900000000002,472.48,369.11,369.11,369.11,369.11
3257.24,486.78000000000003,369.93,369.93,369.93,369.93
3360.5299999999997,532.38,371.88,371.88,371.88,371.88
3480.2799999999997,589.44,378.14,374.11,374.11,374.11
3616.47,667.44,389.7,376.39,376.39,376.39
3775.91,776.8,408.79,379.2,379.2,379.2
3974.3199999999997,924.6700000000001,442.47,382.92,382.92,382.92
4199.92,1097.03,486.24,387.23,387.23,387.23
4434.43,1265.41,524.64,391.62,391.62,391.62
4656.46,1417.22,560.99,396.14,396.14,396.14
4886.17,1575.53,601.73,400.93,400.93,400.93
5110.07,1726.99,640.17,405.49,405.49,405.49
5320.89,1864.67,674.03,409.75,409.75,409.75
5541.29,2020.6100000000001,712.27,414.08,414.08,414.08
5758.85,2178.5,749.79,418.34000000000003,418.34000000000003,418.34000000000003
5965.76,2309.09,776.47,422.66,422.66,422.66
6162.18,2418.87,795.75,426.95,426.95,426.95
6353.72,2521.75,813.36,431.6,431.6,431.6
6533.1900000000005,2614.85,826.45,435.98,435.98,435.98
6698.12,2696.7000000000003,835.65,439.59000000000003,439.59000000000003,439.59000000000003
6840.7,2778.73,843.81,442.37,442.37,442.37
6955.61,2840.14,845.98,444.54,444.54,444.54
7057.56,2906.28,848.84,446.48,446.48,446.48
7166.26,2975.71,852.36,448.65,448.65,448.65
7272.29,3031.81,854.29,450.58,450.58,450.58
7312.13,3057.39,855.16,451.45,451.45,451.45
7287.33,3041.7000000000003,854.53,450.82,450.82,450.82
7235.44,3006.08,849.19,449.51,449.51,449.51
7139.38,2936.02,838.03,447.63,447.63,447.63
6963.23,2819.96,818.57,444.45,444.45,444.45
6738.61,2664.25,784.45,440.29,440.29,440.29
6493.83,2485.33,740.32,435.62,435.62,435.62
6267.82,2321.2200000000003,702.18,431.49,431.49,431.49
6075.79,2182.75,666.68,427.82,427.82,427.82
5916.43,2048.55,627.44,424.53,424.53,424.53
5777.46,1929.48,590.68,421.65,421.65,421.65
5728.0599999999995,1880.08,567.67,420.34000000000003,420.34000000000003,420.34000000000003
5696.9,1848.92,551.9300000000001,419.46,419.46,419.46
5693.93,1845.94,545.24,419.07,419.07,419.07
5700.15,1852.16,544.8,418.95,418.95,418.95
5718.25,1870.26,548.15,419.11,419.11,419.11
5706.2,1858.21,543.41,418.36,418.36,418.36
5688.34,1840.36,536.53,417.19,417.19,417.19
5658.22,1813.62,529.9,416.15,416.15,416.15
5649.099999999999,1804.5,525.0,415.78000000000003,415.78000000000003,415.78000000000003
5676.63,1832.62,534.02,416.28000000000003,416.28000000000003,416.28000000000003
5714.62,1870.62,547.11,417.03000000000003,417.03000000000003,417.03000000000003
5742.87,1898.87,555.94,417.54,417.54,417.54
5755.29,1911.45,559.94,417.92,417.92,417.92
5758.08,1918.63,560.24,418.22,418.22,418.22
5770.79,1935.62,560.95,418.93,418.93,418.93
5856.8099999999995,2006.54,575.49,420.77,420.77,420.77
5990.0,2113.72,598.73,423.37,423.37,423.37
6103.2,2164.72,600.87,425.51,425.51,425.51
6235.82,2228.43,603.21,427.85,427.85,427.85
6401.33,2328.07,615.4300000000001,430.7,430.7,430.7
6628.36,2493.2,647.56,434.51,434.51,434.51
6916.31,2727.59,716.52,446.54,439.21000000000004,439.21000000000004
7232.4,3018.52,852.23,481.08,444.61,444.61
7620.02,3386.24,1072.83,558.15,464.08000000000004,451.22
7965.96,3732.18,1319.0,657.6800000000001,493.88,457.2
8259.34,4025.56,1540.63,750.88,520.1800000000001,462.34000000000003
8492.75,4258.97,1725.65,830.25,538.29,466.87
8696.75,4462.97,1862.41,877.16,542.6800000000001,471.26
8913.82,4680.04,2006.89,926.02,547.91,476.49
9178.06,4944.28,2171.25,981.68,554.22,482.8
9473.37,5239.58,2357.76,1046.35,563.74,489.69
9804.970000000001,5567.8,2560.69,1118.94,577.69,496.21
10115.03,5877.85,2765.73,1192.17,591.2,501.83
10364.58,6127.41,2921.67,1242.85,595.53,506.15999999999997
10573.09,6335.91,3050.8,1278.0,599.03,509.65999999999997
10761.07,6523.89,3153.05,1301.32,602.17,512.8
10916.06,6678.87,3218.98,1307.82,604.69,515.32
11075.710000000001,6823.38,3266.5,1310.31,607.18,517.81
11195.91,6925.69,3291.94,1312.03,608.9,519.53
11236.08,6965.86,3297.29,1312.34,609.21,519.84
11215.67,6945.45,3284.69,1311.61,608.48,519.11
11233.300000000001,6965.18,3284.62,1311.54,608.41,519.04
11194.48,6932.84,3283.77,1310.69,607.56,518.1899999999999
11094.65,6850.74,3272.56,1308.85,605.72,516.35
10914.79,6695.15,3240.98,1305.59,602.46,513.09
10651.95,6462.08,3172.1,1293.6399999999999,597.84,508.46999999999997
10313.28,6158.98,3035.68,1258.39,591.73,502.36
9911.81,5778.27,2814.48,1180.72,571.66,495.15
9515.07,5387.71,2559.24,1080.02,540.69,488.0
9184.83,5057.48,2321.0,985.85,513.42,481.89
8918.93,4791.59,2120.89,905.5699999999999,494.4,476.45
8723.42,4596.08,1977.47,858.01,489.36,471.40999999999997
8488.93,4361.59,1822.66,808.08,483.06,465.11
8236.7,4109.37,1657.1,752.2,476.53,458.58
7975.6900000000005,3848.37,1477.05,688.34,467.82,452.5
7725.99,3598.67,1292.3,617.3199999999999,455.44,447.55
7470.37,3343.05,1104.91,545.09,442.93,442.93
7294.32,3166.99,974.92,495.65,439.84,439.84
7169.77,3042.44,884.62,462.02,437.86,437.86
7069.42,2942.08,818.61,440.21,436.23,436.23
6995.27,2867.94,774.32,434.95,434.95,434.95
6979.78,2852.45,761.28,434.59,434.59,434.59
7018.33,2891.0,777.75,435.1,435.1,435.1
7041.65,2914.33,787.98,435.67,435.67,435.67
7091.85,2964.54,803.65,436.58,436.58,436.58
7184.2,3056.89,828.58,438.14,438.14,438.14
7352.56,3218.78,864.99,440.83,440.83,440.83
7532.52,3381.02,895.46,443.73,443.73,443.73
7662.05,3486.29,908.18,445.9,445.9,445.9
7773.18,3567.65,914.21,447.81,447.81,447.81
7927.24,3686.15,928.97,450.39,450.39,450.39
8014.59,3752.74,932.1,451.90999999999997,451.90999999999997,451.90999999999997
8053.18,3785.16,932.77,452.58,452.58,452.58
8053.31,3785.29,932.44,452.57,452.57,452.57
8041.62,3773.59,930.4,452.51,452.51,452.51
7999.18,3731.16,922.92,452.63,452.63,452.63
8031.15,3763.14,934.86,454.1,454.1,454.1
8099.5599999999995,3831.55,958.71,455.85,455.85,455.85
8170.66,3902.64,986.8,457.15999999999997,457.15999999999997,457.15999999999997
8228.49,3960.4700000000003,1012.28,458.45,458.45,458.45
8318.13,4050.11,1052.2,460.62,460.08,460.08
8381.24,4113.22,1080.7,463.54,460.95,460.95
8394.73,4126.72,1081.5,463.57,460.98,460.98
8400.67,4132.67,1079.32,463.51,460.92,460.92
8389.44,4121.43,1076.73,463.37,460.78,460.78
8291.15,4023.13,1048.14,461.97,459.38,459.38
8161.97,3893.94,1006.24,459.75,457.16,457.16
8041.2,3772.22,976.64,457.55,454.96,454.96
7902.53,3644.17,950.72,455.16,452.57,452.57
7731.37,3496.68,924.61,452.42,449.83,449.83
7517.7699999999995,3317.4,887.52,449.05,446.46,446.46
7309.65,3145.86,856.52,445.62,443.03,443.03
7162.34,3035.26,843.5,443.15,440.56,440.56
7042.85,2954.43,837.5,441.27,438.68,438.68
6896.83,2841.76,823.09,439.04,436.45,436.45
6803.72,2776.36,820.08,437.64,435.05,435.05
6729.11,2723.76,819.0,436.56,433.97,433.97
6686.86,2680.8,815.27,435.92,433.33,433.33
6659.95,2653.89,809.21,435.53000000000003,432.94,432.94
6702.89,2696.82,817.61,435.39,432.8,432.8
6728.78,2722.71,820.82,434.62,432.03000000000003,432.03000000000003
6734.21,2728.14,821.72,433.71,431.12,431.12
6752.4,2746.34,831.55,433.37,430.78000000000003,430.78000000000003
6780.54,2774.49,846.72,433.18,430.59000000000003,430.59000000000003
