0,20,40,60,80,100
2061.29,301.71,290.1,287.41,287.1,287.1
2061.29,301.71,290.1,287.41,287.1,287.1
2061.29,301.71,290.1,287.41,287.1,287.1
2061.29,301.71,290.1,287.41,287.1,287.1
2061.29,301.71,290.1,287.44,287.1,287.1
2061.29,301.71,290.1,287.52,287.15,287.15
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.1,287.75,287.35,287.35
2061.29,301.71,290.45,287.93,287.5,287.5
2061.29,301.71,290.7,288.01,287.56,287.56
2061.29,301.71,290.88,288.03,287.56,287.56
2061.29,301.71,291.03,288.03,287.56,287.56
2061.29,301.71,291.22,288.06,287.56,287.56
2061.29,301.71,291.35,288.06,287.56,287.56
2061.29,301.71,291.44,288.06,287.56,287.56
2061.29,301.71,291.44,288.06,287.56,287.56
2061.29,301.71,291.44,288.06,287.56,287.56
2061.29,301.71,291.44,288.06,287.56,287.56
2061.29,301.71,291.44,288.06,287.56,287.56
2061.29,301.71,291.44,288.06,287.56,287.56
2061.29,301.71,291.58,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.06,287.56,287.56
2061.29,301.71,291.74,288.21,287.66,287.66
2061.29,301.71,291.74,288.35,287.75,287.75
2061.29,301.71,291.74,288.35,287.84,287.84
2061.29,301.71,291.74,288.35,287.93,287.93
2061.29,301.71,291.74,288.35,287.99,287.99
2061.29,301.71,291.74,288.48,288.09,288.09
2061.29,301.71,291.74,288.48,288.09,288.09
2061.29,301.71,291.74,288.48,288.09,288.09
2061.29,301.71,291.74,288.48,288.09,288.09
2061.29,301.71,291.74,288.48,288.09,288.09
2061.29,301.71,291.74,288.48,288.09,288.09
2061.29,301.71,291.89,288.48,288.09,288.09
2061.29,301.71,292.29,288.69,288.27,288.27
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,288.98,288.51,288.51
2061.29,301.71,292.75,289.06,288.54,288.54
2061.29,301.71,292.75,289.15,288.58,288.58
2061.29,301.71,292.75,289.24,288.63,288.63
2061.29,301.71,292.75,289.36,288.7,288.7
2061.29,301.71,292.75,289.44,288.73,288.73
2061.29,301.71,292.75,289.44,288.73,288.73
2061.29,301.71,292.75,289.44,288.73,288.73
2061.29,301.71,292.75,289.44,288.73,288.73
2061.29,301.71,292.75,289.44,288.73,288.73
2061.29,301.71,292.75,289.44,288.73,288.73
2061.29,301.71,292.75,289.45,288.73,288.73
2061.29,301.71,292.75,289.45,288.73,288.73
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.76,289.0,289.0
2061.29,301.71,292.75,289.81,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.75,289.82,289.0,289.0
2061.29,301.71,292.95,289.87,289.0,289.0
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.03,289.1,289.1
2061.29,301.71,293.28,290.05,289.1,289.1
2061.29,301.71,293.46,290.08,289.1,289.1
2061.29,301.71,293.46,290.12,289.1,289.1
2061.29,301.71,293.64,290.14,289.1,289.1
2061.29,301.71,293.86,290.2,289.1,289.1
2061.29,301.71,294.03,290.21,289.1,289.1
2061.29,301.71,294.08,290.21,289.1,289.1
2061.29,301.71,294.08,290.21,289.1,289.1
2061.29,301.71,294.08,290.21,289.1,289.1
2061.29,301.71,294.08,290.21,289.1,289.1
2061.29,301.71,294.09,290.21,289.1,289.1
2061.29,301.71,294.17,290.21,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.28,289.1,289.1
2061.29,301.71,294.41,290.33,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.36,289.1,289.1
2061.29,301.71,294.41,290.39,289.1,289.1
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.12,289.12
2061.29,301.71,294.41,290.5,289.13,289.13
2061.29,301.71,294.41,290.5,289.17,289.17
2061.29,301.71,294.41,290.5,289.2,289.2
2061.29,301.71,294.41,290.5,289.2,289.2
2061.29,301.71,294.41,290.5,289.21,289.21
2061.29,301.71,294.41,290.5,289.21,289.21
2061.29,301.71,294.41,290.5,289.21,289.21
2061.29,301.71,294.41,290.5,289.21,289.21
2061.29,301.71,294.41,290.5,289.21,289.21
2061.29,301.71,294.41,290.5,289.21,289.21
2061.29,301.71,294.41,290.52,289.21,289.21
2061.29,301.71,294.41,290.65,289.26,289.26
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.46,289.46
2061.29,301.71,294.41,290.93,289.55,289.55
2061.29,301.71,294.41,290.93,289.66,289.66
2061.29,301.71,294.41,290.93,289.79,289.79
2061.29,301.71,294.41,290.93,289.83,289.83
2061.29,301.71,294.41,290.93,289.88,289.88
2061.29,301.71,294.41,290.93,289.91,289.91
2061.29,301.71,294.41,290.93,289.91,289.91
2061.29,301.71,294.41,290.93,289.91,289.91
2061.29,301.71,294.41,290.93,289.91,289.91
2061.29,301.71,294.41,290.93,289.91,289.91
2061.29,301.71,294.41,290.93,289.93,289.93
2061.29,301.71,294.41,290.93,289.96,289.96
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.12,290.09,290.09
2061.29,301.71,294.41,291.18,290.09,290.09
2061.29,301.71,294.41,291.22,290.09,290.09
2061.29,301.71,294.41,291.22,290.09,290.09
2061.29,301.71,294.41,291.23,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.28,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.29,290.09,290.09
2061.29,301.71,294.41,291.31,290.09,290.09
2061.29,301.71,294.41,291.34,290.09,290.09
2061.29,301.71,294.41,291.35,290.09,290.09
2061.29,301.71,294.41,291.39,290.09,290.09
2061.29,301.71,294.41,291.39,290.09,290.09
2061.29,301.71,294.41,291.39,290.09,290.09
2061.29,301.71,294.5,291.39,290.09,290.09
2061.29,301.71,294.53,291.39,290.09,290.09
2061.29,301.71,294.53,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.56,291.39,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
2061.29,301.71,294.75,291.44,290.09,290.09
