0,20,40,60,80,100
7802.66,2857.23,333.82,307.03,307.03,307.03
7866.31,2920.88,347.87,307.01,307.01,307.01
7939.88,2994.45,359.40999999999997,306.99,306.99,306.99
8018.0,3072.58,377.94,306.99,306.99,306.99
8107.38,3161.96,401.63,306.99,306.99,306.99
8200.38,3254.96,433.21,307.0,307.0,307.0
8296.48,3351.06,464.61,307.0,307.0,307.0
8406.210000000001,3460.79,498.82,306.96999999999997,306.96999999999997,306.96999999999997
8525.68,3580.25,537.63,306.95,306.95,306.95
8657.86,3712.43,584.93,306.92,306.92,306.92
8801.65,3856.22,641.78,306.9,306.9,306.9
8957.48,4012.05,713.24,306.88,306.88,306.88
9125.95,4180.5199999999995,804.01,306.88,306.86,306.86
9304.97,4359.54,905.03,306.84,306.78,306.78
9491.22,4545.8,1015.67,308.13,308.41,308.41
9679.94,4734.53,1137.07,317.13,310.09,310.09
9892.51,4947.1,1279.01,346.64,312.12,312.12
10138.49,5193.08,1451.75,404.89,314.47,314.47
10420.0,5474.59,1658.6499999999999,487.94,317.14,317.16
10711.13,5765.72,1881.19,581.99,319.78,319.94
11025.72,6080.3,2123.17,682.75,322.46,322.85
11346.539999999999,6401.12,2373.2,783.64,325.13,325.77
11670.31,6724.89,2627.25,886.58,327.76,328.67
11985.78,7040.37,2872.21,992.59,330.24,331.45
12283.88,7338.48,3100.2999999999997,1094.03,332.62,334.06
12569.06,7623.66,3312.3199999999997,1178.44,332.63,334.06
12825.1,7879.7,3495.69,1240.61,332.58,334.01
13040.47,8095.07,3642.49,1278.25,332.52,333.95
13212.84,8267.44,3751.04,1289.97,332.48,333.91
13347.7,8402.3,3829.59,1290.0,332.46,333.89
13484.99,8539.59,3910.23,1290.01,332.43,333.86
13617.89,8672.5,3985.47,1290.07,332.44,333.87
13749.96,8804.58,4062.75,1291.81,332.49,333.92
13891.03,8945.65,4154.25,1309.31,332.56,333.99
14030.8,9085.42,4251.48,1337.48,332.64,334.07
14170.24,9224.85,4358.22,1387.77,332.73,334.16
14310.0,9364.61,4475.7699999999995,1461.73,332.85,334.28
14435.5,9490.11,4585.5199999999995,1535.65,333.06,334.49
14548.46,9603.06,4680.37,1609.79,334.23,335.66
14625.48,9680.07,4742.19,1657.49,335.02,336.45
14662.67,9717.25,4771.83,1679.17,335.41,336.84000000000003
14671.45,9726.03,4780.61,1675.95,335.49,336.92
14646.82,9701.41,4755.98,1642.35,335.15,336.56
14570.29,9624.88,4679.45,1569.54,334.42,335.69
14405.82,9460.41,4525.36,1469.99,333.07,334.11
14174.4,9228.98,4324.02,1369.9,331.2,331.99
13902.97,8957.55,4089.2,1267.32,328.93,329.45
13618.64,8673.210000000001,3845.32,1161.44,326.58,326.8
13310.15,8364.710000000001,3601.13,1059.73,323.93,323.92
13000.28,8054.84,3375.09,975.35,323.95,323.95
12706.800000000001,7761.36,3180.19,913.2,324.02,324.02
12441.36,7495.92,3014.89,875.59,324.11,324.11
12200.37,7254.92,2882.69,863.91,324.19,324.19
11977.41,7031.96,2772.58,863.89,324.22,324.22
11746.19,6800.74,2660.55,863.89,324.26,324.26
11508.960000000001,6563.51,2551.11,863.87,324.29,324.29
11256.42,6310.97,2435.04,862.17,324.28,324.28
10978.42,6032.97,2296.26,844.72,324.26,324.26
10684.03,5738.58,2142.21,816.6,324.23,324.23
10374.35,5428.9,1964.05,766.37,324.2,324.2
10058.6,5113.15,1755.76,692.45,324.14,324.14
9753.94,4808.49,1545.05,618.62,324.06,324.06
9464.39,4518.94,1339.69,543.4399999999999,321.51,321.51
9193.39,4247.94,1156.59,486.88,319.18,319.18
8926.880000000001,3981.43,985.12,435.75,316.82,316.82
8652.26,3706.8,803.6899999999999,380.73,314.4,314.4
8380.130000000001,3434.66,621.44,331.24,312.03,312.03
8128.650000000001,3183.17,475.44,309.78,309.9,309.9
7944.51,2999.03,387.61,308.4,308.4,308.4
7815.7,2870.23,338.98,307.39,307.39,307.39
7754.39,2808.9300000000003,318.46999999999997,306.99,306.99,306.99
7768.14,2822.69,332.07,307.23,307.23,307.23
7823.280000000001,2877.84,361.55,307.85,307.85,307.85
7903.650000000001,2958.21,393.37,307.90999999999997,307.90999999999997,307.90999999999997
7949.14,3003.7,395.83,307.96999999999997,307.96999999999997,307.96999999999997
7979.05,3033.61,395.91,307.99,307.99,307.99
8003.2300000000005,3057.8,395.98,308.02,308.02,308.02
8006.84,3061.41,396.03,308.05,308.05,308.05
8007.650000000001,3062.22,396.06,308.07,308.07,308.07
8001.280000000001,3055.84,396.08,308.09,308.09,308.09
7992.32,3046.88,396.1,308.11,308.11,308.11
7987.85,3042.41,396.1,308.11,308.11,308.11
7986.71,3042.32,396.11,308.12,308.12,308.12
7993.43,3049.05,396.12,308.13,308.13,308.13
8013.76,3069.38,396.15999999999997,308.13,308.13,308.13
8052.55,3108.17,408.61,308.15,308.15,308.15
8135.92,3191.54,455.56,308.9,308.9,308.9
8256.85,3312.48,522.69,309.94,309.94,309.94
8410.4,3466.0299999999997,601.91,311.26,311.26,311.26
8590.28,3645.92,703.5699999999999,312.62,312.86,312.86
8789.01,3844.65,823.52,320.16,314.76,314.76
9017.34,4072.98,954.9,339.26,316.88,316.88
9240.14,4295.78,1080.13,352.22,318.9,318.9
9454.12,4509.75,1193.63,353.69,320.77,320.77
9596.41,4652.03,1280.03,354.85,322.02,322.02
9639.210000000001,4694.82,1318.04,355.28000000000003,322.45,322.45
9644.1,4699.7,1332.97,355.36,322.53,322.53
9593.79,4649.39,1312.23,355.22,322.39,322.39
9575.470000000001,4631.06,1309.73,355.07,322.24,322.24
9570.68,4626.27,1309.6,354.95,322.12,322.12
9576.220000000001,4631.8099999999995,1309.5,354.86,322.03,322.03
9605.18,4660.77,1309.48,354.82,321.99,321.99
9633.94,4691.0,1312.4,357.92,325.09,325.09
9681.7,4738.7699999999995,1312.3400000000001,357.83,325.0,325.0
9743.460000000001,4800.53,1312.28,357.73,324.9,324.9
9806.24,4863.31,1312.23,357.64,324.81,324.81
9865.7,4921.72,1312.17,357.54,324.71,324.71
9914.44,4970.46,1312.1200000000001,357.44,324.61,324.61
9939.16,4995.18,1318.41,357.34000000000003,324.51,324.51
9939.37,4995.39,1318.31,357.17,324.34,324.34
9895.960000000001,4951.99,1293.8600000000001,356.6,323.77,323.77
9838.75,4894.7699999999995,1264.7,355.95,323.12,323.12
9762.14,4818.17,1229.6000000000001,355.27,322.44,322.44
9671.31,4727.33,1181.32,354.66,321.59,321.59
9579.76,4635.78,1128.94,348.15,320.71999999999997,320.71999999999997
9514.16,4570.18,1088.69,330.46999999999997,320.12,320.12
9514.8,4570.82,1087.78,329.57,320.04,320.04
9574.23,4630.26,1137.43,371.01,320.54,320.54
9712.15,4768.18,1253.83,441.90999999999997,321.85,321.85
9915.28,4971.3099999999995,1421.45,535.95,323.6,323.74
10173.79,5229.83,1631.28,654.62,330.11,326.23
10489.07,5545.11,1881.71,786.3599999999999,348.21999999999997,326.42
10811.63,5867.68,2132.9,914.18,362.40999999999997,326.59999999999997
11128.96,6185.01,2375.25,1034.37,368.96999999999997,326.82
11445.64,6501.6900000000005,2612.89,1145.44,369.18,326.98
11765.57,6821.62,2852.5099999999998,1255.31,369.36,327.11
12082.58,7137.16,3076.95,1345.57,366.38,324.11
12382.47,7437.05,3290.48,1418.01,366.68,324.40999999999997
12665.91,7720.49,3490.29,1479.61,366.94,324.67
12941.96,7996.54,3685.48,1535.87,367.19,324.92
13199.58,8255.63,3864.06,1578.1399999999999,372.76,330.49
13433.3,8490.81,4024.7,1612.36,378.2,335.93
13634.23,8691.74,4156.89,1631.0,378.45,336.18
13805.95,8863.460000000001,4264.39,1637.4,378.7,336.43
13953.84,9011.35,4353.55,1638.48,380.07,337.8
14072.81,9130.32,4417.55,1639.34,381.12,338.85
14180.369999999999,9237.880000000001,4469.29,1639.92,381.83,339.56
14258.41,9315.92,4499.31,1640.32,382.23,339.96
14307.26,9364.77,4509.18,1640.3799999999999,382.29,340.02
14302.949999999999,9360.47,4480.44,1639.96,381.77,339.5
14205.26,9262.78,4394.63,1628.58,380.51,338.24
14020.99,9078.51,4244.33,1586.05,378.52,336.25
13759.119999999999,8816.65,4041.41,1513.8799999999999,375.85,333.58
13447.4,8504.94,3807.97,1418.58,372.84,330.43
13128.4,8185.9400000000005,3553.53,1299.0,365.42,327.03
