0,20,40,60,80,100
17314.39,17314.39,17314.39,17314.39,17314.39,17314.39
17311.32,17311.32,17311.32,17311.32,17311.32,17311.32
17302.36,17302.36,17302.36,17302.36,17302.36,17302.36
17299.28,17299.28,17299.28,17299.28,17299.28,17299.28
17292.5,17292.5,17292.5,17292.5,17292.5,17292.5
17284.95,17284.95,17284.95,17284.95,17284.95,17284.95
17284.93,17284.93,17284.93,17284.93,17284.93,17284.93
17288.79,17288.79,17288.79,17288.79,17288.79,17288.79
17289.59,17289.59,17289.59,17289.59,17289.59,17289.59
17291.15,17291.15,17291.15,17291.15,17291.15,17291.15
17291.15,17291.15,17291.15,17291.15,17291.15,17291.15
17294.25,17294.25,17294.25,17294.25,17294.25,17294.25
17300.23,17300.23,17300.23,17300.23,17300.23,17300.23
17307.33,17307.33,17307.33,17307.33,17307.33,17307.33
17326.32,17326.32,17326.32,17326.32,17326.32,17326.32
17334.07,17334.07,17334.07,17334.07,17334.07,17334.07
17336.95,17336.95,17336.95,17336.95,17336.95,17336.95
17338.16,17338.16,17338.16,17338.16,17338.16,17338.16
17342.05,17342.05,17342.05,17342.05,17342.05,17342.05
17351.27,17351.27,17351.27,17351.27,17351.27,17351.27
17372.93,17372.93,17372.93,17372.93,17372.93,17372.93
17380.28,17380.28,17380.28,17380.28,17380.28,17380.28
17383.98,17383.98,17383.98,17383.98,17383.98,17383.98
17395.11,17395.11,17395.11,17395.11,17395.11,17395.11
17411.51,17411.51,17411.51,17411.51,17411.51,17411.51
17428.3,17428.3,17428.3,17428.3,17428.3,17428.3
17433.7,17433.7,17433.7,17433.7,17433.7,17433.7
17448.64,17448.64,17448.64,17448.64,17448.64,17448.64
17464.19,17464.19,17464.19,17464.19,17464.19,17464.19
17475.58,17475.58,17475.58,17475.58,17475.58,17475.58
17491.15,17491.15,17491.15,17491.15,17491.15,17491.15
17511.4,17511.4,17511.4,17511.4,17511.4,17511.4
17520.19,17520.19,17520.19,17520.19,17520.19,17520.19
17524.15,17524.15,17524.15,17524.15,17524.15,17524.15
17529.17,17529.17,17529.17,17529.17,17529.17,17529.17
17546.32,17546.32,17546.32,17546.32,17546.32,17546.32
17553.98,17553.98,17553.98,17553.98,17553.98,17553.98
17553.59,17553.59,17553.59,17553.59,17553.59,17553.59
17545.52,17545.52,17545.52,17545.52,17545.52,17545.52
17519.83,17519.83,17519.83,17519.83,17519.83,17519.83
17496.04,17496.04,17496.04,17496.04,17496.04,17496.04
17473.24,17473.24,17473.24,17473.24,17473.24,17473.24
17450.53,17450.53,17450.53,17450.53,17450.53,17450.53
17423.45,17423.45,17423.45,17423.45,17423.45,17423.45
17395.85,17395.85,17395.85,17395.85,17395.85,17395.85
17381.35,17381.35,17381.35,17381.35,17381.35,17381.35
17357.0,17357.0,17357.0,17357.0,17357.0,17357.0
17343.2,17343.2,17343.2,17343.2,17343.2,17343.2
17344.8,17344.8,17344.8,17344.8,17344.8,17344.8
17353.16,17353.16,17353.16,17353.16,17353.16,17353.16
17362.06,17362.06,17362.06,17362.06,17362.06,17362.06
17356.02,17356.02,17356.02,17356.02,17356.02,17356.02
17359.02,17359.02,17359.02,17359.02,17359.02,17359.02
17359.5,17359.5,17359.5,17359.5,17359.5,17359.5
17367.69,17367.69,17367.69,17367.69,17367.69,17367.69
17367.32,17367.32,17367.32,17367.32,17367.32,17367.32
17358.5,17358.5,17358.5,17358.5,17358.5,17358.5
17358.31,17358.31,17358.31,17358.31,17358.31,17358.31
17365.7,17365.7,17365.7,17365.7,17365.7,17365.7
17357.22,17357.22,17357.22,17357.22,17357.22,17357.22
17364.28,17364.28,17364.28,17364.28,17364.28,17364.28
17361.65,17361.65,17361.65,17361.65,17361.65,17361.65
17363.28,17363.28,17363.28,17363.28,17363.28,17363.28
17401.37,17401.37,17401.37,17401.37,17401.37,17401.37
17418.48,17418.48,17418.48,17418.48,17418.48,17418.48
17447.91,17447.91,17447.91,17447.91,17447.91,17447.91
17466.57,17466.57,17466.57,17466.57,17466.57,17466.57
17486.56,17486.56,17486.56,17486.56,17486.56,17486.56
17502.35,17502.35,17502.35,17502.35,17502.35,17502.35
17517.49,17517.49,17517.49,17517.49,17517.49,17517.49
17550.28,17550.28,17550.28,17550.28,17550.28,17550.28
17574.37,17574.37,17574.37,17574.37,17574.37,17574.37
17586.42,17586.42,17586.42,17586.42,17586.42,17586.42
17589.76,17589.76,17589.76,17589.76,17589.76,17589.76
17602.99,17602.99,17602.99,17602.99,17602.99,17602.99
17623.2,17623.2,17623.2,17623.2,17623.2,17623.2
17633.81,17633.81,17633.81,17633.81,17633.81,17633.81
17655.1,17655.1,17655.1,17655.1,17655.1,17655.1
17670.01,17670.01,17670.01,17670.01,17670.01,17670.01
17681.45,17681.45,17681.45,17681.45,17681.45,17681.45
17713.16,17713.16,17713.16,17713.16,17713.16,17713.16
17733.73,17733.73,17733.73,17733.73,17733.73,17733.73
17739.68,17739.68,17739.68,17739.68,17739.68,17739.68
17752.54,17752.54,17752.54,17752.54,17752.54,17752.54
17746.82,17746.82,17746.82,17746.82,17746.82,17746.82
17746.82,17746.82,17746.82,17746.82,17746.82,17746.82
17747.63,17747.63,17747.63,17747.63,17747.63,17747.63
17720.75,17720.75,17720.75,17720.75,17720.75,17720.75
17711.26,17711.26,17711.26,17711.26,17711.26,17711.26
17687.31,17687.31,17687.31,17687.31,17687.31,17687.31
17662.26,17662.26,17662.26,17662.26,17662.26,17662.26
17642.01,17642.01,17642.01,17642.01,17642.01,17642.01
17620.0,17620.0,17620.0,17620.0,17620.0,17620.0
17592.61,17592.61,17592.61,17592.61,17592.61,17592.61
17564.04,17564.04,17564.04,17564.04,17564.04,17564.04
17535.78,17535.78,17535.78,17535.78,17535.78,17535.78
17517.9,17517.9,17517.9,17517.9,17517.9,17517.9
17514.55,17514.55,17514.55,17514.55,17514.55,17514.55
17507.72,17507.72,17507.72,17507.72,17507.72,17507.72
17506.48,17506.48,17506.48,17506.48,17506.48,17506.48
17504.4,17504.4,17504.4,17504.4,17504.4,17504.4
17502.34,17502.34,17502.34,17502.34,17502.34,17502.34
17494.46,17494.46,17494.46,17494.46,17494.46,17494.46
17484.29,17484.29,17484.29,17484.29,17484.29,17484.29
17472.28,17472.28,17472.28,17472.28,17472.28,17472.28
17466.3,17466.3,17466.3,17466.3,17466.3,17466.3
17464.98,17464.98,17464.98,17464.98,17464.98,17464.98
17453.3,17453.3,17453.3,17453.3,17453.3,17453.3
17457.84,17457.84,17457.84,17457.84,17457.84,17457.84
