0,20,40,60,80,100
23397.0,18322.71,13682.68,9042.65,4402.61,470.52
23429.78,18354.35,13714.32,9074.29,4434.25,470.52
23456.67,18383.54,13746.91,9110.28,4473.64,487.15
23482.88,18408.24,13771.619999999999,9134.98,4498.35,486.94
23498.72,18422.57,13785.94,9149.31,4512.67,487.05
23503.72,18426.15,13789.52,9152.89,4516.25,487.11
23476.56,18398.09,13761.46,9124.82,4488.19,487.11
23457.64,18378.69,13742.06,9105.42,4468.79,487.11
23448.05,18368.5,13731.88,9095.23,4458.61,487.11
23435.26,18354.38,13717.75,9081.11,4444.48,487.11
23427.74,18345.18,13708.54,9071.91,4435.27,487.11
23388.03,18303.55,13666.92,9030.28,4393.65,487.11
23346.75,18259.0,13622.37,8985.72,4349.1,487.11
23324.51,18233.88,13597.25,8960.6,4323.99,487.11
23344.44,18251.3,13614.66,8978.02,4341.41,487.11
23333.63,18238.41,13601.77,8965.13,4328.52,487.11
23353.89,18257.75,13621.11,8984.47,4347.86,487.11
23347.14,18249.62,13612.98,8976.34,4339.73,487.11
23368.61,18270.71,13634.07,8997.43,4360.82,487.47
23382.1,18284.26,13647.630000000001,9010.98,4374.38,487.61
23397.13,18299.33,13662.7,9026.05,4389.45,488.03
23434.0,18337.24,13700.62,9063.96,4427.36,487.9
23463.69,18366.93,13730.32,9093.65,4457.06,487.61
23495.4,18399.93,13763.32,9126.65,4490.06,486.53
23492.55,18397.24,13760.630000000001,9123.96,4487.37,485.67
23459.37,18363.61,13726.99,9090.33,4453.73,484.90999999999997
23385.19,18282.35,13642.34,9002.27,4362.28,468.54
23341.88,18237.1,13597.09,8957.03,4317.03,469.24
23323.49,18217.37,13577.36,8937.3,4297.3,469.45
23325.670000000002,18216.22,13572.8,8929.35,4285.94,452.62
23356.35,18247.17,13603.74,8960.3,4316.88,452.62
23372.1,18263.04,13619.61,8976.18,4332.75,452.62
23382.72,18273.59,13630.16,8986.73,4343.3,452.62
23384.4,18275.81,13632.39,8988.95,4345.53,452.62
23414.79,18306.78,13663.37,9019.92,4376.51,452.62
23448.02,18341.69,13698.28,9054.83,4411.42,452.62
23482.65,18376.96,13733.55,9090.11,4446.69,452.62
23525.62,18420.24,13776.84,9133.39,4489.97,452.62
23552.62,18447.9,13804.5,9161.05,4517.62,452.62
23601.99,18498.58,13855.18,9211.73,4568.3,452.62
23607.05,18505.43,13862.03,9218.58,4575.15,452.62
