0,20,40,60,80,100
4587.36,1704.45,342.53,335.27,349.45,360.51
4569.62,1673.91,345.46,339.66,355.3,367.79
4537.76,1634.04,326.57,335.26,349.44,360.5
4519.03,1612.11,321.09,335.27,349.45,360.54
4515.54,1598.44,324.03,339.67,355.31,367.85
4524.6,1591.02,329.89,348.45,367.01,382.45
4534.29,1717.76,543.4,562.1600000000001,580.9200000000001,596.56
4532.22,1832.61,745.23,764.19,783.15,798.98
4522.46,1939.75,939.15,958.31,977.47,993.49
4525.97,2060.95,1136.01,1155.37,1174.73,1190.94
4539.64,2192.16,1338.98,1358.54,1378.1,1394.49
4560.4,2330.77,1547.3600000000001,1567.12,1586.88,1603.45
4582.07,2470.34,1753.59,1773.55,1793.51,1810.27
4608.39,2614.64,1966.21,1986.37,2006.53,2023.48
4640.44,2651.12,1975.36,1990.76,2012.3799999999999,2030.81
4674.31,2689.55,1987.49,1995.17,2018.25,2038.17
4690.16,2707.42,1990.5,1999.64,2024.18,2045.45
4725.35,2745.97,1993.42,2004.02,2030.02,2052.58
4772.76,2797.47,1996.29,2008.35,2035.81,2059.67
4818.77,2845.14,1999.17,2012.69,2041.61,2066.76
4859.41,2876.94,2002.04,2017.02,2047.4,2073.84
4897.72,2910.86,2004.92,2021.36,2053.2,2080.9
4929.98,2946.75,2007.79,2025.69,2058.99,2087.93
4960.51,2980.88,2010.67,2030.03,2064.79,2094.94
4992.75,3015.27,2013.57,2034.39,2070.61,2102.12
5018.21,3053.11,2018.71,2038.78,2076.46,2109.44
5055.54,3230.98,2271.14,2291.41,2329.29,2362.4700000000003
5083.2,3263.93,2289.1,2295.79,2335.13,2369.77
5099.77,3295.1,2302.68,2300.17,2340.97,2377.06
5105.56,3319.15,2309.16,2300.17,2340.97,2377.06
5101.51,3315.1,2305.11,2296.12,2336.92,2373.01
5093.16,3306.75,2296.76,2287.77,2328.57,2364.66
5089.9,3303.49,2293.5,2284.5099999999998,2325.31,2361.4
5085.24,3298.83,2288.84,2279.85,2320.65,2356.74
5074.9,3288.49,2278.5,2269.5099999999998,2310.31,2346.4
5061.29,3274.88,2264.89,2255.9,2296.7,2332.79
5057.76,3271.35,2261.36,2252.37,2293.17,2329.26
5059.97,3273.56,2263.57,2254.58,2295.38,2331.47
5063.15,3276.9,2266.91,2254.58,2295.38,2331.47
5061.68,3275.31,2265.31,2254.58,2295.38,2331.47
5074.59,3289.53,2272.19,2254.56,2295.36,2331.47
5091.12,3307.14,2272.15,2254.52,2295.3199999999997,2331.47
5110.76,3328.06,2272.1,2254.47,2295.27,2331.47
5134.0199999999995,3352.89,2272.05,2254.42,2295.22,2331.47
5164.87,3385.95,2272.0099999999998,2254.38,2295.18,2331.47
5181.67,3403.88,2271.97,2254.34,2295.14,2331.47
5192.04,3414.91,2271.95,2254.3199999999997,2295.12,2331.47
5181.54,3403.49,2271.96,2254.33,2295.13,2331.47
5163.18,3383.21,2271.98,2254.35,2295.15,2331.47
5128.8099999999995,3353.48,2269.77,2254.35,2295.15,2331.47
5098.57,3187.59,2017.34,2001.72,2042.32,2078.44
5066.79,3149.79,1999.3799999999999,1997.34,2036.48,2071.14
5033.57,3111.63,1985.8,1992.96,2030.6399999999999,2063.81
5007.09,3083.75,1976.3899999999999,1988.57,2024.79,2056.46
4987.61,2946.5,1766.92,1778.8999999999999,1814.9199999999998,1846.4
4972.79,2813.04,1573.45,1585.23,1621.05,1652.33
4957.38,2678.95,1382.79,1394.37,1429.99,1461.08
4924.64,2526.65,1190.59,1201.97,1237.3899999999999,1268.29
4887.33,2369.46,997.97,1009.15,1044.37,1075.08
4850.97,2213.39,803.21,814.1899999999999,849.2099999999999,879.73
4812.68,2055.85,600.51,611.29,646.11,676.44
4779.99,1904.78,385.68,396.26,430.88,461.02000000000004
4768.73,1891.33,373.19,391.87,425.03,453.69
4766.83,1888.19,368.6,387.48,419.18,446.37
4766.49,1886.51,365.46,383.09000000000003,413.33,439.18
4752.6,1870.42,362.54,378.71,407.49,432.1
4725.81,1839.64,359.65999999999997,374.37,401.69,425.09000000000003
4677.56,1786.57,356.81,370.06,395.92,418.1
4637.33,1742.56,356.86,370.11,395.96999999999997,418.1
4609.33,1711.33,356.9,370.15,396.01,418.1
4577.3,1676.7,356.94,370.19,396.05,418.1
4573.45,1672.15,356.93,370.18,396.04,418.1
4567.86,1666.55,356.93,370.18,396.03999999999996,418.1
4579.56,1674.8600000000001,356.92,370.17,396.03,418.1
4589.91,1820.86,589.46,602.91,628.97,651.24
4607.72,1843.16,592.38,607.29,634.81,658.54
4630.29,1868.55,592.38,607.29,634.81,658.58
4646.67,1885.09,592.39,607.3,634.82,658.63
4654.7699999999995,1893.41,592.4,607.31,634.8299999999999,658.63
4661.24,2018.52,777.52,792.63,820.35,844.35
4659.39,2135.35,950.92,966.23,994.15,1018.34
4686.0599999999995,2281.58,1137.05,1152.56,1180.68,1205.06
4726.66,2442.06,1332.96,1348.67,1376.99,1401.56
4765.0,2600.11,1529.7,1545.61,1574.13,1598.89
4799.37,2753.73,1728.48,1744.59,1773.31,1798.26
4826.22,2898.96,1937.47,1953.78,1982.7,2007.8400000000001
4838.03,2911.67,1947.76,1953.79,1982.71,2007.88
4850.91,2925.69,1961.78,1953.8,1982.72,2007.92
4855.71,2932.27,1969.82,1958.17,1988.55,2015.1100000000001
4860.93,2937.78,1969.82,1958.17,1988.55,2015.16
4875.06,2955.2000000000003,1972.72,1962.53,1994.3700000000001,2022.17
4891.35,2974.33,1975.62,1966.89,2000.19,2029.16
4898.03,2982.65,1975.6,1966.8700000000001,2000.17,2029.16
4910.17,2997.07,1975.57,1966.84,2000.14,2029.16
4920.02,3008.17,1975.56,1966.83,2000.13,2029.16
4926.71,3015.77,1975.55,1966.82,2000.1200000000001,2029.16
4943.18,3033.19,1975.54,1966.81,2000.1100000000001,2029.16
4943.99,3038.04,1975.55,1966.82,2000.1200000000001,2029.16
4949.8,2910.56,1751.07,1734.0800000000002,1767.18,1796.02
4956.16,2918.08,1758.13,1734.0800000000002,1767.18,1796.02
4961.03,2924.7400000000002,1765.59,1738.46,1773.02,1803.3100000000002
4964.41,2928.12,1765.59,1738.46,1773.02,1803.31
4972.96,2937.43,1765.5900000000001,1738.46,1773.02,1803.31
4997.88,2845.96,1580.47,1553.14,1587.5,1617.5900000000001
5037.22,2769.08,1407.08,1379.55,1413.71,1443.6000000000001
5048.32,2662.81,1220.96,1193.23,1227.19,1256.88
5031.43,2645.92,1204.0700000000002,1176.3400000000001,1210.3,1239.99
5012.11,2626.6,1184.75,1157.02,1190.98,1220.67
4999.3,2613.79,1171.94,1144.21,1178.17,1207.8600000000001
4984.56,2599.05,1157.2,1129.47,1163.43,1193.1200000000001
4974.35,2592.09,1151.7,1133.85,1169.27,1200.41
4972.87,2591.91,1152.98,1138.23,1175.11,1207.69
4968.1,2586.3,1147.3700000000001,1138.23,1175.11,1207.69
4967.99,2587.62,1150.29,1142.6100000000001,1180.95,1214.72
4968.89,2588.55,1150.28,1142.6,1180.94,1214.72
4984.2699999999995,2604.88,1150.25,1142.57,1180.91,1214.72
5009.2,2631.41,1150.13,1142.45,1180.79,1214.72
5028.26,2651.49,1150.06,1142.38,1180.72,1214.72
5058.63,2683.39,1149.81,1142.13,1180.47,1214.72
5090.39,2716.87,1149.48,1141.8,1180.14,1214.72
5103.53,2731.52,1149.37,1141.69,1180.03,1214.72
5111.05,2739.59,1149.3700000000001,1141.69,1180.03,1214.72
5114.21,2876.04,1382.82,1383.4,1421.94,1456.83
5110.39,2871.59,1378.3700000000001,1383.4,1421.94,1456.8300000000002
5105.94,2866.7400000000002,1373.83,1383.4,1421.94,1456.8300000000002
5103.05,2864.61,1376.75,1387.78,1427.78,1464.13
5099.3,2977.65,1579.63,1590.8600000000001,1631.06,1667.6100000000001
5081.79,3076.53,1772.16,1783.5900000000001,1823.99,1860.74
5051.75,3162.71,1954.85,1966.48,2007.08,2044.03
5031.91,3141.5,1954.85,1966.48,2007.08,2044.03
5029.5199999999995,3020.29,1775.84,1787.27,1827.67,1864.42
5023.65,2895.26,1598.43,1609.66,1649.86,1686.41
5016.48,2769.48,1412.47,1423.5,1463.5,1499.85
5005.73,2640.16,1218.23,1229.06,1268.86,1305.01
4988.45,2616.73,1213.45,1224.68,1263.02,1297.71
4963.8099999999995,2588.4,1192.23,1220.29,1257.17,1290.4
4942.01,2564.18,1183.12,1215.93,1251.35,1283.22
4903.91,2522.28,1180.26,1211.61,1245.57,1276.18
4861.96,2476.16,1177.41,1207.3,1239.8,1269.16
4835.4,2446.61,1174.52,1202.95,1233.99,1262.1200000000001
4803.99,2412.05,1171.71,1198.68,1228.26,1255.03
4768.58,2373.45,1168.87,1194.38,1222.5,1247.95
4724.28,2325.62,1166.19,1190.24,1216.9,1240.89
4675.24,2272.96,1163.61,1186.2,1211.4,1233.82
4639.42,2233.27,1160.81,1181.94,1205.68,1226.61
4598.61,2187.28,1157.8899999999999,1177.56,1199.84,1219.25
4538.8,2001.21,916.36,935.8299999999999,957.91,977.14
4480.35,1951.67,910.8199999999999,931.4399999999999,952.06,969.73
4427.45,1901.33,907.89,927.05,946.2099999999999,962.37
4380.71,1853.53,904.9599999999999,922.66,940.36,954.99
4343.72,1697.35,702.0699999999999,719.5699999999999,737.0699999999999,751.51
4307.72,1541.45,509.53,526.83,544.13,558.38
4280.55,1394.33,326.83,343.93,361.03,375.09
4255.56,1368.21,326.81,343.91,361.01,375.09
4228.66,1339.91,326.8,343.9,361.0,375.09
4206.16,1316.31,326.78,343.88,360.98,375.09
4175.58,1284.1,326.76,343.86,360.96,375.09
4146.85,1253.75,326.75,343.85,360.95,375.09
4109.19,1213.46,326.74,343.84,360.94,375.0
