0,20,40,60,80,100
27430.43,19776.23,12122.03,5096.81,1560.22,1125.89
27392.23,19738.03,12083.83,5098.09,1561.5,1127.17
27308.86,19654.66,12000.460000000001,5099.12,1562.53,1128.2
27212.04,19557.84,11903.64,5099.93,1563.34,1129.01
27105.14,19450.94,11796.74,5101.4400000000005,1564.85,1130.52
26997.95,19343.75,11689.55,5103.81,1567.22,1132.89
26881.08,19226.88,11572.68,5103.55,1569.17,1134.84
26772.11,19117.91,11463.710000000001,5094.0,1570.2,1135.8700000000001
26688.88,19034.68,11380.48,5085.91,1570.55,1136.22
26637.82,18983.62,11329.42,5059.99,1569.5,1135.17
26602.2,18948.0,11293.8,5024.37,1566.92,1132.59
26580.95,18926.75,11272.55,5003.12,1563.93,1129.6
26585.14,18930.94,11276.74,5007.31,1561.95,1127.6200000000001
26586.59,18932.39,11278.19,5008.76,1559.96,1125.63
26568.31,18914.11,11259.91,4990.4800000000005,1558.63,1124.3
26503.94,18849.74,11195.54,4926.11,1549.52,1123.24
26399.98,18745.78,11091.58,4822.15,1506.39,1122.27
26268.58,18610.98,10953.38,4680.55,1424.3,1106.29
26132.24,18474.64,10817.04,4544.21,1345.3600000000001,1105.3600000000001
25987.57,18329.97,10672.37,4399.54,1266.67,1104.4
25871.77,18214.17,10556.57,4283.74,1198.1200000000001,1099.96
25760.87,18103.27,10445.67,4172.84,1142.18,1095.97
25614.64,17957.04,10299.44,4026.61,1092.74,1092.35
25479.98,17822.38,10164.78,3891.9500000000003,1088.34,1088.34
25409.67,17752.07,10094.47,3821.64,1084.46,1084.46
25368.07,17710.47,10052.87,3782.26,1081.18,1081.18
25334.78,17677.18,10019.58,3778.59,1077.51,1077.51
25329.31,17671.71,10014.11,3775.32,1074.24,1074.24
25336.2,17678.6,10021.0,3772.93,1071.85,1071.85
25345.35,17687.75,10030.15,3771.44,1070.3600000000001,1070.3600000000001
25334.7,17677.1,10019.5,3770.87,1069.79,1069.79
25307.49,17649.89,9992.29,3770.34,1069.26,1069.26
25270.95,17613.35,9955.75,3767.31,1068.06,1068.06
25251.26,17593.66,9936.06,3747.62,1066.46,1066.46
25250.39,17592.79,9935.19,3746.75,1065.49,1065.49
25231.66,17574.06,9916.460000000001,3728.02,1064.93,1064.93
25200.31,17542.71,9885.11,3696.67,1064.82,1064.82
25156.19,17498.59,9840.99,3652.55,1064.6,1064.6
25103.05,17445.45,9787.85,3599.41,1064.4,1064.4
25028.72,17371.12,9713.52,3525.08,1064.25,1064.25
24921.78,17264.18,9606.58,3418.14,1064.24,1064.24
24788.19,17130.59,9472.99,3284.55,1064.24,1064.24
24660.75,17003.15,9345.55,3157.11,1064.23,1064.23
24553.18,16895.579999999998,9237.98,3049.54,1064.22,1064.22
24472.19,16814.59,9156.99,2968.55,1062.47,1062.47
24407.84,16750.24,9092.64,2904.2,1060.35,1060.35
24388.71,16731.11,9073.51,2885.07,1057.76,1057.76
24379.32,16721.72,9064.12,2881.91,1054.6,1054.6
24398.08,16740.48,9082.88,2876.64,1049.33,1049.33
24451.64,16794.04,9136.44,2870.95,1043.64,1043.64
24520.61,16863.01,9205.41,2865.25,1037.94,1037.94
24576.09,16918.49,9260.89,2860.2,1032.89,1032.89
24626.96,16969.36,9311.76,2854.82,1027.51,1027.51
24648.44,16990.84,9333.24,2849.81,1022.5,1022.5
24666.37,17008.77,9351.17,2845.46,1018.15,1018.15
24702.36,17044.76,9387.16,2842.43,1015.12,1015.12
24793.67,17136.07,9478.47,2841.45,1014.14,1014.14
24879.27,17221.67,9564.07,2890.55,1014.65,1014.65
