0,20,40,60,80,100
23642.51,13545.99,3580.84,600.15,701.62,740.31
23620.78,13524.27,3559.11,600.19,701.67,740.34
23574.27,13477.75,3513.4700000000003,600.35,701.84,740.34
23526.09,13429.58,3467.35,600.57,702.0699999999999,740.34
23477.67,13381.16,3420.73,600.84,702.34,740.34
23435.94,13339.43,3379.01,601.08,702.57,740.34
23405.71,13309.21,3348.79,601.27,702.77,740.34
23391.09,13294.59,3334.16,601.59,703.1,739.91
23391.81,13295.31,3334.89,602.03,703.54,739.51
23380.63,13284.12,3323.71,602.64,704.15,739.17
23375.57,13279.06,3318.65,603.18,704.69,738.95
23385.32,13288.81,3328.39,603.55,705.06,738.88
23384.12,13287.61,3327.19,604.04,705.55,738.8
23393.28,13296.78,3336.35,604.1,705.61,738.51
23397.84,13301.34,3340.92,604.28,705.79,738.41
23411.27,13314.78,3354.36,604.44,705.95,738.23
23396.07,13299.58,3343.15,604.71,705.86,737.87
23354.3,13257.8,3318.21,605.07,705.78,737.79
23333.83,13237.33,3305.38,605.31,705.75,737.76
23329.01,13232.51,3301.2,605.46,705.75,737.76
23342.51,13246.01,3308.97,605.49,705.78,737.79
23358.53,13262.04,3320.97,605.56,705.85,737.82
23372.66,13276.18,3333.0099999999998,605.64,705.93,737.86
23366.95,13270.47,3327.3,605.75,706.04,737.9300000000001
23351.17,13254.69,3318.29,605.9,706.2,737.99
23317.48,13221.01,3294.42,606.26,706.5600000000001,738.02
23300.75,13204.28,3282.58,606.51,706.81,738.03
23298.239999999998,13201.77,3280.06,606.69,707.0,738.03
23295.07,13198.6,3276.89,606.86,707.17,738.02
23314.76,13218.29,3296.58,607.11,707.42,737.99
23349.09,13252.630000000001,3330.92,607.47,707.78,737.87
23382.63,13286.16,3364.45,607.85,708.16,737.2
23446.72,13350.24,3418.98,607.87,708.1800000000001,736.85
23521.19,13424.710000000001,3476.14,607.68,707.98,736.71
23576.0,13479.52,3517.65,607.58,707.88,736.44
23629.16,13532.67,3556.87,607.5699999999999,707.87,736.29
23671.38,13574.89,3587.65,607.71,708.02,736.15
23711.62,13615.14,3619.05,608.02,708.33,736.05
23737.48,13641.01,3644.92,608.15,708.46,735.89
23758.87,13662.4,3666.3,608.24,708.55,735.87
23782.6,13686.13,3690.04,608.27,708.58,735.98
23801.18,13704.7,3705.38,608.34,708.64,736.04
23815.67,13719.19,3715.54,608.45,708.6800000000001,736.08
23838.13,13741.66,3735.31,608.51,708.71,736.11
23855.65,13759.18,3752.83,608.63,708.83,736.07
23896.8,13800.34,3789.73,608.74,708.94,736.01
23957.64,13861.18,3842.65,608.68,708.89,736.03
23993.89,13897.43,3876.05,608.67,708.87,736.04
24022.19,13925.74,3903.62,608.73,708.9300000000001,736.05
24056.66,13960.210000000001,3938.09,608.68,708.88,736.0600000000001
24097.22,14000.78,3977.78,608.57,708.77,736.07
24145.82,14049.37,4024.32,608.37,708.5600000000001,736.07
24201.04,14104.58,4077.73,608.13,708.3100000000001,736.07
24265.78,14169.32,4142.46,607.93,708.12,736.05
24312.7,14216.24,4189.37,607.99,708.17,735.97
24350.51,14254.05,4227.1900000000005,608.04,708.22,735.88
24373.61,14277.15,4250.29,608.21,708.39,736.04
24397.44,14300.99,4274.13,608.48,708.66,736.52
24424.12,14327.66,4300.8,608.88,709.06,737.11
24438.37,14341.91,4315.05,609.31,709.49,737.63
24453.26,14356.8,4329.9400000000005,609.68,709.86,738.25
24465.53,14369.06,4342.21,610.23,710.41,738.94
24503.97,14407.5,4380.64,610.43,710.61,739.46
24545.54,14449.07,4422.21,610.33,710.51,739.85
24595.47,14498.99,4467.74,610.06,710.6,740.34
24655.8,14559.32,4505.41,609.79,710.6899999999999,740.4300000000001
24694.38,14597.9,4528.89,609.64,710.71,740.45
24716.02,14619.54,4544.41,609.59,710.7,740.44
24728.38,14631.89,4556.76,609.66,710.71,740.4300000000001
24745.44,14648.95,4573.82,609.77,710.82,740.38
24769.42,14672.93,4597.8,609.89,710.9399999999999,740.34
24800.68,14704.19,4629.06,610.02,711.06,740.3
24828.97,14732.47,4650.58,610.05,711.09,740.3
24853.239999999998,14756.74,4665.03,609.96,711.0,740.3
24876.1,14779.59,4683.0,609.91,710.95,740.3100000000001
24877.56,14781.04,4684.46,609.97,711.01,740.3100000000001
24879.8,14783.28,4686.7,610.03,711.06,740.32
24859.01,14762.49,4665.91,610.04,711.07,740.35
24799.28,14702.75,4611.64,610.14,711.17,740.39
24750.829999999998,14654.31,4567.97,610.12,711.15,740.62
24693.76,14597.25,4515.88,610.28,711.31,740.8100000000001
24637.45,14540.94,4467.76,610.39,711.43,740.9
24610.21,14513.7,4440.53,610.35,711.39,740.86
24585.31,14488.81,4415.64,610.24,711.27,740.6800000000001
24579.95,14483.45,4410.28,609.93,710.96,740.45
24579.31,14482.8,4409.64,609.5,710.53,740.12
24557.14,14460.63,4387.47,609.25,710.28,739.95
24529.4,14432.89,4359.74,609.12,710.15,739.99
24513.22,14416.71,4343.56,608.96,709.99,740.21
24501.13,14404.63,4332.57,608.77,709.9,740.21
24469.5,14373.0,4313.53,608.63,709.87,740.1800000000001
24446.4,14349.9,4293.77,608.45,709.79,740.17
24414.64,14318.14,4263.11,608.35,709.6899999999999,740.19
24367.47,14270.97,4221.19,608.36,709.7,740.19
24323.329999999998,14226.82,4177.05,608.41,709.74,740.17
24300.84,14204.33,4154.57,608.34,709.68,740.16
24307.48,14210.96,4161.21,608.27,709.61,740.09
24339.5,14242.98,4193.23,608.27,709.61,740.03
24341.9,14245.38,4195.64,608.38,709.72,740.01
24340.37,14243.86,4194.12,608.48,709.83,740.02
