0,20,40,60,80,100
7421.15,4372.99,2375.8,1365.66,1327.64,1327.64
7399.78,4351.62,2354.44,1364.67,1326.65,1326.65
7381.53,4333.37,2336.2,1363.91,1325.89,1325.89
7374.44,4326.28,2329.11,1363.54,1325.52,1325.52
7366.73,4318.57,2321.4,1363.26,1325.24,1325.24
7362.31,4314.15,2316.98,1362.96,1324.94,1324.94
7356.21,4308.04,2310.87,1362.52,1324.5,1324.5
7348.33,4300.16,2302.99,1356.01,1324.33,1324.33
7341.2,4293.03,2295.85,1348.88,1324.29,1324.29
7335.55,4287.38,2290.21,1343.23,1324.26,1324.26
7314.46,4266.28,2269.11,1328.04,1323.82,1323.82
7310.03,4261.85,2264.67,1327.52,1323.3,1323.3
7320.4,4272.23,2275.05,1328.02,1323.8,1323.8
7336.55,4288.38,2275.37,1328.34,1324.12,1324.12
7358.7,4310.54,2275.54,1328.51,1324.29,1324.29
7391.35,4343.19,2275.69,1328.66,1324.44,1324.44
7418.21,4370.05,2275.98,1328.95,1324.73,1324.73
7451.63,4403.47,2276.53,1329.5,1325.28,1325.28
7477.95,4429.78,2276.72,1329.69,1325.47,1325.47
7499.35,4451.19,2276.28,1329.25,1325.03,1325.03
7507.59,4459.43,2275.27,1328.24,1324.02,1324.02
7519.02,4470.86,2275.56,1328.53,1324.31,1324.31
7532.72,4484.57,2276.14,1329.11,1324.89,1324.89
7572.15,4524.0,2277.2,1330.17,1325.95,1325.95
7615.06,4566.92,2312.52,1331.73,1327.51,1327.51
7641.81,4593.68,2339.28,1332.95,1328.73,1328.73
7657.2300000000005,4609.09,2354.69,1333.72,1329.5,1329.5
7677.74,4629.6,2375.19,1334.53,1330.31,1330.31
7696.39,4648.26,2393.85,1335.47,1331.25,1331.25
7709.36,4661.24,2406.83,1336.22,1332.0,1332.0
7719.36,4671.24,2416.84,1336.71,1332.49,1332.49
7730.88,4682.76,2428.36,1337.25,1333.03,1333.03
7747.48,4699.37,2444.96,1338.03,1333.81,1333.81
7766.83,4718.71,2464.31,1342.97,1334.5,1334.5
7774.89,4726.77,2472.38,1343.23,1334.76,1334.76
7792.55,4744.42,2490.03,1343.99,1335.52,1335.52
7805.51,4757.38,2501.63,1346.39,1337.92,1337.92
7824.28,4776.16,2503.24,1348.0,1339.53,1339.53
7842.0,4793.88,2504.5,1349.26,1340.79,1340.79
7858.31,4810.18,2505.13,1349.89,1341.42,1341.42
7873.83,4825.7,2504.61,1349.37,1340.9,1340.9
7892.7,4844.58,2504.22,1348.98,1340.51,1340.51
7913.62,4865.49,2503.74,1348.5,1340.03,1340.03
7930.44,4882.32,2502.91,1347.67,1339.2,1339.2
7945.14,4897.0199999999995,2501.86,1346.62,1338.15,1338.15
7959.95,4911.83,2500.86,1345.62,1337.15,1337.15
7969.7300000000005,4921.61,2500.0,1344.76,1336.29,1336.29
7979.49,4931.36,2499.88,1344.64,1336.17,1336.17
7992.21,4944.07,2512.59,1345.08,1336.61,1336.61
8007.59,4959.45,2527.96,1345.49,1337.02,1337.02
8018.91,4970.77,2539.28,1345.82,1337.35,1337.35
8025.82,4977.68,2546.18,1345.94,1337.47,1337.47
8031.52,4979.99,2545.08,1336.8,1328.33,1328.33
8033.51,4978.58,2540.27,1326.83,1318.36,1318.36
8031.3,4972.98,2531.26,1316.51,1308.04,1308.04
8026.85,4965.14,2520.02,1305.6,1297.13,1297.13
8021.27,4956.15,2507.64,1292.41,1285.91,1285.91
8021.32,4952.8,2500.88,1282.26,1274.75,1274.75
8030.5,4961.98,2510.06,1285.54,1274.23,1274.23
8032.21,4963.68,2511.77,1285.12,1273.81,1273.81
8031.26,4962.73,2510.81,1284.49,1273.18,1273.18
8027.88,4959.35,2510.52,1284.2,1272.89,1272.89
8020.78,4952.25,2510.47,1284.15,1272.84,1272.84
8015.96,4947.43,2510.57,1284.25,1272.94,1272.94
8014.61,4946.08,2510.81,1284.49,1273.18,1273.18
8006.33,4937.8,2511.07,1284.75,1273.44,1273.44
8009.66,4941.14,2511.61,1285.29,1273.98,1273.98
8017.86,4949.33,2512.7,1286.38,1275.07,1275.07
8038.76,4970.23,2514.41,1288.09,1276.78,1276.78
8057.13,4988.59,2516.14,1289.82,1278.51,1278.51
8065.19,4996.65,2517.13,1290.81,1279.5,1279.5
8067.77,4999.23,2517.59,1291.27,1279.96,1279.96
8065.61,4997.07,2515.44,1291.4,1280.09,1280.09
8063.08,4994.54,2512.91,1291.01,1279.7,1279.7
8062.46,4993.92,2512.29,1290.77,1279.46,1279.46
8058.16,4989.62,2508.0,1290.65,1279.34,1279.34
8061.84,4989.89,2504.87,1281.33,1270.02,1270.02
8067.73,4992.38,2503.95,1271.93,1260.6200000000001,1260.6200000000001
8073.47,4994.72,2502.89,1262.2,1250.89,1250.89
8071.32,4989.16,2493.94,1252.38,1241.07,1241.07
8063.24,4977.68,2479.06,1242.32,1231.01,1231.01
8049.35,4960.39,2458.37,1227.96,1220.9,1220.9
8044.94,4955.98,2453.96,1227.74,1220.68,1220.68
8037.85,4948.9,2446.87,1227.3,1220.24,1220.24
8037.69,4948.74,2446.72,1227.34,1220.28,1220.28
8040.63,4951.68,2446.97,1227.59,1220.53,1220.53
8045.5,4956.54,2447.38,1228.0,1220.94,1220.94
8055.9,4966.95,2447.99,1228.6100000000001,1221.55,1221.55
8068.24,4979.29,2448.53,1229.15,1222.09,1222.09
8072.16,4983.2,2448.67,1229.29,1222.23,1222.23
8066.24,4977.29,2448.5,1229.1200000000001,1222.06,1222.06
8065.47,4976.52,2448.16,1228.78,1221.72,1221.72
8067.03,4978.08,2448.14,1228.76,1221.7,1221.7
8071.81,4982.86,2448.28,1228.9,1221.84,1221.84
8074.09,4985.14,2448.47,1229.09,1222.03,1222.03
8077.3,4988.36,2448.25,1228.87,1221.81,1221.81
8073.46,4984.53,2444.41,1228.6,1221.54,1221.54
8065.3099999999995,4976.38,2436.26,1228.47,1221.41,1221.41
8062.18,4973.25,2433.12,1228.43,1221.37,1221.37
8067.0599999999995,4978.13,2438.01,1228.68,1221.62,1221.62
8066.01,4977.07,2436.96,1228.78,1221.72,1221.72
8057.2699999999995,4968.33,2428.22,1229.15,1222.09,1222.09
8048.05,4959.11,2419.0,1229.32,1222.26,1222.26
8035.89,4946.95,2406.83,1230.05,1222.99,1222.99
8027.34,4938.41,2398.28,1230.77,1223.71,1223.71
8017.64,4928.71,2388.59,1228.07,1224.27,1224.27
8006.88,4917.95,2377.83,1224.06,1224.06,1224.06
7995.69,4906.77,2366.65,1223.81,1223.81,1223.81
7988.24,4899.32,2359.2,1223.69,1223.69,1223.69
7985.35,4896.43,2358.9,1223.39,1223.39,1223.39
7990.19,4901.27,2358.74,1223.23,1223.23,1223.23
7999.88,4910.96,2358.59,1223.08,1223.08,1223.08
8003.53,4914.61,2358.31,1222.8,1222.8,1222.8
7998.82,4909.9,2357.41,1221.9,1221.9,1221.9
7986.39,4897.46,2356.44,1220.93,1220.93,1220.93
7972.65,4883.72,2355.36,1219.85,1219.85,1219.85
7954.4,4865.48,2354.05,1218.54,1218.54,1218.54
7939.53,4850.62,2352.47,1216.96,1216.96,1216.96
7935.0199999999995,4846.11,2351.39,1215.8799999999999,1215.8799999999999,1215.8799999999999
7935.93,4847.02,2350.8,1215.29,1215.29,1215.29
7934.57,4845.66,2349.43,1215.22,1215.22,1215.22
7932.59,4843.68,2347.44,1215.79,1215.79,1215.79
7931.51,4842.61,2346.37,1216.6,1216.6,1216.6
7938.74,4849.84,2353.59,1217.65,1217.65,1217.65
