0,20,40,60,80,100
6386.77,1683.18,553.62,528.64,528.64,528.64
6289.9,1623.82,553.61,528.63,528.63,528.63
6249.83,1593.3,553.6,528.62,528.62,528.62
6250.49,1593.61,553.6,528.62,528.62,528.62
6294.96,1620.88,553.6,528.62,528.62,528.62
6430.0,1668.38,553.62,528.64,528.64,528.64
6673.47,1838.68,628.12,528.66,528.66,528.66
6767.37,1921.18,643.89,528.67,528.67,528.67
6800.47,1950.26,643.89,528.67,528.67,528.67
6811.6900000000005,1960.13,643.89,528.67,528.67,528.67
6883.41,2023.07,643.9,528.68,528.68,528.68
7054.0,2151.97,677.0,528.6999999999999,528.6999999999999,528.6999999999999
7261.62,2326.9,756.13,528.72,528.72,528.72
7487.19,2477.0,810.43,528.74,528.74,528.74
7666.6,2618.79,856.42,528.76,528.76,528.76
7824.57,2753.08,903.55,528.78,528.78,528.78
7930.57,2846.2200000000003,930.65,528.79,528.79,528.79
8032.56,2935.82,957.07,528.8,528.8,528.8
8158.43,3046.42,1003.08,528.81,528.81,528.81
8329.61,3178.12,1038.98,528.8299999999999,528.8299999999999,528.8299999999999
8602.31,3344.87,1109.93,528.86,528.86,528.86
8827.17,3520.03,1189.29,528.88,528.88,528.88
9076.52,3682.9700000000003,1256.43,528.91,528.91,528.91
9343.6,3856.16,1333.82,528.9399999999999,528.9399999999999,528.9399999999999
9592.03,4031.2,1413.06,528.96,528.96,528.96
9885.85,4254.46,1540.52,564.99,528.99,528.99
10103.76,4445.92,1659.12,596.37,529.02,529.02
10271.85,4556.5,1679.82,596.38,529.03,529.03
10367.18,4634.04,1679.83,596.39,529.04,529.04
10508.48,4758.1900000000005,1741.81,596.4,529.05,529.05
10526.43,4773.95,1746.82,596.4,529.05,529.05
10525.22,4772.88,1746.82,596.4,529.05,529.05
10555.82,4799.77,1762.0,596.41,529.06,529.06
10614.65,4851.47,1799.93,596.42,529.0699999999999,529.0699999999999
10724.61,4948.09,1833.3600000000001,596.43,529.0799999999999,529.0799999999999
10860.07,5057.12,1853.25,596.4399999999999,529.09,529.09
10969.35,5149.13,1869.02,596.4499999999999,529.1,529.1
11073.86,5231.3,1869.03,596.4599999999999,529.11,529.11
11204.82,5341.47,1893.83,596.48,529.13,529.13
11317.76,5440.6900000000005,1917.4,596.5,529.15,529.15
11370.35,5486.900000000001,1919.83,596.5,529.15,529.15
11376.03,5491.89,1919.83,596.5,529.15,529.15
11435.93,5544.53,1941.44,596.51,529.16,529.16
11451.99,5558.650000000001,1941.44,596.51,529.16,529.16
11465.42,5570.4400000000005,1941.44,596.51,529.16,529.16
11496.24,5596.79,1941.45,596.52,529.17,529.17
11508.71,5607.75,1941.45,596.52,529.17,529.17
11513.57,5612.02,1941.45,596.52,529.17,529.17
11711.22,5785.67,2067.94,632.04,529.1899999999999,529.1899999999999
11974.39,5991.14,2177.61,658.73,529.22,529.22
12210.13,6193.58,2292.68,688.26,529.25,529.25
12426.19,6383.39,2400.3,713.88,529.28,529.28
12637.56,6569.1,2517.48,744.52,529.31,529.31
12845.12,6751.47,2651.53,784.0,529.3299999999999,529.3299999999999
12645.95,6581.72,2577.03,783.98,529.31,529.31
12489.9,6480.53,2561.26,783.97,529.3,529.3
12579.039999999999,6558.85,2605.3,783.98,529.31,529.31
12777.05,6732.81,2739.76,823.68,529.3299999999999,529.3299999999999
12964.32,6897.34,2884.94,873.06,529.35,529.35
13140.98,7052.56,3040.16,965.56,553.5,529.37
13299.67,7191.9800000000005,3179.58,1088.29,593.51,529.39
13503.59,7371.14,3358.74,1225.9299999999998,641.3499999999999,529.41
13728.6,7568.83,3556.43,1373.79,694.55,529.43
13957.21,7769.6900000000005,3757.29,1525.96,750.92,529.4499999999999
14213.52,7994.88,3982.37,1682.33,811.49,529.47
14474.93,8224.56,4211.32,1841.8899999999999,875.25,529.49
14713.11,8433.81,4420.57,2001.34,938.9,529.51
14962.71,8653.11,4639.87,2160.72,1002.48,529.53
15164.99,8830.84,4817.6,2313.5699999999997,1059.53,529.55
15336.08,8981.15,4967.91,2447.42,1105.3799999999999,529.5699999999999
15476.99,9104.95,5091.71,2542.5299999999997,1130.9,529.59
15523.21,9145.56,5132.32,2573.5699999999997,1130.91,529.6
15432.52,9065.880000000001,5065.79,2573.56,1130.9,529.59
15166.75,8842.62,4938.33,2537.5299999999997,1130.87,529.56
14985.86,8683.69,4819.74,2506.16,1130.85,529.54
14927.52,8632.42,4799.05,2506.16,1130.85,529.54
14892.289999999999,8601.47,4799.05,2506.16,1130.85,529.54
14761.02,8486.14,4737.07,2506.15,1130.84,529.53
