0,20,40,60,80,100
9699.77,3359.77,603.87,603.87,603.87,603.87
9763.45,3417.59,603.85,603.85,603.85,603.85
9827.78,3476.0,603.84,603.84,603.84,603.84
9919.8,3559.55,603.82,603.82,603.82,603.82
9986.85,3620.43,603.8,603.8,603.8,603.8
10016.21,3647.09,603.79,603.79,603.79,603.79
10018.99,3649.62,603.79,603.79,603.79,603.79
10025.0,3655.08,603.79,603.79,603.79,603.79
9973.99,3608.77,603.8,603.8,603.8,603.8
9908.59,3549.39,603.82,603.82,603.82,603.82
9843.15,3489.97,603.84,603.84,603.84,603.84
9768.74,3422.41,603.86,603.86,603.86,603.86
9701.47,3361.34,603.87,603.87,603.87,603.87
9653.37,3317.67,603.88,603.88,603.88,603.88
9611.14,3279.32,603.89,603.89,603.89,603.89
9598.09,3267.47,603.9,603.9,603.9,603.9
9606.78,3275.36,603.9,603.9,603.9,603.9
9632.23,3298.46,603.9,603.9,603.9,603.9
9613.04,3281.04,603.9,603.9,603.9,603.9
9581.7,3252.59,603.91,603.91,603.91,603.91
9545.95,3220.13,603.92,603.92,603.92,603.92
9502.7,3180.86,603.93,603.93,603.93,603.93
9461.4,3143.36,603.94,603.94,603.94,603.94
9405.98,3093.05,603.95,603.95,603.95,603.95
9358.52,3049.96,603.96,603.96,603.96,603.96
9363.06,3054.08,603.96,603.96,603.96,603.96
9373.71,3063.75,603.96,603.96,603.96,603.96
9364.84,3055.7,603.96,603.96,603.96,603.96
9372.68,3062.81,603.96,603.96,603.96,603.96
9386.53,3075.39,603.95,603.95,603.95,603.95
9437.73,3121.88,603.94,603.94,603.94,603.94
9487.47,3167.05,603.93,603.93,603.93,603.93
9563.13,3235.75,620.56,603.91,603.91,603.91
9686.3,3347.58,690.82,603.88,603.88,603.88
9840.47,3487.56,785.36,603.85,603.85,603.85
10011.62,3642.96,894.72,605.28,603.81,603.81
10219.67,3831.86,1024.5,620.41,603.77,603.77
10442.27,4033.9700000000003,1165.78,647.03,603.73,603.73
10678.33,4248.29,1309.8500000000001,676.45,603.69,603.69
10896.26,4446.16,1437.6200000000001,689.5600000000001,603.65,603.65
11142.98,4670.17,1573.3700000000001,710.65,603.6,603.6
11421.97,4923.48,1718.52,741.14,603.55,603.55
11728.32,5200.78,1882.54,790.51,603.49,603.49
12037.55,5481.54,2059.71,853.02,603.43,603.43
12332.15,5749.0199999999995,2236.67,915.32,603.37,603.37
12603.15,5995.0599999999995,2407.57,971.56,603.31,603.31
12885.25,6251.18,2585.4,1034.73,603.25,603.25
13158.52,6499.29,2760.09,1094.76,603.2,603.2
13419.32,6736.08,2934.46,1154.47,603.15,603.15
13638.82,6935.38,3108.25,1213.6,603.11,603.11
13894.67,7167.68,3295.34,1286.03,603.06,603.06
14116.81,7369.37,3479.4500000000003,1355.48,603.02,603.02
14351.79,7582.72,3670.37,1431.74,602.98,602.98
14607.0,7814.44,3878.4500000000003,1525.16,602.93,602.93
