0,20,40,60,80,100
19968.12,10909.03,5702.27,1803.16,736.13,736.13
19937.37,10895.03,5688.28,1793.65,736.13,736.13
19790.7,10824.72,5635.99,1767.68,736.12,736.12
19583.48,10699.54,5543.95,1731.06,736.11,736.11
19469.41,10645.16,5489.5599999999995,1729.72,736.11,736.11
19381.27,10608.8,5453.21,1729.72,736.11,736.11
19337.31,10600.37,5444.78,1729.73,736.12,736.12
19357.45,10630.3,5474.72,1729.95,736.34,736.34
19574.44,10749.24,5558.06,1730.42,736.8100000000001,736.8100000000001
19825.56,10892.210000000001,5634.84,1731.29,737.6800000000001,737.6800000000001
20028.81,10993.81,5685.69,1731.85,738.24,738.24
20217.45,11086.28,5742.25,1731.97,738.36,738.36
20366.6,11161.39,5782.61,1732.49,738.88,738.88
20522.67,11248.36,5827.31,1733.15,739.54,739.54
20682.16,11340.56,5883.14,1733.65,740.04,740.04
20812.78,11402.2,5942.14,1734.25,740.64,740.64
20989.67,11497.09,6028.58,1752.05,741.77,741.77
21152.22,11593.19,6110.34,1792.42,741.77,741.77
21328.95,11732.46,6199.0599999999995,1852.78,741.77,741.77
21503.58,11896.2,6307.0,1946.95,741.77,741.77
21663.82,12056.44,6407.38,2047.3400000000001,749.8,741.78
21810.06,12202.68,6486.63,2126.6,761.44,741.79
21977.71,12358.18,6560.86,2200.82,767.97,741.8
22100.66,12459.94,6603.8,2243.75,767.98,741.8100000000001
22259.0,12576.24,6697.3,2335.05,767.99,741.82
22444.26,12717.15,6817.87,2435.53,768.0,741.83
22640.17,12868.14,6948.6,2549.5,775.0600000000001,741.84
22844.82,13026.91,7086.64,2673.22,789.65,741.85
23043.6,13174.85,7205.93,2788.24,805.3,741.85
23194.52,13285.64,7292.87,2875.18,809.76,741.85
23367.16,13422.5,7370.5599999999995,2952.87,826.4300000000001,741.87
23519.04,13540.44,7419.32,3001.63,838.32,742.36
23666.71,13642.2,7470.46,3052.77,837.55,741.59
23801.44,13720.67,7521.86,3089.8,836.1,740.14
23872.94,13743.22,7544.4,3091.82,834.69,738.73
23927.04,13756.03,7557.21,3090.21,833.08,737.12
23963.32,13769.73,7570.91,3088.24,831.11,735.15
23963.55,13768.36,7569.54,3086.58,829.45,733.49
23920.94,13741.52,7542.7,3085.14,828.01,732.05
23901.04,13730.68,7531.86,3077.0,826.8100000000001,730.85
23859.66,13707.83,7515.09,3060.24,826.4300000000001,730.47
23813.94,13683.36,7502.11,3047.25,826.44,730.48
23745.74,13641.08,7465.54,3010.69,826.45,730.49
23608.81,13530.91,7411.25,2956.41,826.45,730.49
23483.81,13417.83,7361.95,2907.11,826.45,730.49
23426.83,13379.47,7324.97,2870.14,826.46,730.5
23350.52,13318.41,7270.24,2815.42,826.47,730.51
23297.24,13269.75,7239.0,2784.19,826.48,730.52
23417.7,13314.53,7283.5,2792.0299999999997,826.5,730.54
23468.08,13323.19,7292.16,2794.16,826.51,730.55
23553.6,13337.4,7306.38,2794.18,826.53,730.57
23651.95,13366.19,7335.16,2794.21,826.5600000000001,730.6
23740.59,13390.68,7359.66,2794.24,826.59,730.63
23864.46,13431.76,7390.16,2794.27,826.62,730.66
23947.35,13446.92,7405.32,2794.29,826.64,730.68
24038.99,13489.52,7424.14,2794.55,826.9,730.94
24084.97,13513.75,7427.12,2794.14,826.49,730.53
24077.010000000002,13499.1,7412.46,2792.94,825.29,729.33
24017.38,13483.39,7396.75,2791.41,823.76,727.8
23926.21,13457.82,7371.17,2789.99,822.34,726.38
23872.22,13455.37,7368.72,2788.96,821.3100000000001,725.35
23824.420000000002,13461.44,7374.8,2788.7,821.05,725.09
23805.760000000002,13489.36,7402.72,2788.93,821.28,725.32
23800.260000000002,13535.18,7448.54,2797.08,821.79,725.83
23779.46,13571.71,7493.53,2842.07,822.3100000000001,726.35
23745.37,13578.96,7515.12,2863.66,822.3100000000001,726.35
23658.27,13532.539999999999,7519.25,2867.79,822.3100000000001,726.35
23527.02,13455.81,7498.32,2846.86,822.3100000000001,726.35
23364.82,13352.789999999999,7457.0599999999995,2805.6,814.29,726.35
23194.74,13241.45,7415.16,2763.69,802.65,726.34
22996.69,13119.85,7374.82,2723.36,796.12,726.33
22836.57,13041.44,7355.22,2703.77,796.12,726.33
22639.14,12963.8,7300.38,2648.92,796.13,726.34
22456.36,12900.81,7257.73,2606.2799999999997,796.13,726.34
22269.44,12833.68,7210.86,2559.4,789.08,726.34
22079.41,12763.44,7161.34,2509.88,774.49,726.33
21894.47,12698.289999999999,7124.85,2473.38,758.83,726.32
21769.74,12693.35,7143.75,2492.2799999999997,775.02,726.31
21602.97,12646.36,7155.93,2504.46,787.2,726.28
21437.7,12600.87,7179.62,2528.15,809.23,726.48
21312.51,12595.47,7224.84,2573.38,822.45,726.59
21194.09,12596.85,7253.29,2601.83,822.88,727.02
21123.23,12636.52,7292.96,2639.45,823.32,727.46
21166.46,12730.03,7386.47,2704.69,823.61,727.75
21241.98,12832.88,7489.32,2775.5299999999997,823.98,728.12
21324.29,12940.92,7597.35,2849.39,824.36,728.5
21410.48,13055.0,7711.44,2932.18,825.02,729.16
21513.0,13182.05,7838.49,3056.54,846.99,729.58
21593.66,13287.57,7944.01,3162.06,889.96,730.62
21657.9,13373.06,8029.5,3247.56,923.45,730.6
21734.49,13456.7,8113.14,3331.2,948.51,730.59
21808.95,13543.82,8200.26,3418.31,978.03,730.58
21858.3,13625.34,8281.77,3499.82,1004.24,730.57
21900.7,13707.45,8363.88,3581.92,1025.86,730.5600000000001
21987.25,13811.42,8467.85,3685.89,1049.42,730.54
22098.16,13926.43,8582.86,3800.9,1073.28,730.54
22053.77,14001.83,8658.53,3873.38,1073.25,730.51
21985.37,14052.76,8709.46,3922.22,1073.22,730.48
21936.57,14118.7,8775.4,3976.04,1073.19,730.45
21894.19,14183.63,8840.34,4014.3,1073.16,730.42
21834.75,14225.45,8882.15,4028.2,1073.13,730.39
21732.54,14243.03,8910.31,4032.46,1073.1,730.36
21679.18,14267.77,8935.05,4039.75,1073.08,730.34
21629.99,14271.0,8960.73,4060.74,1069.05,726.3100000000001
21602.04,14295.56,9006.54,4086.5,1068.78,726.04
21626.92,14356.34,9067.32,4103.88,1068.54,725.8
21691.44,14424.48,9135.46,4103.67,1068.33,725.59
21782.57,14496.34,9207.32,4103.09,1067.75,725.01
