0,20,40,60,80,100
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.84,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
5890.86,864.1,601.58,597.86,595.61,595.17
