0,20,40,60,80,100
18097.86,9534.45,4537.36,1473.85,723.3,723.3
18038.65,9492.42,4503.35,1473.88,723.33,723.33
17991.42,9460.87,4480.66,1473.91,723.36,723.36
17959.25,9440.77,4463.69,1473.93,723.38,723.38
17947.6,9439.52,4456.23,1473.94,723.39,723.39
17940.329999999998,9446.42,4461.09,1473.95,723.4,723.4
17927.98,9460.12,4474.78,1473.99,723.44,723.44
17928.06,9496.12,4510.77,1495.84,723.76,723.76
17972.28,9574.01,4578.81,1511.81,723.89,723.89
18031.86,9659.98,4645.5,1511.91,723.99,723.99
18089.35,9739.83,4703.1,1511.72,723.8,723.8
18144.079999999998,9810.21,4754.91,1511.28,723.36,723.36
18217.03,9898.89,4813.82,1510.91,722.99,722.99
18316.22,10010.56,4891.1,1510.4,722.48,722.48
18428.67,10135.29,4987.03,1510.29,722.37,722.37
18520.62,10243.96,5090.83,1537.58,722.94,722.94
18579.68,10326.18,5173.05,1589.8400000000001,723.8,723.8
18609.3,10373.67,5220.53,1615.34,723.79,723.79
18612.78,10392.11,5238.97,1629.65,723.78,723.78
18604.41,10399.08,5245.94,1636.63,723.77,723.77
18590.579999999998,10401.01,5247.87,1638.56,723.81,723.81
18564.05,10386.6,5233.46,1624.14,723.82,723.82
18531.73,10367.18,5214.04,1604.73,723.86,723.86
18490.27,10343.28,5190.13,1588.74,723.9,723.9
18443.46,10313.65,5160.5,1558.28,723.96,723.96
18359.89,10251.07,5097.92,1530.72,723.98,723.98
18252.64,10160.46,5007.31,1493.33,723.98,723.98
18132.59,10065.22,4917.24,1456.81,723.99,723.99
17988.5,9951.44,4813.56,1415.47,724.02,724.02
17853.55,9850.05,4715.9,1375.59,724.06,724.06
17747.35,9791.38,4657.23,1330.7,724.13,724.13
17645.77,9749.23,4620.7,1282.06,723.4300000000001,723.4300000000001
17597.89,9764.41,4635.88,1280.76,722.13,722.13
17577.329999999998,9796.47,4664.19,1279.0,720.37,720.37
17568.91,9820.86,4669.92,1276.94,718.31,718.31
17559.57,9835.0,4663.58,1274.74,716.11,716.11
17547.1,9843.66,4664.35,1272.66,714.03,714.03
17535.55,9850.24,4659.65,1270.92,712.29,712.29
17527.81,9862.92,4654.51,1269.3600000000001,710.73,710.73
17506.82,9867.06,4658.64,1268.45,709.82,709.82
17475.19,9863.78,4655.36,1250.07,709.59,709.59
17462.96,9872.43,4664.01,1250.13,709.65,709.65
17444.32,9868.47,4660.05,1236.85,709.69,709.69
17419.66,9856.25,4647.83,1220.76,709.75,709.75
17410.09,9855.55,4647.13,1212.44,709.79,709.79
17362.81,9814.12,4605.7,1191.0,709.8,709.8
17330.64,9791.42,4583.0,1191.02,709.82,709.82
17236.6,9727.41,4523.29,1191.02,709.82,709.82
17161.56,9687.5,4498.83,1191.02,709.82,709.82
17104.25,9667.19,4486.63,1191.02,709.82,709.82
17060.7,9659.85,4479.45,1191.03,709.83,709.83
17017.39,9652.37,4471.79,1191.04,709.84,709.84
16975.01,9645.62,4464.69,1191.06,709.86,709.86
16921.1,9621.73,4441.09,1191.08,709.88,709.88
16873.23,9598.81,4418.17,1191.08,709.88,709.88
16835.91,9582.64,4402.0,1169.26,709.59,709.59
16818.85,9580.289999999999,4399.66,1160.41,709.46,709.46
16805.29,9581.26,4400.62,1160.03,709.08,709.08
16787.5,9576.35,4395.71,1159.55,708.6,708.6
16768.8,9569.92,4389.28,1159.42,708.47,708.47
16757.68,9570.29,4389.65,1159.28,708.33,708.33
16717.59,9543.05,4362.4,1159.46,708.51,708.51
16674.16,9512.71,4332.07,1159.54,708.59,708.59
16611.58,9465.12,4284.47,1132.27,708.04,708.04
16542.8,9411.19,4230.53,1086.6100000000001,707.33,707.33
16464.24,9348.82,4168.17,1036.15,707.35,707.35
16379.29,9281.75,4101.09,985.87,707.39,707.39
16280.11,9201.55,4020.89,925.96,707.43,707.43
16175.09,9115.6,3934.93,864.12,707.46,707.46
16044.09,9007.28,3826.61,808.59,707.5,707.5
15932.61,8919.34,3738.67,765.77,707.51,707.51
15843.1,8856.88,3676.21,740.06,707.52,707.52
15756.68,8804.55,3623.87,740.11,707.57,707.57
