0,20,40,60,80,100
22552.21,22552.21,22552.21,22552.21,22552.21,22552.21
22545.920000000002,22545.920000000002,22545.920000000002,22545.920000000002,22545.920000000002,22545.920000000002
22594.74,22594.74,22594.74,22594.74,22594.74,22594.74
22567.76,22567.76,22567.76,22567.76,22567.76,22567.76
22514.83,22514.83,22514.83,22514.83,22514.83,22514.83
22505.51,22505.51,22505.51,22505.51,22505.51,22505.51
22460.88,22460.88,22460.88,22460.88,22460.88,22460.88
22434.08,22434.08,22434.08,22434.08,22434.08,22434.08
22407.11,22407.11,22407.11,22407.11,22407.11,22407.11
22407.47,22407.47,22407.47,22407.47,22407.47,22407.47
22409.65,22409.65,22409.65,22409.65,22409.65,22409.65
22406.11,22406.11,22406.11,22406.11,22406.11,22406.11
22403.67,22403.67,22403.67,22403.67,22403.67,22403.67
22413.29,22413.29,22413.29,22413.29,22413.29,22413.29
22425.13,22425.13,22425.13,22425.13,22425.13,22425.13
22454.920000000002,22454.920000000002,22454.920000000002,22454.920000000002,22454.920000000002,22454.920000000002
22480.52,22480.52,22480.52,22480.52,22480.52,22480.52
22474.96,22474.96,22474.96,22474.96,22474.96,22474.96
22472.12,22472.12,22472.12,22472.12,22472.12,22472.12
22474.22,22474.22,22474.22,22474.22,22474.22,22474.22
22473.85,22473.85,22473.85,22473.85,22473.85,22473.85
22466.87,22466.87,22466.87,22466.87,22466.87,22466.87
22519.23,22519.23,22519.23,22519.23,22519.23,22519.23
22514.7,22514.7,22514.7,22514.7,22514.7,22514.7
22599.07,22599.07,22599.07,22599.07,22599.07,22599.07
22674.3,22674.3,22674.3,22674.3,22674.3,22674.3
22607.27,22607.27,22607.27,22607.27,22607.27,22607.27
22595.52,22595.52,22595.52,22595.52,22595.52,22595.52
22604.48,22604.48,22604.48,22604.48,22604.48,22604.48
22556.35,22556.35,22556.35,22556.35,22556.35,22556.35
22495.14,22495.14,22495.14,22495.14,22495.14,22495.14
22393.32,22393.32,22393.32,22393.32,22393.32,22393.32
22304.06,22304.06,22304.06,22304.06,22304.06,22304.06
22297.55,22297.55,22297.55,22297.55,22297.55,22297.55
22289.14,22289.14,22289.14,22289.14,22289.14,22289.14
22283.16,22283.16,22283.16,22283.16,22283.16,22283.16
22277.91,22277.91,22277.91,22277.91,22277.91,22277.91
22255.6,22255.6,22255.6,22255.6,22255.6,22255.6
22264.36,22264.36,22264.36,22264.36,22264.36,22264.36
22240.97,22240.97,22240.97,22240.97,22240.97,22240.97
22255.27,22255.27,22255.27,22255.27,22255.27,22255.27
22271.56,22271.56,22271.56,22271.56,22271.56,22271.56
22238.83,22238.83,22238.83,22238.83,22238.83,22238.83
22237.18,22237.18,22237.18,22237.18,22237.18,22237.18
22233.01,22233.01,22233.01,22233.01,22233.01,22233.01
22237.78,22237.78,22237.78,22237.78,22237.78,22237.78
22299.88,22299.88,22299.88,22299.88,22299.88,22299.88
22408.39,22408.39,22408.39,22408.39,22408.39,22408.39
22538.53,22538.53,22538.53,22538.53,22538.53,22538.53
22682.47,22682.47,22682.47,22682.47,22682.47,22682.47
