0,20,40,60,80,100
18829.91,9019.95,4112.9,801.17,849.71,893.3
18868.72,9053.38,4139.29,810.08,849.79,893.49
18907.85,9088.58,4166.33,820.63,849.8,893.61
18947.8,9125.84,4197.77,828.36,849.78,893.74
18992.7,9167.61,4234.98,835.22,849.75,893.95
19038.42,9208.61,4274.37,835.86,849.78,894.25
19086.95,9249.82,4314.56,835.9,849.8100000000001,894.53
19140.67,9296.04,4358.9,835.92,849.83,894.8
19196.56,9343.68,4402.79,835.96,849.87,895.1
19254.7,9394.9,4449.02,835.99,849.91,895.37
19317.99,9452.39,4501.58,836.27,849.95,895.65
19387.22,9519.05,4565.22,847.09,849.97,895.91
19459.76,9589.71,4632.81,864.36,850.07,896.18
19532.15,9661.43,4701.33,885.41,850.36,896.54
19609.13,9738.29,4770.37,911.67,850.63,896.92
19694.4,9822.8,4845.32,941.35,850.85,897.34
19775.87,9901.18,4913.71,972.01,850.9300000000001,897.68
19860.77,9983.11,4979.27,1005.3199999999999,850.94,897.99
19945.24,10066.72,5042.29,1039.93,850.96,898.33
20030.63,10152.11,5109.77,1076.95,850.94,898.67
20108.22,10229.71,5175.3,1109.37,850.94,899.03
20179.21,10300.69,5237.27,1137.69,850.9,899.32
20243.47,10364.86,5294.71,1162.41,850.9,899.62
20304.93,10423.79,5350.95,1185.8,850.92,899.9
20363.03,10478.72,5402.54,1206.29,851.09,900.23
20428.09,10540.26,5458.11,1226.49,851.1800000000001,900.49
20492.81,10603.24,5511.88,1247.8899999999999,851.23,900.67
20561.07,10670.28,5565.53,1271.48,851.19,900.77
20628.19,10736.83,5618.38,1287.2,851.1800000000001,900.91
20690.41,10799.0,5672.7300000000005,1297.05,851.19,901.08
20747.42,10856.01,5726.96,1304.56,851.21,901.24
20802.13,10910.72,5780.94,1312.16,851.23,901.37
20855.09,10963.68,5834.7300000000005,1319.71,851.26,901.5
20914.65,11023.24,5892.18,1330.81,851.27,901.62
20976.16,11084.76,5946.33,1343.19,851.28,901.69
21032.44,11141.03,5999.44,1355.47,851.42,901.79
21085.61,11194.2,6048.01,1367.78,851.5,901.84
21134.46,11243.05,6093.48,1380.28,851.57,901.86
21173.2,11281.78,6129.83,1392.6299999999999,851.61,901.82
21213.64,11322.22,6170.41,1410.68,851.84,901.91
21249.85,11358.42,6203.83,1425.15,851.99,901.91
21276.3,11384.88,6224.52,1433.92,852.14,901.86
21293.27,11401.85,6237.78,1439.75,852.28,901.79
21299.66,11408.24,6242.96,1444.04,852.4300000000001,901.64
21298.26,11406.84,6240.96,1442.35,852.61,901.44
21298.48,11407.07,6240.08,1440.1,852.74,901.2
21308.51,11417.1,6244.81,1444.73,852.65,900.85
21316.79,11425.38,6248.1,1447.65,852.54,900.46
21330.96,11439.55,6255.23,1454.78,852.32,899.99
21345.42,11454.01,6261.29,1460.84,852.09,899.5
21357.54,11466.13,6264.5,1464.05,851.96,899.0600000000001
21371.12,11479.71,6269.4,1468.95,851.83,898.64
21377.85,11486.44,6265.63,1464.04,851.77,898.1800000000001
21378.85,11487.44,6253.96,1463.37,851.71,897.64
21377.63,11486.16,6240.36,1463.26,851.6,897.02
21371.09,11479.56,6220.93,1463.17,851.51,896.4
21362.79,11471.26,6202.84,1463.09,851.43,895.79
21359.1,11467.57,6189.49,1463.02,851.35,895.23
21354.48,11462.94,6173.03,1462.72,851.29,894.69
21346.03,11454.35,6151.46,1451.91,851.28,894.17
21332.38,11440.55,6126.58,1434.79,851.33,893.69
21320.69,11428.68,6101.87,1413.95,851.25,893.16
21306.47,11414.46,6078.79,1388.9,851.09,892.6
21296.69,11404.68,6056.42,1365.98,850.91,892.07
21286.61,11394.6,6033.24,1342.35,850.73,891.53
21258.15,11366.14,6003.02,1310.03,850.6,891.01
21222.9,11330.89,5970.66,1275.35,850.51,890.49
21188.59,11296.59,5936.71,1239.17,850.45,890.01
21157.52,11265.51,5902.83,1206.71,850.42,889.5600000000001
21130.54,11238.53,5872.88,1178.26,850.33,889.12
21105.85,11213.84,5844.35,1153.44,850.24,888.69
21091.32,11199.12,5821.55,1129.8899999999999,850.06,888.28
21083.93,11191.67,5805.03,1111.72,849.83,887.92
21078.07,11185.8,5790.64,1096.3,849.56,887.58
21061.58,11169.31,5771.8,1075.19,849.42,887.3100000000001
21037.05,11144.78,5748.39,1051.57,849.43,887.13
21015.72,11123.46,5728.89,1035.8,849.4,886.94
20998.99,11106.73,5709.42,1025.9,849.34,886.74
20986.29,11094.03,5691.64,1018.37,849.3,886.55
20973.27,11081.01,5674.95,1010.76,849.27,886.4
20962.96,11070.7,5659.24,1003.2,849.24,886.25
20949.24,11056.98,5642.06,992.09,849.22,886.12
20937.23,11044.96,5628.58,979.6899999999999,849.19,886.03
20933.84,11041.57,5622.14,972.96,849.06,885.9300000000001
20938.91,11046.64,5622.94,973.76,849.04,885.9300000000001
20952.52,11060.25,5629.21,980.03,849.14,886.05
20980.73,11088.47,5644.43,995.25,849.14,886.17
21002.89,11110.63,5652.94,1003.75,848.91,886.14
