0,20,40,60,80,100
31242.82,23639.62,16036.42,8433.22,1889.88,1347.47
31253.52,23650.32,16047.119999999999,8443.92,1900.58,1347.72
31269.08,23665.88,16062.68,8459.48,1916.14,1348.06
31291.62,23688.42,16085.22,8482.02,1938.68,1348.48
31326.01,23722.81,16119.61,8516.41,1973.07,1348.95
31362.9,23759.7,16156.5,8553.3,2005.14,1349.45
31401.44,23798.239999999998,16195.039999999999,8591.84,2014.99,1349.84
31444.67,23841.47,16238.27,8635.07,2014.76,1350.4
31485.79,23882.59,16279.39,8676.19,2014.6200000000001,1351.01
31529.42,23926.22,16323.02,8719.82,2014.35,1351.51
31573.079999999998,23969.88,16366.68,8763.48,2014.05,1351.99
31618.489999999998,24015.29,16412.09,8808.89,2013.83,1352.47
31666.66,24063.46,16460.26,8857.06,2013.6,1352.89
31711.86,24108.66,16505.46,8902.26,2013.25,1353.13
31753.989999999998,24150.79,16547.59,8944.39,2012.85,1353.27
31794.9,24191.7,16588.5,8985.3,2012.32,1353.33
31838.29,24235.09,16631.89,9028.69,2011.6,1353.38
31864.13,24260.93,16657.73,9054.53,2011.16,1353.3
31853.54,24250.34,16647.14,9043.94,2000.57,1352.65
31845.579999999998,24242.38,16639.18,9035.98,1992.61,1352.1
31835.98,24232.78,16629.58,9026.38,1983.01,1351.47
31829.62,24226.42,16623.22,9020.02,1976.65,1350.96
31827.12,24223.92,16620.72,9017.52,1974.15,1350.54
31827.61,24224.41,16621.21,9018.01,1974.64,1350.27
31825.63,24222.43,16619.23,9016.03,1972.66,1349.99
31835.93,24232.73,16629.53,9026.33,1982.96,1350.03
31851.81,24248.61,16645.41,9042.21,1998.84,1350.18
31857.21,24254.01,16650.81,9047.61,2004.24,1350.05
31866.399999999998,24263.2,16660.0,9056.8,2013.43,1349.79
31875.7,24272.5,16669.3,9066.1,2022.73,1349.43
31891.59,24288.39,16685.19,9081.99,2030.56,1348.91
31909.87,24306.67,16703.47,9100.27,2029.84,1348.41
31925.05,24321.85,16718.65,9115.45,2029.2,1347.91
31938.51,24335.31,16732.11,9128.91,2028.57,1347.42
31954.17,24350.97,16747.77,9144.57,2027.93,1346.96
31968.47,24365.27,16762.07,9158.87,2027.38,1346.57
31982.989999999998,24379.79,16776.59,9173.39,2026.85,1346.24
31995.39,24392.19,16788.99,9185.789999999999,2026.42,1346.01
32002.09,24398.89,16795.69,9192.49,2025.83,1345.55
32005.19,24401.989999999998,16798.79,9195.59,2025.23,1344.99
32007.0,24403.8,16800.6,9197.4,2024.8,1344.54
32005.16,24401.96,16798.76,9195.56,2024.6299999999999,1344.27
32011.64,24408.44,16805.24,9202.039999999999,2031.11,1344.29
32023.69,24420.489999999998,16817.29,9214.09,2043.16,1344.43
32038.05,24434.85,16831.65,9228.45,2057.52,1344.6200000000001
32057.38,24454.18,16850.98,9247.78,2076.85,1344.89
32073.3,24470.1,16866.9,9263.7,2092.77,1345.11
32086.68,24483.48,16880.28,9277.08,2106.15,1345.26
32090.37,24487.17,16883.97,9280.77,2109.84,1345.21
32089.69,24486.489999999998,16883.29,9280.09,2109.16,1345.07
32087.18,24483.98,16880.78,9277.58,2106.65,1344.88
32088.309999999998,24485.11,16881.91,9278.71,2107.78,1344.78
32083.19,24479.99,16876.79,9273.59,2102.66,1344.58
32074.46,24471.26,16868.06,9264.86,2093.93,1344.25
32062.77,24459.57,16856.37,9253.17,2083.77,1343.94
32049.48,24446.28,16843.08,9239.88,2083.75,1343.6
32036.7,24433.5,16830.3,9227.1,2083.57,1343.09
32022.6,24419.4,16816.2,9213.0,2083.46,1342.64
32007.3,24404.1,16800.9,9197.7,2083.43,1342.26
31992.42,24389.22,16786.02,9182.82,2083.42,1341.91
31978.55,24375.35,16772.15,9168.95,2083.42,1341.6100000000001
31966.809999999998,24363.61,16760.41,9157.21,2083.43,1341.3600000000001
31964.5,24361.3,16758.1,9154.9,2083.4,1341.22
31974.01,24370.81,16767.61,9164.41,2083.33,1341.27
31981.67,24378.47,16775.27,9172.07,2083.37,1341.39
31991.14,24387.94,16784.74,9181.54,2089.25,1341.52
32002.0,24398.8,16795.6,9192.4,2100.11,1341.72
32005.36,24402.16,16798.96,9195.76,2103.47,1341.81
32013.94,24410.74,16807.54,9204.34,2112.05,1341.88
32014.31,24411.11,16807.91,9204.71,2112.42,1341.79
32012.13,24408.93,16805.73,9202.53,2110.24,1341.67
32002.48,24399.28,16796.08,9192.88,2100.59,1341.39
31992.11,24388.91,16785.71,9182.51,2090.22,1341.11
31984.15,24380.95,16777.75,9174.55,2082.26,1340.87
31972.739999999998,24369.54,16766.34,9163.14,2070.85,1340.58
31968.59,24365.39,16762.19,9158.99,2066.7,1340.41
31969.84,24366.64,16763.44,9160.24,2067.95,1340.33
31980.86,24377.66,16774.46,9171.26,2078.9700000000003,1340.14
32000.92,24397.72,16794.52,9191.32,2099.03,1339.66
32017.23,24414.03,16810.83,9207.63,2107.49,1338.92
32030.2,24427.0,16823.8,9220.6,2106.57,1338.26
32038.19,24434.99,16831.79,9228.59,2105.84,1337.65
32040.5,24437.3,16834.1,9230.9,2105.13,1336.95
32041.63,24438.43,16835.23,9232.03,2104.5,1336.32
32046.53,24443.33,16840.13,9236.93,2103.86,1335.75
32054.61,24451.41,16848.21,9245.01,2103.25,1335.28
32065.25,24462.05,16858.85,9255.65,2102.66,1334.95
32073.13,24469.93,16866.73,9263.53,2102.05,1334.64
32074.62,24471.42,16868.22,9265.02,2101.6,1334.37
32071.309999999998,24468.11,16864.91,9261.71,2102.82,1334.2
32061.48,24458.28,16855.08,9251.88,2097.92,1334.11
32049.89,24446.69,16843.49,9240.29,2090.75,1333.93
32037.12,24433.92,16830.72,9227.52,2080.45,1333.54
32018.94,24415.74,16812.54,9209.34,2062.27,1333.1
