0,20,40,60,80,100
167.97,69.08,69.08,69.08,69.08,69.08
168.32999999999998,69.61,69.61,69.61,69.61,69.61
168.62,70.16,70.16,70.16,70.16,70.16
169.44,70.74,70.74,70.74,70.74,70.74
170.49,71.39,71.39,71.39,71.39,71.39
171.51999999999998,72.11,72.11,72.11,72.11,72.11
172.82,72.87,72.87,72.87,72.87,72.87
173.9,73.13,73.13,73.13,73.13,73.13
175.8,73.25,73.25,73.25,73.25,73.25
177.72,73.17,73.17,73.17,73.17,73.17
178.93,72.84,72.84,72.84,72.84,72.84
181.6,71.89,71.89,71.89,71.89,71.89
184.79000000000002,70.87,70.87,70.87,70.87,70.87
188.35000000000002,69.85,69.85,69.85,69.85,69.85
189.82,68.92,68.92,68.92,68.92,68.92
191.6,68.1,68.1,68.1,68.1,68.1
195.09,67.33,67.33,67.33,67.33,67.33
199.06,67.0,67.0,67.0,67.0,67.0
205.06,66.62,66.62,66.62,66.62,66.62
211.0,66.23,66.23,66.23,66.23,66.23
218.27,65.87,65.87,65.87,65.87,65.87
224.8,65.56,65.56,65.56,65.56,65.56
230.17000000000002,65.38,65.38,65.38,65.38,65.38
233.09,65.35,65.35,65.35,65.35,65.35
231.7,65.45,65.45,65.45,65.45,65.45
228.57999999999998,66.38,66.38,66.38,66.38,66.38
224.47,67.45,67.45,67.45,67.45,67.45
220.12,68.59,68.59,68.59,68.59,68.59
216.32,69.85,69.85,69.85,69.85,69.85
213.68,71.15,71.15,71.15,71.15,71.15
212.94,72.46000000000001,72.46000000000001,72.46000000000001,72.46000000000001,72.46000000000001
214.09,72.94,72.94,72.94,72.94,72.94
216.37,73.1,73.1,73.1,73.1,73.1
218.98,72.94,72.94,72.94,72.94,72.94
220.95999999999998,72.48,72.48,72.48,72.48,72.48
221.15,71.17,71.17,71.17,71.17,71.17
220.45,69.81,69.81,69.81,69.81,69.81
218.74,68.55,68.55,68.55,68.55,68.55
216.82,67.53,67.53,67.53,67.53,67.53
214.63,66.78999999999999,66.78999999999999,66.78999999999999,66.78999999999999,66.78999999999999
212.21,66.22,66.22,66.22,66.22,66.22
210.87,66.46,66.46,66.46,66.46,66.46
210.22,66.77,66.77,66.77,66.77,66.77
209.99,67.00999999999999,67.00999999999999,67.00999999999999,67.00999999999999,67.00999999999999
218.64999999999998,67.3,67.3,67.3,67.3,67.3
247.89,67.65,67.65,67.65,67.65,67.65
290.93,68.07,68.07,68.07,68.07,68.07
338.57,68.48,68.48,68.48,68.48,68.48
392.9,68.9,68.9,68.9,68.9,68.9
469.38,71.97,71.25,71.25,71.25,71.25
537.3,75.17,73.56,73.56,73.56,73.56
593.61,83.00999999999999,75.92999999999999,75.92999999999999,75.92999999999999,75.92999999999999
637.4,91.24,78.31,78.31,78.31,78.31
673.77,97.99000000000001,80.7,80.7,80.7,80.7
701.51,103.8,82.99,82.99,82.99,82.99
707.52,107.12,83.34,83.34,83.34,83.34
698.31,106.16,83.27,83.27,83.27,83.27
674.65,100.27,82.85,82.85,82.85,82.85
657.52,93.86,82.29,82.29,82.29,82.29
644.14,87.05,79.84,79.84,79.84,79.84
635.52,81.17999999999999,77.36,77.36,77.36,77.36
633.48,79.8,74.85,74.85,74.85,74.85
656.29,86.88,72.66,72.66,72.66,72.66
689.25,96.2,70.65,70.65,70.65,70.65
714.9300000000001,105.84,68.71,68.71,68.71,68.71
728.66,112.91,68.55,68.55,68.55,68.55
744.36,122.03,68.44,68.44,68.44,68.44
751.46,125.95,68.38,68.38,68.38,68.38
754.31,127.86,68.31,68.31,68.31,68.31
763.78,136.1,68.28,68.28,68.28,68.28
778.63,149.81,68.26,68.26,68.26,68.26
817.24,180.41,68.36,68.36,68.36,68.36
863.4300000000001,221.54,68.47,68.47,68.47,68.47
904.44,258.1,71.35,71.35,71.35,71.35
933.59,286.12,74.21000000000001,74.21000000000001,74.21000000000001,74.21000000000001
952.27,306.64,77.1,77.1,77.1,77.1
969.6999999999999,325.92,80.09,80.09,80.09,80.09
976.89,334.95,83.15,83.15,83.15,83.15
969.37,329.26,86.2,86.2,86.2,86.2
967.64,327.52,86.52,86.52,86.52,86.52
966.89,326.78,86.81,86.81,86.81,86.81
963.8,323.68,86.94,86.94,86.94,86.94
953.86,313.73,86.81,86.81,86.81,86.81
939.17,297.21,83.94,83.94,83.94,83.94
928.8199999999999,285.03,81.03,81.03,81.03,81.03
922.24,276.61,78.06,78.06,78.06,78.06
916.88,269.41,75.19,75.19,75.19,75.19
906.7,257.39,72.38,72.38,72.38,72.38
902.22,251.07999999999998,69.67,69.67,69.67,69.67
908.15,257.0,69.48,69.48,69.48,69.48
892.28,241.13,69.23,69.23,69.23,69.23
850.24,211.38,68.86,68.86,68.86,68.86
807.89,183.99,68.44,68.44,68.44,68.44
772.94,163.47,68.04,68.04,68.04,68.04
733.49,139.04,67.66,67.66,67.66,67.66
681.29,102.69,67.47,67.47,67.47,67.47
650.1,85.9,67.43,67.43,67.43,67.43
652.21,87.25,69.55,69.55,69.55,69.55
673.3299999999999,95.95,72.07,72.07,72.07,72.07
691.9,103.46,74.61,74.61,74.61,74.61
704.46,108.68,77.14,77.14,77.14,77.14
717.73,115.95,79.55,79.55,79.55,79.55
731.24,123.92,81.95,81.95,81.95,81.95
731.97,123.72999999999999,82.28,82.28,82.28,82.28
717.11,117.64,82.18,82.18,82.18,82.18
708.12,113.71,82.13,82.13,82.13,82.13
697.01,107.06,81.95,81.95,81.95,81.95
683.03,100.14999999999999,79.9,79.9,79.9,79.9
668.62,92.48,77.8,77.8,77.8,77.8
656.29,86.17999999999999,75.8,75.8,75.8,75.8
646.99,79.96,73.85,73.85,73.85,73.85
632.76,72.21,71.86,71.86,71.86,71.86
610.76,70.03,70.03,70.03,70.03,70.03
593.17,70.08,70.08,70.08,70.08,70.08
566.45,70.13,70.13,70.13,70.13,70.13
540.17,70.1,70.1,70.1,70.1,70.1
511.08,70.11,70.11,70.11,70.11,70.11
484.15999999999997,70.08,70.08,70.08,70.08,70.08
488.94,70.03,70.03,70.03,70.03,70.03
519.58,73.99,70.05,70.05,70.05,70.05
580.41,92.44,70.11,70.11,70.11,70.11
639.03,110.02000000000001,72.46000000000001,72.46000000000001,72.46000000000001,72.46000000000001
699.74,129.08,74.81,74.81,74.81,74.81
757.98,147.37,77.32,77.32,77.32,77.32
805.1800000000001,169.28,80.0,80.0,80.0,80.0
826.44,184.51,82.68,82.68,82.68,82.68
822.26,182.18,85.35,85.35,85.35,85.35
823.02,182.94,85.75,85.75,85.75,85.75
821.51,181.42,86.02,86.02,86.02,86.02
829.74,189.65,86.12,86.12,86.12,86.12
834.89,194.8,85.86,85.86,85.86,85.86
842.64,200.7,83.04,83.04,83.04,83.04
856.64,212.85000000000002,80.18,80.18,80.18,80.18
868.53,222.9,77.36,77.36,77.36,77.36
885.79,238.32,74.72,74.72,74.72,74.72
902.1800000000001,252.87,72.13,72.13,72.13,72.13
926.6400000000001,275.48,69.72,69.72,69.72,69.72
934.24,283.08,69.68,69.68,69.68,69.68
928.9100000000001,277.76,69.55,69.55,69.55,69.55
915.64,264.48,69.3,69.3,69.3,69.3
900.1700000000001,249.02,68.89,68.89,68.89,68.89
880.08,228.92000000000002,68.45,68.45,68.45,68.45
849.99,198.84,68.02,68.02,68.02,68.02
852.52,201.38,67.77,67.77,67.77,67.77
883.06,231.92000000000002,67.69,67.69,67.69,67.69
935.4300000000001,286.14,71.0,71.0,71.0,71.0
978.53,331.08,74.38,74.38,74.38,74.38
1012.66,367.05,77.93,77.93,77.93,77.93
1053.88,410.1,81.8,81.8,81.8,81.8
1077.92,435.98,85.77,85.77,85.77,85.77
1084.59,444.49,89.77,89.77,89.77,89.77
1080.65,440.55,90.51,90.51,90.51,90.51
1084.08,443.97,91.1,91.1,91.1,91.1
1098.3600000000001,458.25,91.41,91.41,91.41,91.41
1104.12,464.01,91.16,91.16,91.16,91.16
1103.42,461.46000000000004,87.52,87.52,87.52,87.52
1110.16,466.35,83.81,83.81,83.81,83.81
1118.21,472.55,80.11,80.11,80.11,80.11
1137.12,489.63,76.69,76.69,76.69,76.69
1144.4,495.08,73.38,73.38,73.38,73.38
1148.32,497.16999999999996,70.3,70.3,70.3,70.3
1141.5,490.36,70.39,70.39,70.39,70.39
1130.32,479.18,70.42,70.42,70.42,70.42
1104.13,452.99,70.32,70.32,70.32,70.32
1058.04,406.9,70.00999999999999,70.00999999999999,70.00999999999999,70.00999999999999
1015.44,364.29,69.69,69.69,69.69,69.69
984.4000000000001,333.24,69.35,69.35,69.35,69.35
987.99,336.83000000000004,69.09,69.09,69.09,69.09
1018.22,367.07,68.98,68.98,68.98,68.98
1067.38,418.07,73.25,72.69,72.69,72.69
1125.46,477.99,78.22,76.61,76.61,76.61
1184.78,539.15,82.23,80.62,80.62,80.62
1240.74,596.95,87.4,84.8,84.8,84.8
1283.32,641.36,95.07,89.13,89.13,89.13
1306.02,665.89,106.55,93.59,93.59,93.59
1334.1399999999999,694.02,120.19,94.53,94.53,94.53
1364.32,724.19,135.66,95.28999999999999,95.28999999999999,95.28999999999999
1391.96,751.84,148.02,95.77,95.77,95.77
1419.66,779.54,161.32999999999998,96.03,96.03,96.03
1445.51,803.55,169.15,91.96,91.96,91.96
1450.84,807.04,166.43,87.64,87.64,87.64
1445.24,799.6,158.63,83.14,83.14,83.14
1450.86,803.39,160.57999999999998,78.74,78.74,78.74
1449.95,800.64,156.41,74.5,74.5,74.5
1416.18,765.04,138.08,70.21,70.21,70.21
1357.97,706.8299999999999,122.62,69.98,69.98,69.98
1277.1,625.96,113.64,69.62,69.62,69.62
1173.13,523.91,103.25,69.19,69.19,69.19
1031.34,398.35,80.72,68.77,68.77,68.77
890.5600000000001,278.02,68.5,68.5,68.5,68.5
779.24,188.51,68.4,68.4,68.4,68.4
692.9,122.77,68.43,68.43,68.43,68.43
653.88,95.34,68.63,68.63,68.63,68.63
651.72,94.27,71.14,71.14,71.14,71.14
688.53,116.68,73.91,73.91,73.91,73.91
761.66,171.19,77.16,77.16,77.16,77.16
849.13,238.68,80.77,80.77,80.77,80.77
951.82,322.62,84.74,84.74,84.74,84.74
1047.64,408.69,88.9,88.9,88.9,88.9
1136.7,496.57,95.25,90.95,90.95,90.95
1214.67,574.55,102.78999999999999,92.61,92.61,92.61
1271.1,630.99,111.85,93.63,93.63,93.63
1311.02,670.92,118.82000000000001,94.04,94.04,94.04
1321.91,679.97,114.89,90.11,90.11,90.11
1321.6,677.8199999999999,110.71000000000001,85.93,85.93,85.93
1318.78,673.17,105.03,81.59,81.59,81.59
1319.81,672.36,100.99,77.36,77.36,77.36
1325.23,675.93,99.03999999999999,73.24,73.24,73.24
1334.52,683.37,99.0,69.33,69.33,69.33
1359.08,707.9300000000001,110.51,69.38,69.38,69.38
1388.76,737.62,122.8,69.45,69.45,69.45
1409.77,758.62,131.62,69.49,69.49,69.49
1427.57,776.4200000000001,139.71,69.53,69.53,69.53
1434.65,783.5,142.49,69.53,69.53,69.53
1438.01,786.87,143.64,69.53999999999999,69.53999999999999,69.53999999999999
1428.47,777.33,139.25,69.56,69.56,69.56
1411.05,759.9,131.29,69.6,69.6,69.6
1394.22,744.92,126.78999999999999,73.42,73.42,73.42
1377.05,729.59,120.85,77.35,77.35,77.35
1355.84,710.22,113.63,81.28999999999999,81.28999999999999,81.28999999999999
1339.6,695.82,108.81,85.38,85.38,85.38
1339.11,697.17,110.94,89.66,89.66,89.66
1341.2,701.1,114.49,93.89,93.89,93.89
1341.16,701.05,113.88,94.27,94.27,94.27
1335.59,695.47,110.82,94.44,94.44,94.44
1327.79,687.68,108.96,94.41,94.41,94.41
1305.09,664.97,105.83,93.94,93.94,93.94
1266.24,624.27,96.9,89.91,89.91,89.91
1228.19,584.38,89.39,85.94,85.94,85.94
1194.24,548.6,83.09,82.07,82.07,82.07
1173.3400000000001,525.87,78.33,78.33,78.33,78.33
1164.19,514.88,74.81,74.81,74.81,74.81
1171.24,520.1,71.61,71.61,71.61,71.61
1183.6200000000001,532.48,71.76,71.76,71.76,71.76
1201.68,550.55,71.86,71.86,71.86,71.86
1219.73,568.6,71.96000000000001,71.96000000000001,71.96000000000001,71.96000000000001
1227.35,576.22,72.01,72.01,72.01,72.01
1226.97,575.84,72.03999999999999,72.03999999999999,72.03999999999999,72.03999999999999
1223.4,572.27,72.05,72.05,72.05,72.05
1226.91,575.79,72.05,72.05,72.05,72.05
1238.9,587.78,72.09,72.09,72.09,72.09
1253.39,604.1,75.74,75.74,75.74,75.74
1270.01,622.55,81.35,79.48,79.48,79.48
1289.69,644.06,86.55,83.28,83.28,83.28
1310.89,667.1,92.42,87.21,87.21,87.21
1345.38,703.4300000000001,106.11,91.58,91.58,91.58
1374.73,734.61,126.22,96.15,96.15,96.15
1400.78,760.66,143.36,97.09,97.09,97.09
1419.76,779.64,154.70999999999998,97.75,97.75,97.75
1431.51,791.39,159.93,97.99000000000001,97.99000000000001,97.99000000000001
1430.33,790.1999999999999,159.53,97.72,97.72,97.72
1392.56,750.5799999999999,145.72,93.23,93.23,93.23
1336.26,692.45,125.44,88.49000000000001,88.49000000000001,88.49000000000001
1282.92,637.28,104.53,83.78,83.78,83.78
1240.14,592.66,87.50999999999999,79.32,79.32,79.32
1213.57,564.26,77.08,75.27,75.27,75.27
1206.83,555.6800000000001,71.6,71.6,71.6,71.6
1223.94,572.8,71.72,71.72,71.72,71.72
1246.63,595.49,71.88,71.88,71.88,71.88
