0,20,40,60,80,100
678.55,94.1,57.28,66.27,75.17,75.72
682.46,98.84,57.39,66.39,75.26,75.72
693.29,111.93,57.510000000000005,66.51,75.39,75.72
705.76,127.17,62.75,74.09,84.69999999999999,84.96
703.98,122.35000000000001,68.66,82.34,94.14,94.27
692.66,115.27000000000001,75.53999999999999,91.56,103.78999999999999,103.81
679.25,113.71000000000001,83.13,101.49,113.83,113.85
662.93,107.75,90.71000000000001,111.4,123.77,123.78999999999999
641.0,92.74000000000001,97.53,120.56,133.42,133.42
622.39,78.3,98.31,121.34,133.36,133.36
615.3,74.74000000000001,97.76,120.78,132.82,132.82
615.78,70.79,91.48,112.16,123.28,123.28
619.97,65.93,84.29,102.63,113.24,113.24
622.16,61.269999999999996,77.29,93.29,103.3,103.3
621.67,57.41,71.08,84.74,93.67,93.67
618.03,54.39,65.72,77.03,84.49,84.49
612.05,52.07,61.06,70.03999999999999,75.72,75.72
604.21,52.19,61.18,70.16,75.72,75.72
595.4,52.290000000000006,61.27,70.25,75.72,75.72
592.06,52.2,61.18,70.17,75.72,75.72
592.44,52.08,61.07,70.06,75.72,75.72
590.91,52.02,61.01,70.01,75.72,75.72
592.74,51.93,60.92,69.92,75.72,75.72
598.41,51.82,60.81,69.81,75.72,75.72
605.19,51.879999999999995,60.879999999999995,69.88,75.72,75.72
605.8,52.17,61.17,70.16,75.72,75.72
602.9300000000001,52.58,61.57,70.56,75.72,75.72
602.51,55.44,66.77,78.09,83.72,83.72
598.51,58.79,72.46,86.12,92.09,92.09
593.05,62.56,78.57,94.56,100.81,100.81
592.35,66.49,84.84,103.16,109.75999999999999,109.75999999999999
595.08,70.16,90.85,111.50999999999999,118.74,118.74
597.96,73.21,96.25,119.25,127.43,127.43
601.39,73.3,96.33,119.34,127.88,127.88
607.76,72.57,95.6,118.61,127.78,127.78
613.07,69.02,89.71000000000001,110.38,119.06,119.06
615.98,65.31,83.66,101.99,110.11,110.11
609.95,61.84,77.84,93.84,101.13,101.13
601.17,58.95,72.61,86.25999999999999,92.44,92.44
596.49,56.5,67.83,79.14,83.99,83.99
