0,20,40,60,80,100
356.51,91.56,90.36,89.16,88.49000000000001,88.49000000000001
356.67,91.53,90.33,89.13,88.46000000000001,88.46000000000001
365.37,91.9,90.7,89.5,88.87,88.87
364.46,94.71000000000001,95.36,96.01,96.15,96.15
350.87,97.98,100.47999999999999,102.98,103.63000000000001,103.63000000000001
341.9,101.67,106.02,110.37,111.33000000000001,111.33000000000001
336.46,105.41,111.61,117.81,118.89,118.89
327.93,108.99000000000001,117.03999999999999,125.09,126.32000000000001,126.32000000000001
321.62,112.58,122.47999999999999,132.38,133.79,133.79
325.6,113.59,123.49,133.39,134.32,134.32
336.33,113.14,123.03999999999999,132.94,133.95,133.95
345.69,110.02,118.07,126.12,126.86,126.86
350.79,106.89999999999999,113.1,119.3,119.98,119.98
354.03,103.49,107.84,112.19,112.74,112.74
358.77,100.11,102.61,105.11,105.49,105.49
362.5,96.72999999999999,97.38,98.03,98.15,98.15
365.96,94.08,92.88,91.68,91.22,91.22
369.6,93.83,92.63,91.43,90.95,90.95
363.86,92.96,91.76,90.56,90.0,90.0
355.4,92.16,90.96000000000001,89.76,89.13,89.13
343.53,91.25999999999999,90.06,88.86,88.16,88.16
334.1,90.69,89.49000000000001,88.28999999999999,87.54,87.54
331.03,90.45,89.25,88.05,87.29,87.29
328.02,90.22,89.02,87.82,87.04,87.04
316.31,89.65,88.45,87.25,86.43,86.43
314.55,89.65,88.45,87.25,86.44,86.44
317.38,89.9,88.7,87.5,86.72,86.72
319.32,92.82,93.47,94.12,94.07,94.07
310.77,96.19,98.69,101.19,101.55,101.55
296.96,99.65,104.0,108.35,109.07,109.07
288.67,103.72,109.92,116.12,117.41,117.41
275.8,107.47,115.52000000000001,123.57,125.43,125.43
276.59,111.4,121.3,131.2,133.31,133.31
257.8,111.8,121.7,131.6,133.76,133.76
255.63,110.98,120.88,130.78,133.31,133.31
265.07,107.49,115.54,123.59,125.77,125.77
270.67,103.56,109.76,115.96,117.58,117.58
293.35,100.21,104.56,108.91,109.99,109.99
302.43,96.77,99.27,101.77,102.63,102.63
321.56,93.66,94.31,94.96,95.08,95.08
329.99,91.12,89.92,88.72,88.06,88.06
335.8,91.26,90.06,88.86,88.21,88.21
334.89,90.88,89.68,88.48,87.81,87.81
331.40999999999997,90.64,89.44,88.24,87.56,87.56
323.96999999999997,90.15,88.95,87.75,87.03999999999999,87.03999999999999
319.9,89.85,88.65,87.45,86.72,86.72
312.2,89.33,88.13,86.93,86.16,86.16
308.35,89.07,87.87,86.67,85.88,85.88
331.88,90.37,89.17,87.97,87.28,87.28
341.21,90.81,89.61,88.41,87.74,87.74
343.21,91.01,89.81,88.61,87.95,87.95
361.75,94.58,95.23,95.88,95.53,95.53
377.5,98.82,101.32000000000001,103.82,103.64,103.64
377.52,102.71000000000001,107.06,111.41,111.38,111.38
368.88,106.19,112.39,118.59,118.64,118.64
361.79,109.84,117.89,125.94,126.08,126.08
367.26,113.79,123.69,133.54,133.79,133.79
357.09000000000003,114.22,124.12,133.97,134.19,134.19
354.98,113.63,123.53,133.38,133.85,133.85
380.02,111.27,119.32,127.33,127.75999999999999,127.75999999999999
402.55,108.89,115.09,121.27,121.69,121.69
419.14,105.98,110.33,114.66,115.06,115.06
429.78999999999996,102.85,105.35,107.88,108.24,108.24
440.17999999999995,99.91,100.56,101.24,101.4,101.4
439.14,96.91,95.71,94.53999999999999,94.34,94.34
413.14,95.4,94.2,93.02,92.71,92.71
385.12,93.48,92.28,91.08,90.63,90.63
356.18,91.81,90.61,89.41,88.83,88.83
330.73,90.42,89.22,88.02,87.33,87.33
314.94,89.43,88.23,87.03,86.25,86.25
288.43,88.02,86.82000000000001,85.62,84.73,84.72
267.34000000000003,86.9,85.7,84.5,83.52,83.51
250.09,86.08,84.88,83.68,82.64,82.63
273.96000000000004,87.27,86.07,84.87,83.92,83.91
307.49,89.0,87.80000000000001,86.6,85.79,85.78
