0,20,40,60,80,100
1533.6,667.6,116.04,110.22,110.22,110.22
1585.78,714.9300000000001,132.17000000000002,109.05,109.05,109.05
1643.75,768.0,148.45,107.37,107.37,107.37
1690.07,809.28,171.67000000000002,106.0,106.0,106.0
1729.07,843.6,194.68,104.95,104.95,104.95
1762.26,873.49,219.67000000000002,103.98,103.98,103.98
1786.12,897.89,247.95,111.25999999999999,111.25999999999999,111.25999999999999
1787.03,901.15,258.05,119.73,119.73,119.73
1769.85,887.58,254.34,129.93,129.93,129.93
1719.87,842.64,240.44,140.62,140.62,140.62
1657.8799999999999,787.85,227.42,151.66,151.66,151.66
1586.05,725.25,212.65,162.85,162.85,162.85
1507.8899999999999,654.28,189.07999999999998,166.1,166.1,166.1
1443.08,594.91,172.51999999999998,168.47,168.47,168.47
1397.53,553.28,168.81,168.81,168.81,168.81
1377.0,535.86,168.14,168.14,168.14,168.14
1373.65,532.32,165.98,165.98,165.98,165.98
1387.28,543.87,162.57,162.57,162.57,162.57
1400.97,555.1,158.75,158.75,158.75,158.75
1412.69,563.88,149.08,149.08,149.08,149.08
1417.45,566.01,140.22,140.22,140.22,140.22
1441.6399999999999,587.09,131.57,131.57,131.57,131.57
1467.98,611.1,123.74000000000001,123.74000000000001,123.74000000000001,123.74000000000001
1492.99,632.26,116.93,116.93,116.93,116.93
1533.6,667.6,116.04,110.22,110.22,110.22
1585.78,714.9300000000001,132.17000000000002,109.05,109.05,109.05
1643.75,768.0,148.45,107.37,107.37,107.37
1690.07,809.28,171.67000000000002,106.0,106.0,106.0
1729.07,843.6,194.68,104.95,104.95,104.95
1762.26,873.49,219.67000000000002,103.98,103.98,103.98
1786.12,897.89,247.95,111.25999999999999,111.25999999999999,111.25999999999999
1787.03,901.15,258.05,119.73,119.73,119.73
1769.85,887.58,254.34,129.93,129.93,129.93
1719.87,842.64,240.44,140.62,140.62,140.62
1657.8799999999999,787.85,227.42,151.66,151.66,151.66
1586.05,725.25,212.65,162.85,162.85,162.85
1507.8899999999999,654.28,189.07999999999998,166.1,166.1,166.1
1443.08,594.91,172.51999999999998,168.47,168.47,168.47
1397.53,553.28,168.81,168.81,168.81,168.81
1377.0,535.86,168.14,168.14,168.14,168.14
1373.65,532.32,165.98,165.98,165.98,165.98
1387.28,543.87,162.57,162.57,162.57,162.57
1400.97,555.1,158.75,158.75,158.75,158.75
1428.6100000000001,579.59,148.36,148.36,148.36,148.36
1458.62,606.86,140.2,138.39000000000001,138.39000000000001,138.39000000000001
1493.82,639.04,135.3,129.02,129.02,129.02
1533.07,675.9100000000001,138.16,120.43,120.43,120.43
1585.36,724.1600000000001,159.89,112.55000000000001,112.55000000000001,112.55000000000001
1652.8899999999999,786.4300000000001,191.20999999999998,104.82000000000001,104.82000000000001,104.82000000000001
1717.11,846.35,240.55,103.34,103.34,103.34
1783.81,908.26,291.34000000000003,101.83,101.83,101.83
1846.36,965.96,338.90999999999997,100.39,100.39,100.39
1907.53,1022.62,384.82,99.06,99.06,99.06
1945.9099999999999,1058.28,412.90999999999997,98.27000000000001,98.27000000000001,98.27000000000001
1966.33,1080.45,434.23,106.69,106.69,106.69
1959.97,1077.64,434.35,116.14,116.14,116.14
1923.32,1047.1100000000001,411.88,126.87,126.87,126.87
1878.24,1009.53,384.65999999999997,138.24,138.24,138.24
1816.98,956.8199999999999,346.01,149.86,149.86,149.86
1746.42,895.31,299.21999999999997,161.57,161.57,161.57
1679.6,833.79,249.91,164.21,164.21,164.21
1622.32,781.03,210.2,165.99,165.99,165.99
1585.34,746.88,189.46,166.16,166.16,166.16
1559.59,722.76,173.63,165.22,165.22,165.22
1553.56,717.06,169.45,163.51,163.51,163.51
1567.73,730.0799999999999,182.0,160.74,160.74,160.74
1577.13,738.75,188.52,157.77,157.77,157.77
1576.55,734.4,178.77,148.02,148.02,148.02
1583.48,737.1700000000001,171.19,138.63,138.63,138.63
1591.76,741.1700000000001,166.67,129.64000000000001,129.64000000000001,129.64000000000001
1597.8799999999999,742.9200000000001,163.59,121.06,121.06,121.06
1615.8899999999999,755.75,169.74,112.91,112.91,112.91
