0,20,40,60,80,100
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
3929.03,2603.64,1449.81,300.98,167.91,66.0
