0,20,40,60,80,100
10756.25,3276.7,1569.47,1582.16,1582.91,1582.91
10747.14,3276.74,1569.51,1582.25,1583.0,1583.0
10724.84,3276.77,1569.56,1582.35,1583.1,1583.1
10696.86,3276.81,1569.63,1582.47,1583.22,1583.22
10681.2,3276.88,1569.72,1582.58,1583.33,1583.33
10673.62,3276.94,1569.79,1582.68,1583.43,1583.43
10676.28,3279.9,1575.6200000000001,1588.7,1589.45,1589.45
10724.03,3294.33,1575.81,1588.82,1589.57,1589.57
10829.16,3364.43,1582.02,1597.07,1597.82,1597.82
10952.74,3452.13,1587.28,1600.12,1600.87,1600.87
11067.81,3535.61,1590.47,1603.31,1604.06,1604.06
11182.67,3613.23,1592.02,1606.86,1607.61,1607.61
11303.42,3695.03,1593.67,1610.6,1611.35,1611.35
11414.23,3783.68,1599.6200000000001,1614.69,1615.44,1615.44
11540.59,3885.26,1611.65,1618.85,1619.64,1619.64
11683.68,4005.94,1636.72,1622.3,1623.76,1623.76
11845.84,4156.29,1692.39,1624.59,1627.55,1627.55
12007.78,4311.64,1763.15,1626.6299999999999,1631.32,1631.32
12173.78,4469.98,1838.81,1628.82,1635.35,1635.35
12345.04,4634.79,1917.97,1630.92,1639.53,1639.53
12534.58,4811.39,2001.8600000000001,1636.12,1644.15,1644.15
12721.17,4984.51,2082.88,1636.39,1637.11,1637.11
12913.63,5153.14,2155.91,1639.08,1642.37,1642.37
13096.87,5309.37,2216.53,1641.87,1647.7,1647.7
13278.44,5465.12,2276.68,1642.28,1647.91,1647.9
13468.49,5623.07,2341.9,1651.42,1659.72,1659.89
13652.53,5772.93,2396.16,1651.86,1659.96,1660.12
13831.27,5915.54,2443.17,1652.2,1660.11,1660.27
13985.03,6032.43,2466.57,1652.48,1660.26,1660.42
14107.79,6120.91,2476.05,1652.69,1660.4,1660.56
14246.57,6229.9,2493.28,1652.86,1660.49,1660.65
14415.51,6367.31,2535.09,1655.65,1664.78,1664.94
14604.36,6520.49,2592.67,1658.71,1669.39,1669.55
14778.84,6674.3,2650.89,1661.41,1673.49,1673.65
14941.55,6814.93,2695.91,1664.08,1677.1,1677.26
15098.03,6948.29,2733.67,1666.29,1680.0,1680.16
15230.9,7065.31,2755.1,1667.73,1681.66,1681.82
15357.14,7176.34,2770.53,1669.32,1683.26,1683.42
15474.61,7282.51,2783.25,1670.94,1684.88,1685.04
15584.12,7382.68,2794.73,1672.36,1686.3,1686.46
15679.16,7475.69,2805.94,1673.23,1687.17,1687.33
15761.96,7558.48,2817.27,1674.03,1687.97,1688.13
15843.81,7639.15,2828.0,1674.65,1688.59,1688.75
15923.32,7717.14,2834.92,1675.7,1689.64,1689.8
16008.89,7793.17,2834.46,1676.86,1690.8,1690.96
16089.06,7844.34,2834.0,1677.84,1691.78,1691.94
16152.02,7868.6,2828.19,1671.95,1685.89,1686.05
16177.62,7879.99,2828.21,1671.95,1685.89,1686.05
16174.77,7880.0,2828.2200000000003,1671.98,1685.92,1686.08
16173.19,7880.0599999999995,2828.28,1672.06,1686.0,1686.16
16180.47,7880.13,2828.35,1672.14,1686.08,1686.24
16188.74,7880.18,2828.42,1672.21,1686.15,1686.31
16195.42,7880.22,2828.4700000000003,1672.28,1686.22,1686.38
16204.12,7880.26,2828.51,1672.34,1686.28,1686.44
16216.14,7880.33,2828.58,1672.41,1686.35,1686.51
16263.09,7901.36,2828.68,1673.25,1687.19,1687.35
16356.55,7977.75,2829.67,1675.07,1689.01,1689.17
16443.53,8060.93,2838.72,1676.76,1690.7,1690.86
16502.99,8120.39,2844.81,1678.17,1692.11,1692.27
16572.15,8189.56,2850.64,1680.1,1694.04,1694.2
16635.85,8253.26,2856.77,1681.54,1695.48,1695.64
16700.19,8317.6,2866.5,1683.01,1696.95,1697.11
16766.83,8384.24,2882.86,1684.48,1698.42,1698.58
16841.92,8459.33,2904.94,1685.25,1699.45,1699.61
16911.5,8528.9,2934.09,1685.65,1700.3,1700.46
16974.05,8591.45,2967.48,1686.11,1701.19,1701.35
17030.87,8648.27,3007.53,1686.3799999999999,1702.02,1702.18
17094.0,8711.4,3049.67,1686.77,1703.18,1703.34
17170.99,8788.39,3094.61,1686.96,1704.4,1704.56
17263.02,8880.42,3133.25,1687.02,1705.52,1705.68
17364.93,8982.33,3161.3,1687.69,1707.21,1707.37
17463.67,9075.81,3179.82,1688.95,1709.32,1709.48
17552.18,9149.01,3185.94,1697.54,1718.07,1718.23
17623.46,9206.51,3191.63,1705.99,1726.52,1726.68
17670.78,9241.38,3191.53,1705.83,1726.36,1726.52
17692.13,9260.43,3197.2400000000002,1713.59,1734.12,1734.28
17701.26,9272.09,3197.07,1713.43,1733.96,1734.12
17718.65,9287.72,3196.88,1713.25,1733.78,1733.94
17727.22,9298.29,3196.66,1713.07,1733.6,1733.76
17702.66,9270.86,3190.38,1704.1399999999999,1724.67,1724.83
17646.67,9211.99,3182.13,1695.26,1715.56,1715.72
17585.42,9150.74,3169.84,1693.25,1713.14,1713.3
17532.68,9098.0,3159.83,1691.16,1710.94,1711.1
17512.27,9077.59,3156.21,1689.47,1709.25,1709.41
17514.22,9079.54,3159.18,1688.27,1708.05,1708.21
17522.95,9088.27,3161.26,1686.49,1706.27,1706.43
17531.59,9096.9,3159.38,1684.95,1704.73,1704.89
17530.84,9096.15,3160.71,1683.69,1703.47,1703.6299999999999
17524.33,9089.64,3157.97,1682.43,1702.21,1702.37
17518.42,9083.73,3154.97,1681.51,1701.29,1701.45
17513.7,9079.02,3154.36,1681.41,1701.19,1701.35
17502.57,9067.89,3152.75,1680.7,1700.48,1700.64
17493.85,9056.29,3146.82,1672.64,1692.42,1692.58
17487.25,9049.69,3146.71,1672.33,1692.11,1692.27
17484.5,9053.66,3146.64,1672.1299999999999,1691.91,1692.07
17485.88,9056.48,3140.83,1666.05,1685.83,1685.99
17495.59,9056.45,3140.8,1666.03,1685.81,1685.97
17509.35,9056.43,3140.78,1666.01,1685.79,1685.95
17540.76,9059.04,3140.77,1665.97,1685.75,1685.91
17569.45,9059.05,3140.75,1665.93,1685.71,1685.87
17595.96,9059.07,3140.75,1665.9,1685.68,1685.84
17618.35,9059.62,3140.77,1665.8899999999999,1685.67,1685.83
17628.97,9056.78,3135.06,1659.99,1679.77,1679.93
17612.34,9052.47,3135.04,1659.99,1679.77,1679.93
17562.8,9003.26,3129.04,1651.85,1671.6299999999999,1671.79
17514.62,8955.08,3124.36,1651.08,1670.86,1671.02
17488.42,8928.49,3122.23,1650.93,1670.71,1670.87
17485.18,8922.93,3122.28,1651.1299999999999,1670.91,1671.07
17489.58,8924.21,3127.87,1651.53,1671.31,1671.47
17511.02,8942.07,3140.2400000000002,1651.65,1671.77,1671.93
17538.89,8965.96,3158.08,1651.4,1672.39,1672.55
17578.46,9000.88,3193.0,1650.96,1673.06,1673.22
17610.97,9028.81,3220.92,1658.42,1674.1,1674.26
17635.47,9049.04,3241.15,1670.05,1674.72,1674.88
17659.69,9069.09,3261.2,1685.89,1675.37,1675.53
17684.73,9089.73,3281.84,1702.51,1675.91,1676.07
17716.49,9116.78,3308.89,1720.8799999999999,1675.92,1676.52
17746.92,9145.05,3340.0299999999997,1743.55,1687.51,1688.82
17787.81,9180.4,3375.38,1763.51,1687.62,1689.81
17827.9,9214.57,3406.68,1771.66,1676.1299999999999,1678.25
17858.13,9241.8,3433.91,1784.19,1676.05,1678.12
17880.25,9258.07,3447.31,1784.01,1664.33,1666.18
17904.87,9279.8,3469.04,1791.08,1664.18,1666.0
17937.22,9307.34,3496.58,1797.69,1664.13,1665.92
17986.46,9352.75,3539.88,1797.68,1664.05,1665.83
18068.03,9428.3,3598.83,1797.72,1663.97,1665.75
18136.85,9489.61,3656.3,1801.44,1663.95,1665.73
18205.37,9547.22,3713.91,1814.53,1665.14,1666.97
18264.89,9594.85,3761.54,1830.72,1666.3,1668.14
18322.66,9640.61,3807.29,1846.2,1667.43,1669.27
18389.35,9695.7,3862.38,1858.91,1668.29,1670.13
18453.32,9748.27,3914.94,1867.3799999999999,1669.09,1670.93
18526.1,9809.79,3976.45,1872.74,1670.65,1672.49
18599.03,9871.35,4038.0099999999998,1872.83,1672.44,1674.28
18675.75,9936.8,4101.61,1873.11,1674.4,1676.24
18754.07,10003.78,4165.45,1873.6,1676.55,1678.39
18828.11,10066.73,4225.07,1874.25,1678.69,1680.53
18900.22,10128.3,4281.22,1874.84,1680.53,1682.37
18974.88,10192.95,4337.62,1875.44,1682.28,1684.12
19060.24,10267.93,4399.86,1876.06,1684.15,1685.99
19154.27,10351.52,4467.73,1876.88,1686.34,1688.18
19263.36,10449.31,4521.72,1878.3,1688.88,1690.72
19394.1,10568.83,4572.99,1878.34,1688.83,1690.67
19537.62,10693.03,4612.96,1878.4,1688.8,1690.64
19687.55,10805.54,4634.26,1878.43,1688.76,1690.6
19843.73,10921.72,4657.86,1878.5,1688.75,1690.59
19992.28,11030.7,4677.91,1878.59,1688.77,1690.61
20128.94,11128.76,4692.55,1878.64,1688.77,1690.61
20267.66,11227.08,4706.93,1878.68,1688.76,1690.6
20413.38,11334.03,4724.86,1878.73,1688.74,1690.58
20568.5,11455.83,4751.06,1878.78,1688.71,1690.55
