0,20,40,60,80,100
32227.6,13791.4,4595.56,1440.77,1344.04,1344.04
32124.22,13708.39,4581.24,1441.27,1344.54,1344.54
32016.75,13610.11,4554.85,1441.72,1344.99,1344.99
31887.37,13489.41,4510.05,1442.06,1345.33,1345.33
31749.26,13358.24,4455.93,1442.39,1345.66,1345.66
31605.71,13214.69,4379.03,1442.77,1346.04,1346.04
31455.75,13064.73,4279.94,1443.18,1346.45,1346.45
31357.35,12966.33,4203.06,1442.57,1345.84,1345.84
31298.6,12907.58,4162.8,1441.45,1344.72,1344.72
31303.84,12910.13,4160.63,1439.28,1342.55,1342.55
31392.32,12938.28,4157.77,1436.42,1339.69,1339.69
31500.84,12984.89,4155.28,1433.93,1337.2,1337.2
31614.12,13036.14,4152.87,1431.52,1334.79,1334.79
31700.63,13061.6,4149.58,1428.23,1331.5,1331.5
31772.41,13074.15,4145.47,1424.12,1327.39,1327.39
31818.44,13073.49,4142.78,1421.43,1324.7,1324.7
31862.86,13092.55,4150.75,1421.67,1324.94,1324.94
31908.35,13105.19,4155.45,1422.46,1325.73,1325.73
31940.96,13111.4,4156.23,1423.24,1326.51,1326.51
31978.76,13117.27,4157.04,1424.05,1327.32,1327.32
32022.23,13128.48,4160.82,1424.93,1328.2,1328.2
32063.65,13148.02,4169.8,1425.77,1329.04,1329.04
32098.58,13168.71,4167.83,1426.58,1329.85,1329.85
32092.53,13156.03,4119.74,1427.27,1330.54,1330.54
32055.61,13097.85,4023.26,1427.9,1331.17,1331.17
31997.2,13026.25,3909.28,1428.44,1331.71,1331.71
31904.43,12926.84,3782.0,1410.61,1332.17,1332.17
31808.15,12825.45,3657.92,1393.0,1332.62,1332.62
31776.38,12789.13,3562.51,1375.51,1333.04,1333.04
31768.38,12776.4,3492.17,1358.75,1333.3799999999999,1333.3799999999999
31828.33,12824.38,3460.07,1359.01,1333.64,1333.64
31935.09,12908.2,3447.57,1359.22,1333.85,1333.85
32080.08,13031.23,3507.71,1359.8,1334.43,1334.43
32206.63,13114.83,3522.87,1359.67,1334.3,1334.3
32327.15,13182.98,3523.12,1359.92,1334.55,1334.55
32495.23,13290.63,3540.64,1361.54,1336.17,1336.17
32669.25,13403.24,3549.53,1364.01,1338.64,1338.64
32863.61,13535.539999999999,3572.06,1366.22,1340.85,1340.85
33069.47,13678.23,3626.15,1368.9,1343.53,1343.53
33301.27,13854.99,3732.43,1372.13,1346.76,1346.76
33556.84,14053.64,3889.17,1425.42,1349.16,1349.16
33802.27,14238.5,4031.37,1465.33,1349.21,1349.21
34040.13,14413.69,4161.16,1488.67,1349.21,1349.21
34283.0,14592.31,4288.11,1508.37,1349.19,1349.19
34534.79,14778.48,4409.47,1521.38,1349.18,1349.18
34795.02,14973.93,4513.07,1521.37,1349.17,1349.17
35089.09,15203.24,4622.95,1521.43,1349.23,1349.23
35364.61,15411.22,4727.8,1521.48,1349.28,1349.28
35536.69,15539.59,4801.14,1521.48,1349.28,1349.28
35665.51,15622.26,4849.25,1521.43,1349.23,1349.23
35785.75,15684.94,4877.27,1521.37,1349.17,1349.17
35881.96,15734.76,4894.02,1521.33,1349.13,1349.13
35939.14,15752.65,4894.55,1521.28,1349.08,1349.08
35958.66,15755.98,4894.4800000000005,1521.21,1349.01,1349.01
35955.07,15748.84,4894.46,1521.19,1348.99,1348.99
35895.01,15708.22,4874.22,1520.58,1348.38,1348.38
35807.53,15648.99,4856.46,1519.99,1347.79,1347.79
35677.03,15560.47,4833.25,1520.12,1347.92,1347.92
35521.64,15450.42,4808.47,1521.32,1349.12,1349.12
35380.98,15347.3,4779.8,1523.27,1351.07,1351.07
35224.18,15233.43,4742.1,1525.4,1353.2,1353.2
35098.87,15149.19,4726.47,1527.19,1354.99,1354.99
34987.3,15073.69,4687.54,1528.53,1356.33,1356.33
34898.18,15019.14,4634.15,1528.82,1356.62,1356.62
34803.9,14962.23,4587.04,1516.23,1356.0,1356.0
34712.33,14904.91,4538.04,1502.76,1355.93,1355.93
34641.98,14863.72,4504.69,1502.7,1355.87,1355.87
34563.14,14820.86,4469.97,1502.64,1355.81,1355.81
34498.88,14792.77,4448.21,1502.54,1355.71,1355.71
34460.44,14773.17,4453.23,1502.42,1355.59,1355.59
34488.12,14807.53,4493.51,1502.32,1355.49,1355.49
34550.46,14870.52,4553.72,1502.23,1355.4,1355.4
34662.74,14982.8,4650.95,1502.12,1355.29,1355.29
34769.63,15089.68,4731.12,1502.02,1355.19,1355.19
34886.92,15206.97,4814.38,1501.94,1355.11,1355.11
35030.3,15348.36,4888.83,1501.86,1355.03,1355.03
35166.13,15478.33,4949.43,1501.77,1354.94,1354.94
35279.76,15585.09,4998.84,1501.7,1354.8700000000001,1354.8700000000001
35353.07,15658.4,5072.9,1501.63,1354.8,1354.8
35366.6,15676.89,5103.77,1505.36,1358.53,1358.53
35329.52,15659.68,5100.97,1505.94,1359.11,1359.11
35267.64,15621.16,5064.07,1508.07,1361.24,1361.24
35176.96,15556.289999999999,5036.72,1510.79,1363.96,1363.96
35017.26,15453.23,4998.49,1513.98,1367.15,1367.15
34905.65,15366.83,4958.71,1517.65,1370.82,1370.82
34804.37,15286.86,4916.16,1521.45,1374.62,1374.62
34731.27,15227.97,4876.78,1525.14,1378.31,1378.31
34724.34,15215.37,4872.16,1527.98,1381.15,1381.15
34768.62,15246.89,4903.32,1528.79,1381.96,1381.96
34814.06,15279.27,4936.29,1528.47,1381.64,1381.64
34856.22,15309.17,4967.17,1528.08,1381.25,1381.25
34905.04,15344.05,5002.04,1527.67,1380.84,1380.84
34942.46,15370.25,5027.88,1527.17,1380.34,1380.34
34989.49,15414.14,5056.51,1526.54,1379.71,1379.71
35121.95,15546.6,5155.09,1526.04,1379.21,1379.21
35354.72,15763.38,5280.22,1540.8,1378.87,1378.87
35612.77,16002.48,5400.32,1547.69,1378.59,1378.59
35880.88,16250.22,5532.87,1576.97,1378.33,1378.33
36155.59,16515.74,5689.9,1636.37,1378.08,1378.08
36426.5,16777.97,5847.95,1696.8,1377.86,1377.86
36680.38,17024.9,5995.14,1744.43,1377.63,1377.63
36870.06,17214.579999999998,6113.49,1756.5,1377.4,1377.4
36963.52,17308.04,6191.14,1756.34,1377.24,1377.24
36959.72,17314.92,6206.75,1753.78,1374.68,1374.68
36897.91,17274.67,6206.42,1753.45,1374.35,1374.35
36837.16,17243.23,6205.54,1752.57,1373.47,1373.47
36786.92,17216.44,6204.89,1751.92,1372.82,1372.82
