0,20,40,60,80,100
53825.46,33378.33,21610.170000000002,11132.85,2841.7400000000002,1424.73
53637.94,33213.75,21480.1,11007.49,2813.02,1424.82
53486.73,33083.74,21361.16,10894.039999999999,2794.06,1424.92
53355.29,32958.27,21244.65,10784.49,2770.15,1425.03
53230.15,32838.24,21131.76,10678.87,2749.18,1425.13
53092.26,32707.9,21008.91,10561.1,2725.94,1425.23
52960.16,32580.54,20890.27,10449.46,2698.52,1425.33
52828.44,32454.260000000002,20773.17,10340.01,2669.68,1425.43
52649.95,32305.5,20633.17,10214.34,2642.53,1423.89
52466.090000000004,32153.36,20490.63,10090.36,2617.92,1422.4
52243.79,31966.420000000002,20331.81,9965.08,2592.06,1420.95
52025.99,31786.010000000002,20173.54,9847.81,2576.2200000000003,1419.46
51779.0,31581.010000000002,19993.44,9731.89,2562.29,1417.42
51584.86,31412.3,19830.57,9624.74,2559.01,1415.5
51385.13,31234.83,19675.82,9518.71,2557.2400000000002,1413.73
51145.24,31030.54,19497.23,9402.84,2543.34,1411.83
50929.08,30839.69,19315.74,9279.78,2519.55,1410.09
50741.32,30671.760000000002,19157.05,9158.74,2499.13,1413.77
50529.19,30480.45,18976.16,9022.63,2461.37,1413.87
50312.93,30285.24,18791.75,8883.95,2420.57,1413.97
50085.15,30075.27,18597.9,8724.9,2360.11,1414.04
49865.42,29871.73,18411.09,8562.77,2298.21,1414.09
49646.56,29667.32,18224.39,8399.96,2236.77,1414.14
49434.47,29468.43,18043.46,8238.96,2177.67,1414.2
49201.46,29255.81,17849.39,8073.71,2116.4,1414.25
48970.18,29041.36,17653.09,7907.33,2054.58,1414.32
48745.19,28830.35,17460.76,7742.38,1993.53,1414.39
48532.67,28630.33,17278.42,7580.93,1934.17,1414.45
48332.44,28440.34,17105.45,7420.33,1875.05,1414.51
48143.98,28260.920000000002,16942.34,7264.73,1818.29,1414.56
47960.95,28086.62,16783.74,7111.59,1762.7,1414.61
47776.5,27908.170000000002,16635.88,6969.66,1709.58,1414.66
47605.37,27742.97,16503.72,6843.59,1669.17,1413.25
