0,20,40,60,80,100
2509.13,2221.61,2221.61,2221.61,2221.61,2221.61
2510.0099999999998,2223.26,2223.26,2223.26,2223.26,2223.26
2510.78,2227.34,2227.34,2227.34,2227.34,2227.34
2511.64,2231.65,2231.65,2231.65,2231.65,2231.65
2512.34,2233.15,2233.15,2233.15,2233.15,2233.15
2512.8,2234.55,2234.55,2234.55,2234.55,2234.55
2511.96,2235.47,2235.47,2235.47,2235.47,2235.47
2510.63,2235.95,2235.95,2235.95,2235.95,2235.95
2508.67,2235.98,2235.98,2235.98,2235.98,2235.98
2506.44,2235.81,2235.81,2235.81,2235.81,2235.81
2503.78,2235.31,2235.31,2235.31,2235.31,2235.31
2500.7599999999998,2234.66,2234.66,2234.66,2234.66,2234.66
2498.09,2234.13,2234.13,2234.13,2234.13,2234.13
2495.65,2233.8,2233.8,2233.8,2233.8,2233.8
2493.56,2233.81,2233.81,2233.81,2233.81,2233.81
2491.89,2233.88,2233.88,2233.88,2233.88,2233.88
2490.44,2233.9,2233.9,2233.9,2233.9,2233.9
2488.78,2233.89,2233.89,2233.89,2233.89,2233.89
2487.75,2234.17,2234.17,2234.17,2234.17,2234.17
2486.88,2234.67,2234.67,2234.67,2234.67,2234.67
2485.72,2235.15,2235.15,2235.15,2235.15,2235.15
2484.63,2235.6,2235.6,2235.6,2235.6,2235.6
2483.5099999999998,2235.91,2235.91,2235.91,2235.91,2235.91
2482.5,2236.11,2236.11,2236.11,2236.11,2236.11
2481.44,2236.27,2236.27,2236.27,2236.27,2236.27
2479.85,2235.89,2235.89,2235.89,2235.89,2235.89
2477.62,2235.04,2235.04,2235.04,2235.04,2235.04
2475.06,2234.09,2234.09,2234.09,2234.09,2234.09
2472.58,2233.22,2233.22,2233.22,2233.22,2233.22
2470.16,2232.46,2232.46,2232.46,2232.46,2232.46
2467.5099999999998,2231.89,2231.89,2231.89,2231.89,2231.89
2464.93,2231.69,2231.69,2231.69,2231.69,2231.69
2462.71,2231.54,2231.54,2231.54,2231.54,2231.54
2460.32,2231.28,2231.28,2231.28,2231.28,2231.28
2457.9,2230.91,2230.91,2230.91,2230.91,2230.91
2455.75,2230.72,2230.72,2230.72,2230.72,2230.72
2453.74,2230.71,2230.71,2230.71,2230.71,2230.71
2452.06,2230.91,2230.91,2230.91,2230.91,2230.91
2450.54,2231.21,2231.21,2231.21,2231.21,2231.21
2449.37,2231.64,2231.64,2231.64,2231.64,2231.64
2448.31,2232.24,2232.24,2232.24,2232.24,2232.24
2447.3,2232.75,2232.75,2232.75,2232.75,2232.75
2446.38,2233.37,2233.37,2233.37,2233.37,2233.37
2445.82,2234.21,2234.21,2234.21,2234.21,2234.21
2444.94,2235.18,2235.18,2235.18,2235.18,2235.18
2444.21,2236.13,2236.13,2236.13,2236.13,2236.13
2443.34,2237.08,2237.08,2237.08,2237.08,2237.08
2443.0099999999998,2238.16,2238.16,2238.16,2238.16,2238.16
2442.61,2239.23,2239.23,2239.23,2239.23,2239.23
2442.45,2240.42,2240.42,2240.42,2240.42,2240.42
2442.43,2241.63,2241.63,2241.63,2241.63,2241.63
2441.97,2242.64,2242.64,2242.64,2242.64,2242.64
2441.63,2243.51,2243.51,2243.51,2243.51,2243.51
2440.69,2244.04,2244.04,2244.04,2244.04,2244.04
2439.48,2244.41,2244.41,2244.41,2244.41,2244.41
2438.53,2244.74,2244.74,2244.74,2244.74,2244.74
2437.35,2244.83,2244.83,2244.83,2244.83,2244.83
2436.11,2244.68,2244.68,2244.68,2244.68,2244.68
