0,20,40,60,80,100
1324.76,1056.24,1056.24,1056.24,1056.24,1056.24
1324.28,1055.65,1055.65,1055.65,1055.65,1055.65
1323.94,1055.05,1055.05,1055.05,1055.05,1055.05
1323.47,1054.44,1054.44,1054.44,1054.44,1054.44
1322.91,1053.81,1053.81,1053.81,1053.81,1053.81
1322.56,1053.22,1053.22,1053.22,1053.22,1053.22
1322.11,1052.63,1052.63,1052.63,1052.63,1052.63
1321.6299999999999,1052.06,1052.06,1052.06,1052.06,1052.06
1321.34,1051.5,1051.5,1051.5,1051.5,1051.5
1321.1299999999999,1050.95,1050.95,1050.95,1050.95,1050.95
1320.97,1050.41,1050.41,1050.41,1050.41,1050.41
1320.72,1049.9,1049.9,1049.9,1049.9,1049.9
1320.64,1049.43,1049.43,1049.43,1049.43,1049.43
1320.6,1048.97,1048.97,1048.97,1048.97,1048.97
1320.58,1048.54,1048.54,1048.54,1048.54,1048.54
1320.53,1048.14,1048.14,1048.14,1048.14,1048.14
1320.44,1047.8,1047.8,1047.8,1047.8,1047.8
1320.35,1047.54,1047.54,1047.54,1047.54,1047.54
1320.26,1047.38,1047.38,1047.38,1047.38,1047.38
1320.14,1047.32,1047.32,1047.32,1047.32,1047.32
1319.93,1047.35,1047.35,1047.35,1047.35,1047.35
1319.72,1047.47,1047.47,1047.47,1047.47,1047.47
1319.48,1047.66,1047.66,1047.66,1047.66,1047.66
1319.16,1047.89,1047.89,1047.89,1047.89,1047.89
1318.86,1048.15,1048.15,1048.15,1048.15,1048.15
1318.42,1048.35,1048.35,1048.35,1048.35,1048.35
1318.03,1048.48,1048.48,1048.48,1048.48,1048.48
1316.02,1048.41,1048.41,1048.41,1048.41,1048.41
1314.1,1048.24,1048.24,1048.24,1048.24,1048.24
1312.22,1047.99,1047.99,1047.99,1047.99,1047.99
1310.41,1047.69,1047.69,1047.69,1047.69,1047.69
1309.67,1047.47,1047.47,1047.47,1047.47,1047.47
1309.1299999999999,1047.33,1047.33,1047.33,1047.33,1047.33
1308.8799999999999,1047.19,1047.19,1047.19,1047.19,1047.19
1308.82,1047.08,1047.08,1047.08,1047.08,1047.08
1308.79,1047.0,1047.0,1047.0,1047.0,1047.0
1308.79,1046.96,1046.96,1046.96,1046.96,1046.96
1308.81,1046.98,1046.98,1046.98,1046.98,1046.98
1308.82,1047.06,1047.06,1047.06,1047.06,1047.06
1308.8,1047.18,1047.18,1047.18,1047.18,1047.18
1308.75,1047.36,1047.36,1047.36,1047.36,1047.36
1308.77,1047.55,1047.55,1047.55,1047.55,1047.55
1308.81,1047.74,1047.74,1047.74,1047.74,1047.74
1308.87,1047.95,1047.95,1047.95,1047.95,1047.95
1308.95,1048.21,1048.21,1048.21,1048.21,1048.21
1308.87,1048.48,1048.48,1048.48,1048.48,1048.48
1308.75,1048.74,1048.74,1048.74,1048.74,1048.74
1307.54,1048.92,1048.92,1048.92,1048.92,1048.92
1306.02,1049.08,1049.08,1049.08,1049.08,1049.08
1304.51,1049.24,1049.24,1049.24,1049.24,1049.24
1302.98,1049.41,1049.41,1049.41,1049.41,1049.41
1301.3,1049.57,1049.57,1049.57,1049.57,1049.57
1299.98,1049.74,1049.74,1049.74,1049.74,1049.74
1298.62,1049.94,1049.94,1049.94,1049.94,1049.94
1297.84,1050.19,1050.19,1050.19,1050.19,1050.19
1297.87,1050.48,1050.48,1050.48,1050.48,1050.48
1297.89,1050.73,1050.73,1050.73,1050.73,1050.73
1297.9,1051.0,1051.0,1051.0,1051.0,1051.0
1297.89,1051.24,1051.24,1051.24,1051.24,1051.24
1297.99,1051.47,1051.47,1051.47,1051.47,1051.47
1297.98,1051.68,1051.68,1051.68,1051.68,1051.68
1298.09,1051.86,1051.86,1051.86,1051.86,1051.86
1298.05,1051.96,1051.96,1051.96,1051.96,1051.96
1298.02,1052.03,1052.03,1052.03,1052.03,1052.03
1298.0,1052.06,1052.06,1052.06,1052.06,1052.06
1298.01,1052.06,1052.06,1052.06,1052.06,1052.06
1297.9,1052.03,1052.03,1052.03,1052.03,1052.03
1297.8799999999999,1051.96,1051.96,1051.96,1051.96,1051.96
1297.62,1051.88,1051.88,1051.88,1051.88,1051.88
1297.26,1051.78,1051.78,1051.78,1051.78,1051.78
1296.87,1051.7,1051.7,1051.7,1051.7,1051.7
1296.06,1051.63,1051.63,1051.63,1051.63,1051.63
1294.66,1051.53,1051.53,1051.53,1051.53,1051.53
1293.14,1051.47,1051.47,1051.47,1051.47,1051.47
1291.22,1051.47,1051.47,1051.47,1051.47,1051.47
1289.29,1051.54,1051.54,1051.54,1051.54,1051.54
1287.85,1051.64,1051.64,1051.64,1051.64,1051.64
1287.09,1051.77,1051.77,1051.77,1051.77,1051.77
1286.69,1051.91,1051.91,1051.91,1051.91,1051.91
1286.03,1052.09,1052.09,1052.09,1052.09,1052.09
1285.78,1052.34,1052.34,1052.34,1052.34,1052.34
1285.24,1052.57,1052.57,1052.57,1052.57,1052.57
1284.66,1052.81,1052.81,1052.81,1052.81,1052.81
1284.05,1053.07,1053.07,1053.07,1053.07,1053.07
1283.43,1053.33,1053.33,1053.33,1053.33,1053.33
1282.8,1053.55,1053.55,1053.55,1053.55,1053.55
1282.05,1053.74,1053.74,1053.74,1053.74,1053.74
1281.27,1053.9,1053.9,1053.9,1053.9,1053.9
1280.33,1054.02,1054.02,1054.02,1054.02,1054.02
1279.3,1054.14,1054.14,1054.14,1054.14,1054.14
1278.37,1054.26,1054.26,1054.26,1054.26,1054.26
1277.46,1054.4,1054.4,1054.4,1054.4,1054.4
1276.62,1054.52,1054.52,1054.52,1054.52,1054.52
1275.75,1054.58,1054.58,1054.58,1054.58,1054.58
1274.96,1054.61,1054.61,1054.61,1054.61,1054.61
1274.56,1054.63,1054.63,1054.63,1054.63,1054.63
1273.82,1054.64,1054.64,1054.64,1054.64,1054.64
1273.68,1054.64,1054.64,1054.64,1054.64,1054.64
1273.4,1054.64,1054.64,1054.64,1054.64,1054.64
1273.15,1054.64,1054.64,1054.64,1054.64,1054.64
1272.91,1054.62,1054.62,1054.62,1054.62,1054.62
1272.7,1054.6,1054.6,1054.6,1054.6,1054.6
1272.6299999999999,1054.58,1054.58,1054.58,1054.58,1054.58
1272.54,1054.56,1054.56,1054.56,1054.56,1054.56
1272.65,1054.55,1054.55,1054.55,1054.55,1054.55
1272.64,1054.54,1054.54,1054.54,1054.54,1054.54
1272.45,1054.54,1054.54,1054.54,1054.54,1054.54
1272.41,1054.54,1054.54,1054.54,1054.54,1054.54
1272.1299999999999,1054.54,1054.54,1054.54,1054.54,1054.54
1271.92,1054.54,1054.54,1054.54,1054.54,1054.54
1271.68,1054.53,1054.53,1054.53,1054.53,1054.53
1271.46,1054.51,1054.51,1054.51,1054.51,1054.51
1271.21,1054.47,1054.47,1054.47,1054.47,1054.47
1270.92,1054.4,1054.4,1054.4,1054.4,1054.4
1270.6,1054.28,1054.28,1054.28,1054.28,1054.28
1270.27,1054.12,1054.12,1054.12,1054.12,1054.12
1269.9,1053.93,1053.93,1053.93,1053.93,1053.93
1269.4,1053.72,1053.72,1053.72,1053.72,1053.72
