0,20,40,60,80,100
39528.24,35559.14,31590.03,27620.96,24261.77,24002.670000000002
39573.79,35604.7,31635.59,27666.510000000002,24261.920000000002,24002.82
39674.61,35705.52,31736.41,27767.33,24362.74,24103.64
39749.95,35780.86,31811.75,27842.670000000002,24438.08,24178.98
39817.33,35848.24,31879.13,27910.05,24505.46,24246.36
39879.590000000004,35910.5,31941.39,27972.31,24567.72,24308.62
39929.08,35959.99,31990.88,28021.8,24617.21,24358.11
39971.5,36002.41,32033.3,28064.22,24659.63,24400.53
40010.03,36040.94,32071.83,28102.75,24698.16,24439.06
40041.97,36072.88,32103.77,28134.69,24730.1,24471.0
40084.95,36115.86,32146.75,28177.670000000002,24773.08,24513.98
40116.58,36147.49,32178.38,28209.3,24804.71,24545.61
40137.61,36168.52,32199.41,28230.33,24825.74,24566.64
40157.67,36188.58,32219.47,28250.39,24845.8,24586.7
40176.53,36207.44,32238.33,28269.25,24864.66,24605.56
40136.57,36167.48,32198.37,28229.29,24824.7,24565.6
40095.25,36126.16,32157.05,28187.97,24817.35,24565.46
40113.42,36144.33,32175.23,28206.14,24823.08,24565.46
40148.85,36179.77,32210.670000000002,28241.58,24823.05,24565.43
40207.63,36238.56,32269.45,28300.36,24828.15,24565.45
40247.04,36277.97,32308.87,28339.77,24828.14,24565.44
40285.26,36316.19,32347.1,28377.99,24832.19,24565.41
40307.17,36338.090000000004,32369.010000000002,28399.9,24832.14,24565.36
40313.62,36344.54,32375.47,28406.36,24832.08,24565.3
40332.22,36363.14,32394.07,28424.96,24837.19,24565.31
40410.16,36441.090000000004,32472.010000000002,28502.9,24864.41,24565.56
40482.49,36513.42,32544.34,28575.23,24936.74,24637.89
40549.74,36580.67,32611.59,28642.48,25003.99,24705.14
40629.39,36660.32,32691.24,28722.13,25083.64,24784.79
40686.68,36717.61,32748.53,28779.420000000002,25140.93,24842.08
40736.12,36767.05,32797.97,28828.86,25190.37,24891.52
40797.49,36828.42,32859.340000000004,28890.23,25251.74,24952.89
40828.4,36859.33,32890.25,28921.14,25282.65,24983.8
40866.18,36897.11,32928.03,28958.920000000002,25320.43,25021.58
40898.52,36929.45,32960.37,28991.260000000002,25352.77,25053.920000000002
40928.92,36959.85,32990.77,29021.66,25383.170000000002,25084.32
40942.62,36973.55,33004.47,29035.36,25396.87,25098.02
40956.1,36987.03,33017.95,29048.84,25410.35,25111.5
40980.18,37011.11,33042.03,29072.920000000002,25434.43,25135.58
40985.53,37016.46,33047.38,29078.27,25439.78,25140.93
40989.58,37020.52,33051.44,29082.32,25439.79,25140.94
41008.6,37039.53,33070.45,29101.34,25439.8,25140.95
41008.54,37039.47,33070.38,29101.28,25439.670000000002,25140.82
41012.8,37043.74,33074.65,29105.55,25439.54,25140.69
41022.51,37053.45,33084.36,29115.25,25439.43,25140.58
41015.04,37045.97,33076.89,29107.78,25439.25,25140.4
41003.66,37034.590000000004,33065.51,29096.4,25439.05,25140.2
40987.340000000004,37018.28,33049.19,29080.08,25438.83,25139.98
40965.75,36996.68,33027.590000000004,29058.49,25438.68,25139.83
40997.9,37028.83,33059.73,29090.63,25438.78,25139.93
41083.62,37114.55,33145.45,29176.35,25524.5,25225.65
41152.16,37183.090000000004,33213.99,29244.89,25593.04,25294.19
41176.73,37207.66,33238.56,29269.46,25617.61,25318.760000000002
41175.49,37206.42,33237.32,29268.22,25616.37,25317.52
41160.24,37191.17,33222.07,29252.97,25601.12,25302.27
41173.01,37203.94,33234.84,29265.74,25613.89,25315.04
41170.9,37201.83,33232.73,29263.63,25611.78,25312.93
41174.71,37205.64,33236.54,29267.44,25615.59,25316.74
