0,20,40,60,80,100
47005.25,42187.61,37369.99,32165.18,25567.36,23466.92
47056.55,42238.91,37421.29,32235.63,25629.93,23467.22
47100.33,42282.69,37465.07,32279.41,25673.71,23511.0
47144.81,42327.17,37509.55,32323.89,25718.19,23555.48
47187.89,42370.25,37552.63,32366.97,25761.27,23598.56
47225.0,42407.36,37589.74,32404.08,25798.38,23635.67
47180.38,42362.74,37545.12,32359.46,25753.76,23591.05
47128.98,42311.34,37493.72,32308.06,25702.36,23539.65
47078.77,42261.13,37443.51,32257.85,25652.15,23489.44
47029.54,42211.9,37394.28,32208.62,25602.92,23440.21
46979.68,42162.04,37344.42,32158.76,25553.06,23390.35
46929.53,42111.89,37294.27,32108.61,25502.91,23340.2
46882.25,42064.61,37246.99,32061.329999999998,25455.63,23292.92
46844.93,42027.29,37209.66,32024.01,25416.56,23292.72
46806.97,41989.33,37171.7,31981.7,25370.72,23292.49
46768.91,41951.26,37133.64,31939.06,25324.96,23292.26
46733.56,41915.91,37098.29,31898.66,25281.75,23292.04
46695.53,41877.89,37060.26,31855.68,25235.79,23291.81
46658.39,41840.76,37023.13,31812.98,25189.92,23291.579999999998
46622.28,41804.65,36987.02,31770.67,25146.51,23291.36
46676.14,41858.52,37040.88,31839.07,25186.98,23291.61
46730.36,41912.75,37095.1,31908.07,25226.98,23291.86
46783.13,41965.53,37147.88,31975.13,25267.12,23292.11
46840.68,42023.09,37205.44,32049.18,25311.11,23292.37
46894.14,42076.56,37258.9,32117.68,25354.15,23292.62
46947.7,42130.12,37312.46,32186.329999999998,25396.86,23292.88
46994.21,42176.63,37358.97,32232.84,25443.37,23339.39
47043.31,42225.73,37408.07,32281.94,25492.47,23388.49
47088.81,42271.23,37453.57,32327.44,25537.97,23433.99
47090.49,42272.91,37455.25,32329.12,25539.65,23435.67
47071.29,42253.71,37436.05,32309.92,25520.45,23416.47
47077.65,42260.07,37442.41,32316.28,25526.81,23422.83
47084.86,42267.28,37449.62,32323.489999999998,25534.02,23430.04
47091.32,42273.74,37456.08,32329.95,25540.48,23436.5
47093.72,42276.14,37458.48,32332.35,25542.88,23438.9
47045.74,42228.16,37410.5,32284.37,25494.9,23390.92
46997.35,42179.77,37362.11,32235.98,25446.51,23342.53
46963.67,42146.08,37328.43,32198.329999999998,25404.079999999998,23342.31
46926.91,42109.31,37291.67,32157.27,25357.95,23342.08
46890.54,42072.93,37255.29,32116.7,25312.32,23341.84
46894.86,42077.25,37259.61,32122.47,25318.09,23341.829999999998
46950.42,42132.81,37315.16,32191.34,25362.36,23342.08
47009.83,42192.22,37374.57,32266.94,25406.3,23342.35
47064.84,42247.23,37429.58,32331.55,25445.81,23342.59
47120.07,42302.47,37484.82,32397.6,25487.65,23342.83
47175.8,42358.2,37540.55,32464.54,25531.28,23343.079999999998
47233.2,42415.59,37597.95,32533.64,25576.07,23343.35
47278.19,42460.58,37642.94,32595.329999999998,25621.6,23343.57
47299.54,42481.94,37664.29,32624.91,25651.18,23343.68
47310.12,42492.52,37674.87,32641.56,25667.82,23343.75
47319.8,42502.2,37684.55,32651.24,25677.5,23353.43
47348.38,42530.78,37713.13,32679.82,25706.08,23382.01
47413.51,42595.909999999996,37778.26,32744.95,25771.21,23447.14
47485.24,42667.64,37849.99,32816.68,25842.94,23518.87
47556.24,42738.64,37920.99,32887.68,25913.94,23589.87
47626.35,42808.75,37991.1,32957.79,25984.05,23659.98
47690.16,42872.56,38054.91,33021.6,26047.86,23723.79
47757.72,42940.12,38122.47,33089.16,26115.42,23791.35
47819.9,43002.3,38184.65,33151.34,26177.6,23853.53
47870.04,43052.44,38234.79,33201.48,26227.74,23903.67
47869.47,43051.87,38234.22,33200.91,26227.17,23903.1
47867.78,43050.19,38232.53,33200.06,26226.32,23903.09
47866.44,43048.86,38231.19,33199.64,26225.9,23903.09
47867.99,43050.4,38232.74,33203.67,26229.94,23903.1
47865.54,43047.94,38230.29,33201.41,26227.67,23903.09
47863.79,43046.2,38228.55,33199.92,26226.18,23903.08
47864.57,43046.99,38229.33,33201.47,26227.73,23903.09
47852.58,43035.01,38217.35,33179.34,26205.6,23903.01
47831.92,43014.35,38196.69,33139.45,26165.72,23902.86
47818.07,43000.51,38182.85,33114.48,26140.75,23902.77
47814.54,42996.97,38179.31,33110.49,26136.75,23902.76
47814.2,42996.64,38178.97,33110.34,26136.6,23902.76
47814.590000000004,42997.03,38179.36,33110.98,26137.24,23902.77
47826.24,43008.68,38191.02,33125.87,26152.14,23902.83
47881.05,43063.49,38245.83,33180.68,26206.95,23957.64
47935.47,43117.91,38300.25,33235.1,26261.37,24012.06
47990.5,43172.94,38355.28,33290.13,26316.4,24067.09
48044.85,43227.29,38409.63,33344.48,26370.75,24121.44
48099.89,43282.33,38464.67,33399.52,26425.79,24176.48
48154.13,43336.57,38518.91,33453.76,26480.03,24230.72
48209.79,43392.23,38574.57,33509.42,26535.69,24286.38
48264.78,43447.22,38629.56,33564.41,26590.68,24341.37
48319.42,43501.86,38684.2,33619.05,26645.32,24396.01
48375.24,43557.68,38740.02,33674.87,26701.14,24451.829999999998
48427.43,43609.87,38792.21,33727.06,26753.329999999998,24504.02
48429.53,43611.97,38794.31,33731.69,26771.14,24504.09
48430.21,43612.64,38794.98,33735.28,26787.18,24504.15
48431.29,43613.72,38796.06,33739.23,26802.54,24504.21
48431.89,43614.31,38796.65,33743.27,26810.97,24504.24
48432.62,43615.03,38797.38,33744.05,26811.75,24504.25
48432.95,43615.37,38797.72,33744.47,26812.18,24504.25
48470.19,43652.6,38834.96,33785.43,26859.5,24504.45
48526.09,43708.51,38890.87,33846.17,26930.18,24504.74
