0,20,40,60,80,100
69392.23,50625.17,31858.13,13943.56,4101.39,1056.0
69371.47,50604.41,31837.37,13922.8,4100.64,1056.0
69378.05,50610.99,31843.95,13929.38,4100.64,1056.0
69348.46,50581.4,31814.36,13899.79,4086.56,1056.0
69319.53,50552.47,31785.43,13870.86,4078.34,1056.0
69280.42,50513.36,31746.32,13836.95,4078.34,1056.0
69239.85,50472.79,31705.75,13812.48,4078.34,1056.0
69277.69,50510.63,31743.59,13840.68,4078.34,1056.0
69353.44,50586.38,31819.34,13887.93,4078.34,1056.0
69411.94,50644.88,31877.84,13918.76,4078.34,1056.0
69493.75,50726.69,31959.65,13961.5,4078.34,1056.0
69580.25,50813.19,32046.15,14008.76,4078.34,1056.0
69702.87,50935.81,32168.77,14078.28,4078.34,1056.0
69835.94,51068.88,32301.84,14169.66,4093.72,1056.0
69976.36,51209.3,32442.260000000002,14276.32,4125.45,1056.0
70057.86,51290.8,32523.760000000002,14347.11,4137.82,1056.0
70110.39,51343.33,32576.29,14399.64,4155.89,1056.0
70178.81,51411.75,32644.71,14468.06,4177.5,1056.0
70243.69,51476.63,32709.59,14532.94,4204.57,1056.0
70329.35,51562.29,32795.25,14618.6,4235.54,1056.0
70415.79,51648.73,32881.69,14701.69,4260.69,1056.0
70511.45,51744.39,32977.35,14795.41,4294.0,1056.0
70584.23,51817.17,33050.13,14868.19,4328.92,1056.0
70617.25,51850.19,33083.15,14901.210000000001,4353.34,1056.0
70615.92,51848.86,33081.82,14903.28,4368.71,1056.0
70603.61,51836.55,33069.51,14897.87,4376.6,1056.0
70581.73,51814.67,33047.63,14887.62,4389.39,1056.0
70547.44,51780.38,33013.340000000004,14866.09,4397.57,1056.0
70522.46,51755.4,32988.36,14848.64,4400.8,1056.0
70514.85,51747.79,32980.75,14858.31,4415.82,1056.0
70515.98,51748.92,32981.88,14872.34,4429.85,1056.0
70531.13,51764.07,32997.03,14885.28,4442.79,1056.0
70538.22,51771.16,33004.12,14890.49,4448.0,1056.0
70520.67,51753.61,32986.57,14876.53,4434.04,1056.0
70453.25,51686.19,32919.15,14843.08,4400.59,1056.0
70360.84,51593.78,32826.74,14787.09,4355.18,1056.0
70273.3,51506.24,32739.2,14736.22,4313.58,1056.0
70181.74,51414.68,32647.64,14681.07,4271.81,1056.0
70089.55,51322.49,32555.45,14621.94,4226.44,1056.0
69990.66,51223.6,32456.56,14556.55,4168.56,1056.0
69885.81,51118.75,32351.71,14483.48,4100.49,1056.0
69774.48,51007.42,32240.38,14401.98,4026.29,1056.0
69661.81,50894.75,32127.71,14318.94,3952.31,1056.0
69554.72,50787.659999999996,32020.62,14237.83,3886.21,1056.0
69466.58,50699.52,31932.48,14166.65,3827.6,1056.0
69403.35,50636.29,31869.25,14103.42,3776.25,1056.0
69349.09,50582.03,31814.99,14052.29,3736.66,1056.0
69296.21,50529.15,31762.1,14007.28,3706.34,1056.0
69258.9,50491.84,31724.79,13987.68,3688.33,1056.0
69235.85,50468.79,31701.74,13976.7,3677.34,1056.0
69211.17,50444.11,31677.06,13964.62,3674.55,1056.0
69199.63,50432.57,31665.52,13958.59,3679.0,1056.0
69209.93,50442.87,31675.82,13968.89,3689.4,1056.0
69233.83,50466.77,31699.72,13992.79,3714.41,1056.0
69246.36,50479.3,31712.25,14006.07,3742.44,1056.0
69262.73,50495.67,31728.62,14023.4,3773.1,1056.0
69309.1,50542.04,31774.99,14069.77,3815.64,1056.0
69380.13,50613.07,31846.02,14129.4,3857.68,1056.0
69436.55,50669.49,31902.44,14173.17,3883.64,1056.0
69499.23,50927.67,32356.11,14809.78,4622.2,1876.63
69560.73,50989.17,32417.61,14852.93,4640.35,1876.63
69610.16,51038.6,32467.04,14879.51,4660.03,1876.63
69647.91,51076.35,32504.79,14896.48,4674.08,1876.63
69677.26,51105.7,32534.14,14913.56,4688.87,1876.63
69698.08,51126.52,32554.96,14932.9,4705.82,1876.63
69715.31,51143.75,32572.19,14950.13,4723.93,1876.63
69718.11,51146.55,32574.99,14952.93,4734.49,1876.63
69692.05,51120.49,32548.93,14926.869999999999,4735.41,1876.63
69643.8,51072.24,32500.68,14878.619999999999,4734.9,1876.63
69573.18,51001.62,32430.06,14807.99,4721.7,1876.63
69480.93,50909.37,32337.81,14715.74,4698.24,1876.63
69402.02,50830.46,32258.9,14647.55,4687.11,1876.63
69373.55,50801.99,32230.43,14640.99,4708.1,1876.63
69348.34,50776.77,32205.21,14638.91,4734.21,1876.63
69343.26,50771.69,32200.13,14661.74,4764.93,1876.63
69362.39,50790.82,32219.26,14694.0,4790.45,1876.63
69407.59,50836.02,32264.46,14734.07,4818.89,1876.63
69472.64,50901.07,32329.51,14778.34,4842.07,1876.63
69543.77,50972.2,32400.63,14828.55,4866.86,1876.63
69625.06999999999,51053.5,32481.93,14881.05,4893.26,1876.63
