0,20,40,60,80,100
14390.57,3933.2,1724.42,1724.42,1724.42,1724.42
14405.27,3950.5,1728.09,1728.09,1728.09,1728.09
14425.91,3965.41,1730.5,1730.5,1730.5,1730.5
14447.93,3988.39,1733.1200000000001,1733.1200000000001,1733.1200000000001,1733.1200000000001
14463.54,4006.51,1736.34,1736.34,1736.34,1736.34
14466.57,4009.52,1739.89,1739.89,1739.89,1739.89
14474.74,4018.76,1743.07,1743.07,1743.07,1743.07
14504.07,4048.09,1745.77,1745.77,1745.77,1745.77
14578.960000000001,4122.98,1748.06,1748.06,1748.06,1748.06
14666.73,4210.75,1767.14,1749.53,1749.53,1749.53
14713.04,4257.06,1769.88,1752.27,1752.27,1752.27
14778.41,4322.43,1770.68,1753.07,1753.07,1753.07
14812.0,4356.02,1770.66,1753.05,1753.05,1753.05
14830.37,4374.39,1769.2,1751.59,1751.59,1751.59
14834.32,4378.34,1766.73,1749.1200000000001,1749.1200000000001,1749.1200000000001
14817.45,4357.26,1764.91,1747.3,1747.3,1747.3
14809.34,4346.82,1761.93,1744.32,1744.32,1744.32
14809.04,4347.24,1758.29,1740.68,1740.68,1740.68
14818.7,4361.38,1753.57,1735.96,1735.96,1735.96
14829.29,4376.48,1748.92,1731.31,1731.31,1731.31
14829.99,4379.95,1744.48,1726.8700000000001,1726.8700000000001,1726.8700000000001
14819.54,4370.03,1740.15,1722.54,1722.54,1722.54
14815.41,4368.16,1735.68,1718.07,1718.07,1718.07
14820.72,4376.91,1731.08,1713.47,1713.47,1713.47
14799.31,4353.26,1727.57,1709.96,1709.96,1709.96
14775.87,4326.11,1723.71,1706.1,1706.1,1706.1
14785.960000000001,4338.62,1721.57,1703.96,1703.96,1703.96
14803.74,4359.4,1719.6,1701.99,1701.99,1701.99
14834.82,4394.09,1718.0,1700.39,1700.39,1700.39
14850.24,4412.75,1717.58,1699.97,1699.97,1699.97
14861.75,4425.87,1717.8,1700.19,1700.19,1700.19
14898.05,4466.0,1717.98,1700.3700000000001,1700.3700000000001,1700.3700000000001
14960.73,4530.89,1718.48,1700.8700000000001,1700.8700000000001,1700.8700000000001
15012.37,4582.54,1719.75,1702.14,1702.14,1702.14
15078.07,4648.25,1721.43,1703.82,1703.82,1703.82
15112.72,4682.9,1724.24,1706.63,1706.63,1706.63
15127.43,4697.61,1727.67,1710.06,1710.06,1710.06
15132.88,4703.06,1731.58,1713.97,1713.97,1713.97
15132.12,4702.82,1735.54,1717.93,1717.93,1717.93
15134.35,4705.05,1739.02,1721.41,1721.41,1721.41
15159.85,4730.55,1742.41,1724.8,1724.8,1724.8
15185.05,4757.12,1746.26,1728.65,1728.65,1728.65
15203.98,4778.83,1750.29,1732.68,1732.68,1732.68
15235.2,4815.11,1753.92,1736.31,1736.31,1736.31
15284.77,4870.14,1757.49,1739.88,1739.88,1739.88
15325.98,4918.06,1760.96,1743.3500000000001,1743.3500000000001,1743.3500000000001
15371.17,4968.73,1764.52,1746.91,1746.91,1746.91
15416.56,5019.25,1768.03,1750.42,1750.42,1750.42
15451.65,5053.54,1771.46,1753.8500000000001,1753.8500000000001,1753.8500000000001
15506.39,5105.83,1771.89,1754.28,1754.28,1754.28
15556.17,5151.63,1773.24,1755.63,1755.63,1755.63
15598.47,5196.28,1774.93,1757.32,1757.32,1757.32
15624.8,5223.71,1776.8600000000001,1759.25,1759.25,1759.25
15644.62,5244.6,1778.1200000000001,1760.51,1760.51,1760.51
15663.24,5265.54,1779.07,1761.46,1761.46,1761.46
15654.13,5255.93,1781.73,1764.1200000000001,1764.1200000000001,1764.1200000000001
15632.54,5232.42,1784.26,1766.65,1766.65,1766.65
15619.51,5219.4,1786.5,1768.89,1768.89,1768.89
15622.92,5222.82,1788.46,1770.85,1770.85,1770.85
15629.4,5229.3,1789.96,1772.35,1772.35,1772.35
15613.08,5212.98,1791.65,1774.04,1774.04,1774.04
15605.09,5204.99,1793.35,1775.74,1775.74,1775.74
15627.56,5229.86,1794.31,1776.7,1776.7,1776.7
15637.22,5241.23,1795.85,1778.24,1778.24,1778.24
15658.3,5265.86,1797.55,1779.94,1779.94,1779.94
15653.15,5259.41,1798.27,1780.66,1780.66,1780.66
15649.77,5259.99,1798.85,1781.24,1781.24,1781.24
15697.79,5308.47,1800.18,1782.57,1782.57,1782.57
15753.0,5364.36,1802.26,1784.65,1784.65,1784.65
15834.89,5441.68,1805.0,1787.39,1787.39,1787.39
15903.73,5508.46,1807.52,1789.91,1789.91,1789.91
15959.88,5553.37,1809.57,1791.96,1791.96,1791.96
15989.02,5570.7,1810.95,1793.34,1793.34,1793.34
16017.66,5590.78,1810.76,1793.15,1793.15,1793.15
16031.76,5597.85,1809.6,1791.99,1791.99,1791.99
16025.99,5596.32,1808.07,1790.46,1790.46,1790.46
16010.24,5590.34,1805.76,1788.15,1788.15,1788.15
15997.04,5573.89,1802.21,1784.6,1784.6,1784.6
15953.34,5530.18,1799.6,1781.99,1781.99,1781.99
15932.37,5508.88,1798.96,1781.35,1781.35,1781.35
15904.56,5476.21,1798.4,1780.79,1780.79,1780.79
15876.2,5448.59,1799.64,1782.03,1782.03,1782.03
15851.16,5417.75,1801.15,1783.54,1783.54,1783.54
15828.34,5389.17,1802.61,1785.0,1785.0,1785.0
15801.24,5355.58,1804.1,1786.49,1786.49,1786.49
15775.960000000001,5324.53,1805.48,1787.87,1787.87,1787.87
15766.02,5311.66,1806.14,1788.53,1788.53,1788.53
15784.31,5318.65,1804.84,1787.23,1787.23,1787.23
15780.35,5314.63,1805.77,1788.16,1788.16,1788.16
15764.460000000001,5297.06,1805.82,1788.21,1788.21,1788.21
15719.59,5253.98,1806.36,1788.75,1788.75,1788.75
15668.22,5197.36,1806.45,1788.84,1788.84,1788.84
15606.85,5130.2,1805.65,1788.04,1788.04,1788.04
15537.88,5056.34,1804.74,1787.13,1787.13,1787.13
15475.11,4989.34,1804.1,1786.49,1786.49,1786.49
15424.61,4933.36,1803.95,1786.34,1786.34,1786.34
15420.6,4928.62,1803.43,1785.82,1785.82,1785.82
15436.05,4944.78,1802.9,1785.29,1785.29,1785.29
15466.51,4978.14,1802.14,1784.53,1784.53,1784.53
15488.57,5002.04,1801.37,1783.76,1783.76,1783.76
15505.51,5019.56,1801.19,1783.58,1783.58,1783.58
15524.63,5039.53,1801.83,1784.22,1784.22,1784.22
15576.87,5091.7699999999995,1802.08,1784.47,1784.47,1784.47
15583.72,5098.62,1803.51,1785.9,1785.9,1785.9
15562.15,5077.05,1805.35,1787.74,1787.74,1787.74
15516.2,5031.1,1789.31,1789.31,1789.31,1789.31
15493.31,5008.21,1790.01,1790.01,1790.01,1790.01
15435.32,4950.22,1791.98,1791.98,1791.98,1791.98
15419.08,4933.99,1794.11,1794.11,1794.11,1794.11
15423.4,4938.31,1795.82,1795.82,1795.82,1795.82
15428.68,4943.59,1797.97,1797.97,1797.97,1797.97
15454.02,4973.13,1798.93,1798.93,1798.93,1798.93
15455.34,4975.4,1800.89,1800.89,1800.89,1800.89
15442.04,4959.09,1803.13,1803.13,1803.13,1803.13
15418.8,4939.38,1806.01,1806.01,1806.01,1806.01
15386.55,4914.81,1808.88,1808.88,1808.88,1808.88
15355.56,4885.98,1811.56,1811.56,1811.56,1811.56
15329.27,4867.24,1813.72,1813.72,1813.72,1813.72
15300.58,4840.55,1815.4,1815.4,1815.4,1815.4
15259.93,4807.96,1816.73,1816.73,1816.73,1816.73
15234.960000000001,4796.06,1817.26,1817.26,1817.26,1817.26
15213.13,4784.85,1818.57,1818.57,1818.57,1818.57
15186.27,4754.92,1818.51,1818.51,1818.51,1818.51
15157.4,4721.61,1818.35,1818.35,1818.35,1818.35
15119.97,4679.75,1817.93,1817.93,1817.93,1817.93
15111.01,4669.62,1816.14,1816.14,1816.14,1816.14
15113.91,4674.61,1813.01,1813.01,1813.01,1813.01
15088.75,4648.51,1810.23,1810.23,1810.23,1810.23
15017.67,4572.48,1808.14,1808.14,1808.14,1808.14
14943.45,4493.92,1805.87,1805.87,1805.87,1805.87
14854.9,4399.47,1804.06,1804.06,1804.06,1804.06
14788.77,4327.77,1801.99,1801.99,1801.99,1801.99
14747.77,4285.54,1800.55,1800.55,1800.55,1800.55
14727.87,4265.64,1799.02,1799.02,1799.02,1799.02
14722.54,4258.92,1797.14,1797.14,1797.14,1797.14
14699.66,4232.66,1795.31,1795.31,1795.31,1795.31
14663.34,4193.8,1793.77,1793.77,1793.77,1793.77
