0,20,40,60,80,100
43628.97,43628.97,43628.97,43628.97,43628.97,43628.97
43632.78,43632.78,43632.78,43632.78,43632.78,43632.78
43628.01,43628.01,43628.01,43628.01,43628.01,43628.01
43617.76,43617.76,43617.76,43617.76,43617.76,43617.76
43645.28,43645.28,43645.28,43645.28,43645.28,43645.28
43628.76,43628.76,43628.76,43628.76,43628.76,43628.76
43637.33,43637.33,43637.33,43637.33,43637.33,43637.33
43656.99,43656.99,43656.99,43656.99,43656.99,43656.99
43676.26,43676.26,43676.26,43676.26,43676.26,43676.26
43644.25,43644.25,43644.25,43644.25,43644.25,43644.25
43623.28,43623.28,43623.28,43623.28,43623.28,43623.28
43594.34,43594.34,43594.34,43594.34,43594.34,43594.34
43478.85,43478.85,43478.85,43478.85,43478.85,43478.85
43357.37,43357.37,43357.37,43357.37,43357.37,43357.37
43313.06,43313.06,43313.06,43313.06,43313.06,43313.06
43264.66,43264.66,43264.66,43264.66,43264.66,43264.66
43229.99,43229.99,43229.99,43229.99,43229.99,43229.99
43193.57,43193.57,43193.57,43193.57,43193.57,43193.57
43172.06,43172.06,43172.06,43172.06,43172.06,43172.06
43109.5,43109.5,43109.5,43109.5,43109.5,43109.5
43060.63,43060.63,43060.63,43060.63,43060.63,43060.63
43030.59,43030.59,43030.59,43030.59,43030.59,43030.59
42974.12,42974.12,42974.12,42974.12,42974.12,42974.12
42929.83,42929.83,42929.83,42929.83,42929.83,42929.83
42922.44,42922.44,42922.44,42922.44,42922.44,42922.44
42940.02,42940.02,42940.02,42940.02,42940.02,42940.02
42944.9,42944.9,42944.9,42944.9,42944.9,42944.9
42891.13,42891.13,42891.13,42891.13,42891.13,42891.13
42847.26,42847.26,42847.26,42847.26,42847.26,42847.26
42818.99,42818.99,42818.99,42818.99,42818.99,42818.99
42766.48,42766.48,42766.48,42766.48,42766.48,42766.48
42734.65,42734.65,42734.65,42734.65,42734.65,42734.65
42659.65,42659.65,42659.65,42659.65,42659.65,42659.65
42584.81,42584.81,42584.81,42584.81,42584.81,42584.81
42499.87,42499.87,42499.87,42499.87,42499.87,42499.87
42411.57,42411.57,42411.57,42411.57,42411.57,42411.57
42321.01,42321.01,42321.01,42321.01,42321.01,42321.01
42231.64,42231.64,42231.64,42231.64,42231.64,42231.64
42172.6,42172.6,42172.6,42172.6,42172.6,42172.6
42167.71,42167.71,42167.71,42167.71,42167.71,42167.71
42184.59,42184.59,42184.59,42184.59,42184.59,42184.59
42160.95,42160.95,42160.95,42160.95,42160.95,42160.95
42137.8,42137.8,42137.8,42137.8,42137.8,42137.8
42088.15,42088.15,42088.15,42088.15,42088.15,42088.15
42005.12,42005.12,42005.12,42005.12,42005.12,42005.12
41884.29,41884.29,41884.29,41884.29,41884.29,41884.29
41772.14,41772.14,41772.14,41772.14,41772.14,41772.14
41680.15,41680.15,41680.15,41680.15,41680.15,41680.15
41583.07,41583.07,41583.07,41583.07,41583.07,41583.07
