0,20,40,60,80,100
75715.14,55473.79,35232.43,16368.31,6439.93,1737.28
75742.53,55501.18,35259.81,16361.77,6433.4,1737.55
75763.59,55522.24,35280.87,16372.49,6444.11,1737.63
75776.2,55534.85,35293.49,16387.73,6459.36,1737.72
75759.76,55518.41,35277.05,16404.47,6479.72,1737.9
75758.42,55517.07,35275.71,16426.78,6502.13,1738.17
75760.61,55519.26,35277.91,16452.09,6527.44,1738.46
75786.75,55543.95,35301.14,16473.85,6541.38,1731.49
75812.74,55568.48,35324.2,16495.45,6552.03,1724.5
75870.96,55625.25,35379.51,16542.97,6568.12,1717.48
75959.73,55712.56,35465.36,16623.93,6583.05,1710.52
75993.23,55744.59,35495.93,16653.05,6596.86,1703.64
75977.53,55727.43,35477.31,16653.55,6604.34,1696.72
75934.64,55683.08,35431.49,16663.61,6619.88,1689.78
75838.07,55585.05,35331.99,16644.49,6645.41,1682.9
75756.95,55503.93,35250.87,16643.68,6679.33,1683.13
75679.85,55426.83,35173.76,16610.81,6718.21,1683.34
75631.63,55378.6,35125.53,16583.13,6752.53,1683.47
75596.96,55343.92,35090.85,16548.45,6768.46,1683.81
75573.03,55319.99,35066.92,16524.52,6768.65,1684.0
75546.02,55292.98,35039.91,16526.22,6768.5199999999995,1683.8700000000001
75504.99,55251.95,34998.89,16528.11,6768.29,1683.64
75478.97,55225.93,34972.87,16534.42,6768.42,1683.77
75473.84,55220.8,34967.74,16537.05,6768.63,1683.98
75497.36,55244.32,34991.25,16545.11,6778.31,1684.2
75520.59,55267.56,35014.49,16552.64,6785.84,1684.31
75533.77,55280.74,35027.67,16551.94,6785.14,1684.13
75566.05,55313.02,35059.95,16541.44,6774.64,1683.89
75591.44,55338.41,35085.35,16525.5,6758.7,1683.6200000000001
75621.19,55368.15,35115.09,16507.1,6740.31,1683.3600000000001
75669.54,55416.49,35163.43,16495.95,6721.97,1683.1
75722.93,55468.409999999996,35213.89,16515.29,6691.04,1675.88
75766.54,55512.02,35257.5,16536.85,6665.34,1675.46
75821.04,55566.52,35312.0,16579.76,6648.57,1675.21
75877.67,55623.16,35368.64,16619.52,6634.89,1675.0
75922.55,55668.03,35413.51,16653.53,6633.0199999999995,1674.97
75962.23,55709.17,35456.1,16686.83,6650.5199999999995,1682.23
75965.2,55712.13,35459.06,16700.01,6663.71,1682.45
75935.64,55684.03,35432.41,16710.35,6675.5199999999995,1689.66
75921.55,55669.95,35418.33,16718.64,6683.81,1689.79
75925.29,55673.69,35422.07,16727.11,6692.28,1689.8600000000001
75901.32,55649.73,35398.11,16746.53,6715.92,1689.78
75886.72,55635.13,35383.52,16749.96,6726.59,1689.83
75870.34,55618.76,35367.15,16733.59,6734.0,1689.8
75849.74,55598.16,35346.55,16712.98,6743.95,1689.73
75808.21,55556.64,35305.03,16683.38,6738.61,1689.66
75760.33,55508.76,35257.15,16635.51,6726.32,1689.3700000000001
75706.95,55455.37,35203.76,16585.26,6713.14,1688.91
75651.97,55400.39,35148.78,16530.29,6696.5,1688.56
75578.65,55327.07,35075.45,16498.82,6688.46,1688.13
75517.58,55266.0,35014.38,16491.95,6683.53,1687.89
75443.47,55190.43,34937.35,16456.83,6676.69,1680.65
75405.8,55151.3,34896.77,16446.82,6665.22,1673.38
75384.56,55130.06,34875.53,16434.2,6652.61,1672.98
75340.29,55084.33,34828.34,16409.87,6626.81,1665.71
75266.61,55010.65,34754.67,16355.5,6597.09,1665.21
75192.32,54936.36,34680.38,16281.22,6561.64,1664.68
75112.47,54857.98,34603.46,16214.54,6536.7,1671.43
75053.48,54800.45,34547.38,16159.92,6514.28,1678.13
