0,20,40,60,80,100
56875.85,33217.01,10741.42,2005.43,1261.97,1239.11
56872.13,33214.75,10743.62,2009.31,1265.85,1242.99
56842.659999999996,33186.74,10732.47,2013.01,1269.55,1246.69
56826.88,33172.42,10727.38,2016.74,1273.28,1250.42
56832.85,33179.85,10734.47,2020.55,1277.09,1254.23
56846.65,33195.11,10743.66,2024.31,1280.85,1257.99
56858.2,33208.11,10759.81,2028.01,1284.55,1261.69
56909.59,33260.96,10795.63,2031.95,1288.49,1265.63
56985.69,33338.52,10859.71,2035.91,1292.45,1269.59
57070.96,33425.25,10928.91,2039.87,1296.41,1273.55
57168.159999999996,33522.45,11005.1,2039.87,1296.41,1273.55
57296.04,33651.79,11111.48,2043.95,1300.49,1277.63
57526.9,33884.11,11319.1,2081.83,1305.34,1282.48
57661.83,34020.5,11429.01,2086.05,1309.56,1286.7
57762.43,34122.56,11515.4,2090.19,1313.7,1290.84
57932.88,34294.47,11645.43,2094.64,1318.15,1295.29
58126.72,34488.31,11797.42,2105.47,1320.58,1297.72
58269.47,34631.06,11906.43,2108.08,1323.19,1300.33
58309.92,34671.51,11934.35,2109.6,1324.71,1301.85
58304.83,34666.42,11946.73,2110.47,1325.58,1302.72
58289.74,34651.33,11959.09,2111.36,1326.47,1303.61
58279.92,34641.51,11972.23,2112.33,1327.44,1304.58
58217.63,34579.22,11965.99,2112.96,1328.07,1305.21
58153.64,34515.23,11955.66,2113.36,1328.47,1305.61
58115.56,34477.15,11954.15,2113.44,1328.55,1305.69
58039.17,34402.22,11924.93,2117.14,1332.25,1309.39
57926.57,34291.08,11860.83,2120.33,1335.95,1313.09
57827.36,34193.33,11801.4,2121.0099999999998,1339.79,1316.93
57681.38,34048.81,11690.17,2091.89,1343.71,1320.85
57428.74,33797.63,11471.98,2009.64,1347.59,1324.73
57085.69,33456.03,11171.78,1894.74,1336.92,1328.43
56763.32,33135.12,10882.0,1785.8,1332.21,1332.21
56566.95,32940.21,10689.46,1744.66,1335.82,1335.82
